,en_1620,en_1620_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
23,lands,0.422,marriage,0.522,saxony,0.496,vienna,0.532,porte,0.588,eleftor,0.553,empref,0.612,pruflia,0.659,emrperor,0.719,emrperor,0.668,emiperor,0.847,exemperor,0.863,eniperor,0.867,menelek,0.696,hussein,0.528,nuncio,0.478
24,houfe,0.42,minister,0.522,palatin,0.496,seignior,0.529,seignior,0.587,eleflor,0.553,prufiia,0.605,pruffia,0.655,eimperor,0.713,metternich,0.667,emjieror,0.842,peror,0.862,emieror,0.867,mperor,0.693,cetewayo,0.527,warrior,0.473
25,hope,0.419,conclude,0.508,treaty,0.495,empress,0.528,empcror,0.586,elefor,0.552,rufiia,0.602,empreis,0.653,rmperor,0.712,schah,0.665,emaperor,0.841,hmperor,0.861,empetor,0.867,emperorking,0.692,mussolini,0.526,envoy,0.472
26,lords,0.417,audience,0.504,teckeley,0.493,coningseck,0.528,emperours,0.584,sweden,0.549,vienna,0.602,empror,0.652,bonaparte,0.709,enmperor,0.659,emoeror,0.841,archduke,0.859,elmperor,0.866,kaisers,0.692,haile,0.526,reza,0.471
27,articles,0.416,king,0.502,branden,0.489,augustus,0.527,eniperor,0.582,sophi,0.542,ruftia,0.595,kmperor,0.65,einperor,0.706,empero,0.654,emieror,0.84,eimperor,0.859,emueror,0.864,archduke,0.688,prince,0.524,abdicated,0.47
28,lower,0.415,crowns,0.497,moscow,0.487,virmont,0.527,republick,0.576,pire,0.542,prufia,0.594,emprels,0.649,imperor,0.706,mperor,0.654,rmperor,0.84,emrperor,0.858,empero,0.864,czars,0.685,amanullah,0.521,cardinal,0.469
29,truth,0.413,ministers,0.495,emperours,0.486,pope,0.521,sultan,0.572,republick,0.541,regency,0.592,porte,0.644,empero,0.7,autocrat,0.645,empress,0.839,empetor,0.857,rmperor,0.86,cxar,0.685,sultan,0.52,charlemagne,0.468
30,feare,0.41,monsieur,0.495,envoys,0.486,archdutchess,0.517,regency,0.571,pruffla,0.54,denmaik,0.59,emprefsof,0.643,etnperor,0.7,bavaria,0.638,napoleon,0.835,eniperor,0.857,emuperor,0.858,kwangsu,0.679,menelik,0.52,gesson,0.468
31,therefore,0.407,forces,0.49,staremberg,0.486,nuncio,0.513,electoral,0.57,elecor,0.538,sardinia,0.59,empero,0.641,elmperor,0.696,sardinia,0.637,emuperor,0.833,empror,0.856,empror,0.858,abdication,0.673,napoleon,0.52,archduke,0.468
32,name,0.407,demand,0.49,sador,0.485,landgrave,0.511,wratiflau,0.569,queen,0.538,ruflia,0.589,empref,0.64,nperor,0.693,sultans,0.632,metternich,0.83,elmperor,0.856,lemperor,0.857,hohenlohe,0.668,abdicate,0.52,ataturk,0.467
33,pope,0.407,paris,0.486,muscovy,0.485,ofspain,0.51,statesgeneral,0.564,emprcfs,0.535,archduke,0.589,prutfia,0.64,prussia,0.685,seignior,0.632,ernperor,0.828,euiperor,0.855,emiperor,0.855,empressdowager,0.66,czars,0.519,admirals,0.467
34,preparations,0.406,points,0.485,ratified,0.485,austrian,0.506,theczar,0.562,auftria,0.534,pruifia,0.588,eniprefs,0.639,emsperor,0.679,porte,0.63,imperor,0.828,emoeror,0.854,kinperor,0.855,shah,0.66,ethiopian,0.518,renunciation,0.466
35,againfi,0.405,cologne,0.483,franconia,0.485,gallas,0.506,czat,0.559,emprers,0.533,elector,0.588,emperot,0.635,lemperor,0.677,milosch,0.627,austria,0.828,metternich,0.854,emreror,0.853,potsdam,0.66,monarch,0.517,dynasty,0.465
36,know,0.398,satisfaction,0.48,hanover,0.481,austria,0.505,windisgratz,0.559,archduke,0.531,republick,0.586,emprefi,0.63,empress,0.676,schab,0.626,emeror,0.827,empero,0.853,czarewitch,0.85,archdukes,0.659,caliph,0.515,bonaparte,0.464
37,chat,0.394,den,0.479,zell,0.481,repubhck,0.504,archdutchess,0.559,staniflaus,0.53,conltantinople,0.585,einprefs,0.629,empcror,0.673,perors,0.624,bmperor,0.826,ermperor,0.853,ermperor,0.85,sultan,0.655,abyssinian,0.512,legend,0.463
38,law,0.392,pope,0.479,senate,0.481,senate,0.503,archduchess,0.553,sanction,0.528,pruilia,0.584,emtperor,0.628,eiperor,0.673,viceroy,0.623,eimperor,0.826,empress,0.851,emeror,0.848,archduchess,0.65,feisul,0.511,giraud,0.463
39,proceedings,0.385,spain,0.469,hungary,0.48,emperours,0.502,cologn,0.553,heffecaffel,0.528,saxony,0.583,kingof,0.626,austria,0.667,seignor,0.619,eaiperor,0.825,emperot,0.85,archduke,0.846,ischl,0.65,sultans,0.51,sheik,0.463
40,according,0.384,turks,0.464,count,0.48,turks,0.501,palatine,0.552,hungary,0.521,polands,0.58,empres,0.623,russias,0.664,vizier,0.616,enmperor,0.825,eaiperor,0.849,eumperor,0.846,emiperor,0.649,perors,0.51,papal,0.462
41,bohemia,0.383,sieur,0.464,tartary,0.48,ror,0.501,spain,0.552,pruflia,0.52,poland,0.579,sweden,0.622,empror,0.659,exemperor,0.613,empe,0.825,emjieror,0.848,euiperor,0.845,perors,0.648,pontiff,0.509,statesman,0.461
42,warlike,0.382,french,0.462,signior,0.48,electoral,0.498,czarian,0.549,kingof,0.516,king,0.577,elmperor,0.621,archduke,0.658,czernowitz,0.612,empror,0.824,emperorof,0.844,empeor,0.844,ozar,0.648,consort,0.506,sublime,0.461
43,becaufe,0.377,germany,0.461,mediation,0.479,ofsweden,0.498,archdutchefs,0.547,elelor,0.515,archduchefs,0.577,emnprefs,0.616,ofrussia,0.655,russia,0.61,kinperor,0.823,emueror,0.844,emderor,0.843,prince,0.646,feisal,0.505,pretender,0.458
44,feruice,0.375,hopes,0.461,gottorp,0.478,cologn,0.495,impeiial,0.546,prullia,0.513,ruffian,0.576,piuffia,0.615,kingof,0.652,pacha,0.608,tmperor,0.823,czar,0.839,ernperor,0.843,lamsdorff,0.645,yemen,0.505,claudius,0.458
45,vnto,0.369,troops,0.461,suabia,0.478,parma,0.492,sardinia,0.544,schah,0.512,pruffla,0.575,sardinia,0.614,buonaparte,0.652,ukase,0.607,emperon,0.823,emptror,0.838,theemperor,0.842,menelik,0.645,heirapparent,0.503,sabry,0.457
46,whofe,0.369,articles,0.45,vienna,0.477,sweden,0.49,ratisbon,0.544,shah,0.511,seignor,0.574,pruifia,0.614,ruffias,0.646,wurtemberg,0.605,sultan,0.821,emiperor,0.836,emrperor,0.841,prinoe,0.644,selassies,0.502,vatican,0.457
47,thar,0.369,conference,0.45,plenipotentiary,0.477,sicily,0.49,vizir,0.544,prufia,0.51,repnin,0.573,pruffla,0.611,napo,0.646,emtperor,0.605,emperur,0.82,emperob,0.832,emperors,0.839,queenregent,0.643,tzar,0.501,trium,0.456
48,who,0.369,point,0.447,hanouer,0.477,palatine,0.488,caunitz,0.544,aulic,0.51,pruf,0.572,emprefa,0.611,ensperor,0.642,schwedt,0.604,elmperor,0.82,emderor,0.831,czarevitch,0.839,bulow,0.641,ibn,0.501,caesars,0.456
49,matter,0.368,difference,0.447,lorrain,0.475,rcpublick,0.487,eledor,0.543,treaty,0.509,ruffia,0.57,leopold,0.609,empeor,0.641,metternicb,0.603,empebob,0.817,emaperor,0.83,empress,0.838,exking,0.637,ruler,0.498,excellency,0.454
50,state,0.367,affairs,0.446,vizier,0.475,frankfort,0.486,poland,0.542,aullria,0.508,algiers,0.569,prufiia,0.609,emper,0.64,sultan,0.599,iemperor,0.817,exking,0.83,emperr,0.837,radolin,0.633,amir,0.498,pasha,0.454
51,friends,0.367,state,0.446,ambaflador,0.473,statesgeneral,0.486,saxony,0.541,hungarys,0.508,spain,0.569,czarina,0.608,emlperor,0.639,archduchess,0.599,czir,0.814,princeregent,0.828,tmperor,0.836,hohenzollern,0.631,saud,0.497,queror,0.453
52,giue,0.366,suedes,0.445,negotiation,0.469,sinzendorff,0.486,eleor,0.541,nadir,0.507,vizir,0.568,emrperor,0.607,emtperor,0.63,mehemet,0.599,sardinia,0.811,emlperor,0.828,limperor,0.833,greeoe,0.629,princo,0.496,balbo,0.453
53,prince,0.366,assistance,0.442,ambassa,0.469,regent,0.485,prussia,0.541,leopold,0.506,holftein,0.568,enmprefs,0.604,bonapaute,0.628,wallachia,0.599,czars,0.808,etnperor,0.828,emperot,0.833,wilhelmshohe,0.627,prajadhipok,0.494,bangkok,0.453
54,giuen,0.364,quarters,0.441,states,0.468,perors,0.484,cza,0.54,francforr,0.505,ruffians,0.568,prutlia,0.601,ruflias,0.628,generalissimo,0.599,ermperor,0.808,tmperor,0.826,etnperor,0.832,abdul,0.626,abdul,0.493,overthrew,0.451
55,meeting,0.355,matters,0.438,munster,0.465,zinzendorf,0.483,sinzendorf,0.539,koulikan,0.505,kerim,0.562,empress,0.601,sweden,0.625,pasha,0.598,prussia,0.806,eaperor,0.826,emlperor,0.828,enperor,0.625,afghanistan,0.493,farouk,0.45
56,poland,0.355,hamburg,0.437,lunenburg,0.464,investiture,0.481,emprefs,0.539,guarantee,0.504,leopold,0.562,ernprefs,0.6,autocrat,0.622,vienna,0.598,princepresident,0.805,xapoleon,0.825,emsperor,0.827,kaieer,0.622,zogu,0.492,japan,0.45
57,himfelfe,0.354,count,0.435,denmark,0.464,porte,0.48,vizier,0.538,pragmatick,0.504,rultia,0.559,ottoman,0.599,germany,0.618,persia,0.598,emrperor,0.802,mperor,0.824,emperoe,0.827,biilow,0.62,saladin,0.491,aosta,0.448
58,hold,0.352,enemies,0.433,caraffa,0.463,denmark,0.478,states,0.536,pruilia,0.502,pruflias,0.557,prufflia,0.597,autria,0.617,etmperor,0.596,mperor,0.802,eraperor,0.823,emaperor,0.824,abdicates,0.619,papal,0.49,kabul,0.448
59,withall,0.35,christian,0.432,turkj,0.462,maffei,0.476,empire,0.535,imperial,0.502,bavaria,0.555,prullia,0.595,berthier,0.616,hospodar,0.594,euperor,0.802,emjeror,0.823,czars,0.823,lichnowsky,0.619,prinoe,0.49,ruler,0.447
60,vs,0.35,envoy,0.431,pire,0.461,provisional,0.475,eleaor,0.535,anterior,0.501,eletor,0.554,prulia,0.593,bavaria,0.614,louisphilip,0.594,cxar,0.801,emperorking,0.823,tzar,0.819,cronberg,0.619,khalif,0.489,islam,0.447
61,baron,0.348,countries,0.43,puties,0.461,holiness,0.474,nuncio,0.535,balhaw,0.501,pacha,0.554,vienna,0.59,vienna,0.613,strogonoff,0.593,emptror,0.797,arohduke,0.823,emperorking,0.818,metternich,0.618,gugsa,0.489,mahdi,0.445
62,religion,0.346,duke,0.428,truce,0.461,nuntio,0.473,coningsek,0.534,eleftoral,0.501,kingof,0.554,prulfia,0.59,erfurth,0.609,moldavia,0.593,empsror,0.795,limperor,0.822,czarewiteh,0.818,excrown,0.618,rupprecht,0.489,hellenes,0.445
63,gouernour,0.345,resolved,0.428,ambas,0.461,scates,0.473,senate,0.534,seignior,0.498,eleftor,0.553,paussia,0.59,prus,0.609,munchengratz,0.591,emlperor,0.795,hellenes,0.822,peror,0.814,exempress,0.617,musso,0.488,overlord,0.444
64,marquis,0.343,agree,0.426,moldavia,0.458,imperialists,0.47,eletor,0.532,margrave,0.495,mecklenbourg,0.553,netherlands,0.589,pruffia,0.608,diebitsch,0.59,napoleou,0.795,emteror,0.822,czarina,0.814,queenmother,0.617,horthy,0.488,abdi,0.442
65,oath,0.341,general,0.425,ambassador,0.457,electors,0.469,landgrave,0.532,sardinia,0.494,raffia,0.553,statesgeneral,0.585,ofaustria,0.607,warsaw,0.59,schwartzenberg,0.794,emperorand,0.821,gortschakoff,0.812,monarchs,0.617,shah,0.487,abyssinia,0.441
66,countries,0.34,service,0.423,king,0.457,italy,0.469,palatin,0.532,alliance,0.494,empe,0.552,kuflia,0.583,piussia,0.603,ustria,0.59,emsperor,0.793,gortchakoff,0.821,emjeror,0.812,kaisei,0.617,signor,0.486,suzuki,0.441
67,neither,0.338,demanded,0.421,duke,0.454,spam,0.468,em,0.531,saxony,0.493,algerines,0.549,prultia,0.582,austrias,0.601,orloff,0.59,russias,0.793,emperok,0.82,emperar,0.812,vatican,0.616,faisal,0.485,musso,0.441
68,once,0.338,bishop,0.42,orleans,0.454,tuscany,0.467,saxezeits,0.529,dyet,0.492,ruilia,0.549,prufia,0.58,etmperor,0.601,witepsk,0.589,archduke,0.792,rmperor,0.819,eruperor,0.812,austrohungarian,0.614,hitler,0.485,rajah,0.441
69,prefent,0.338,concern,0.415,croatia,0.454,king,0.466,pragmatick,0.529,porte,0.492,eleor,0.548,piuflia,0.577,kurakin,0.601,suzzo,0.587,emperar,0.791,e3mperor,0.819,lobanoff,0.811,throne,0.613,bonaparte,0.484,camarilla,0.44
70,pro,0.338,willing,0.403,mediators,0.453,pontiff,0.466,czarish,0.527,guaranty,0.492,pruftian,0.548,auftria,0.575,pruftia,0.601,medjid,0.587,xapoleon,0.791,maximilian,0.819,e3mperor,0.81,komatsu,0.612,sovereign,0.484,mussolini,0.44
71,particulars,0.337,vienna,0.403,spam,0.45,sardinia,0.466,evangelick,0.526,qaeen,0.49,courland,0.547,bavaria,0.573,murat,0.6,napoleon,0.586,nperor,0.79,sultau,0.819,emperora,0.807,aehrenthal,0.612,fuehrer,0.483,chiang,0.439
72,brother,0.337,draw,0.403,ratification,0.45,ottomans,0.465,virmond,0.526,mentz,0.49,holltein,0.546,kuffia,0.573,perors,0.6,wurtemburg,0.586,ensperor,0.787,empcror,0.819,etmperor,0.807,schoenbrunn,0.61,viceroy,0.483,generalissimo,0.439
73,him,0.337,remain,0.401,envoy,0.449,kingof,0.463,impe,0.525,schach,0.489,pruflian,0.546,raffia,0.572,prusia,0.6,ferdinand,0.585,emreror,0.785,gortschakoff,0.818,bismarok,0.807,ambas,0.61,claudius,0.483,hapsburg,0.439
74,former,0.336,seems,0.399,theking,0.449,ambas,0.463,stanistaus,0.524,vienna,0.488,seignior,0.545,pruf,0.572,eletor,0.6,ltussia,0.584,etnperor,0.783,empbror,0.818,empreas,0.806,tzar,0.609,greeks,0.483,nepal,0.438
75,states,0.336,prince,0.398,allies,0.447,ratisbon,0.461,treaty,0.524,aufiria,0.486,stadtholder,0.545,theemprefs,0.571,napolcon,0.598,austiia,0.582,eiperor,0.783,emeror,0.817,bismarck,0.806,hellenes,0.609,foch,0.482,figurehead,0.438
76,doth,0.335,molt,0.397,palatine,0.445,treaty,0.46,kingof,0.524,eledoral,0.486,emperors,0.544,ruflia,0.571,eleftor,0.597,jussuf,0.581,sultau,0.782,ernperor,0.817,emeperor,0.805,berchtold,0.608,mohammed,0.482,hero,0.436
77,third,0.335,febr,0.397,defensive,0.444,viceroy,0.46,konigfegg,0.523,eleoral,0.484,holflein,0.543,theporte,0.57,audria,0.597,paskewitsch,0.58,emperr,0.782,bismark,0.815,emperur,0.802,roumania,0.608,slavonia,0.481,royalist,0.436
78,words,0.332,pass,0.394,bassa,0.444,sinzendorf,0.46,ottoman,0.523,prulia,0.484,berlin,0.543,swveden,0.57,ofsweden,0.596,iturbide,0.58,perors,0.782,empeeor,0.814,bmperor,0.802,empresss,0.608,hejaz,0.481,nanking,0.436
79,letter,0.331,luther,0.393,vpper,0.444,ienna,0.458,konigsegg,0.523,poland,0.482,algier,0.542,emprcfs,0.569,bernadotte,0.596,paskewitch,0.579,schwarzenberg,0.78,couza,0.814,cxar,0.801,meneliks,0.607,wahabi,0.481,czar,0.435
80,imperiall,0.329,popes,0.393,ambassadors,0.444,savoy,0.458,sinzendorff,0.523,auflria,0.48,kan,0.542,auitria,0.568,poleon,0.595,kussia,0.579,emperor—,0.777,bismarok,0.813,kmpcror,0.801,extsar,0.606,irak,0.481,tojo,0.435
81,firfi,0.328,certainly,0.389,balsa,0.443,eugene,0.458,pontiff,0.522,khan,0.477,staniflaus,0.542,perors,0.567,bonapaite,0.595,ferdinands,0.578,napoieon,0.777,archdake,0.812,kniperor,0.8,statthalter,0.605,starhemberg,0.48,excalibur,0.435
82,perfons,0.328,lent,0.389,parma,0.443,dusseldorp,0.457,cienfuegos,0.522,cza,0.476,schwerin,0.541,prussia,0.566,elector,0.593,redschid,0.578,prusia,0.774,bismarek,0.811,ozar,0.8,bnelow,0.605,abdicated,0.48,indomitable,0.434
83,feeing,0.328,governor,0.389,nimeguen,0.443,czarissi,0.457,perors,0.521,accede,0.476,moorifh,0.541,pruftia,0.565,ofprussia,0.591,archdukes,0.578,russia,0.773,czarewitch,0.811,eamperor,0.798,exczar,0.605,alfonso,0.48,pierrette,0.434
84,appointed,0.327,followed,0.388,negotiate,0.443,tieaty,0.457,emprels,0.52,czar,0.475,gottorp,0.541,prusia,0.563,republic,0.59,ofrussia,0.578,sardiuia,0.773,archdukes,0.81,cezarewitch,0.797,bemstorff,0.604,eudoxia,0.48,metaxas,0.433
85,duke,0.326,understand,0.387,dyet,0.443,signior,0.455,crowngeneral,0.52,qgeen,0.475,crimea,0.541,spain,0.563,auitria,0.589,suitan,0.577,nopoleon,0.772,erperor,0.809,eiperor,0.796,rescript,0.603,kingemperor,0.48,patriot,0.433
86,court,0.325,enter,0.386,holstein,0.443,czir,0.455,repubiick,0.52,caunitz,0.475,orlow,0.539,divan,0.562,prnssia,0.589,constantine,0.576,limperor,0.772,francisjoseph,0.809,hohenlohe,0.793,ambassador,0.603,kemal,0.48,glory,0.433
87,world,0.325,rome,0.385,seignior,0.443,gmpire,0.455,colloredo,0.52,ratification,0.474,prulia,0.539,rufiia,0.561,pruffla,0.588,kusia,0.576,emoperor,0.772,emperors,0.809,wiirtemberg,0.79,emnperor,0.603,monarchs,0.479,judah,0.432
88,per,0.325,obliged,0.384,poles,0.443,czarish,0.454,visier,0.52,brandenbourg,0.474,landgrave,0.539,autria,0.561,eleclor,0.588,leuchtenberg,0.575,napo,0.771,princo,0.808,eemperor,0.79,waldersee,0.602,yolanda,0.478,gracious,0.432
89,far,0.318,agreed,0.382,westphalia,0.442,count,0.452,czir,0.519,pleni,0.474,auftria,0.536,pruliia,0.561,anstria,0.587,nuncio,0.575,philippe,0.771,eiperor,0.808,experor,0.79,emperor—,0.602,mikados,0.476,rebel,0.432
90,kingdome,0.318,ces,0.38,sultan,0.442,poland,0.452,freytag,0.519,king,0.474,maximilian,0.536,elector,0.56,prassia,0.586,hussein,0.575,grandduke,0.771,napoleon,0.808,princo,0.79,princo,0.602,konoye,0.476,closehauled,0.431
91,god,0.317,pretend,0.378,empress,0.441,ottoman,0.451,fuenclara,0.518,regent,0.474,tunis,0.536,ruffia,0.559,pruflia,0.586,lussia,0.573,kussia,0.771,emperar,0.808,exking,0.79,goluchowski,0.601,fuad,0.475,usurper,0.431
92,vienna,0.317,him,0.378,ror,0.441,stares,0.451,acceeded,0.518,catholick,0.472,bafhaw,0.535,prufila,0.559,archchancellor,0.586,angouleme,0.573,eperor,0.77,eemperor,0.807,eaiperor,0.789,generalissimo,0.601,farouk,0.474,assyrian,0.431
93,tion,0.317,proceed,0.377,venetians,0.439,britannick,0.45,ragotzki,0.517,prulfia,0.472,ienna,0.533,republick,0.557,eleor,0.586,buonaparte,0.572,emperori,0.769,bismarck,0.806,czarewitoh,0.788,kotohito,0.601,italys,0.474,nizam,0.431
94,likewife,0.317,ved,0.376,landgrave,0.437,administrator,0.45,czari,0.517,bavarias,0.472,signior,0.533,eleflor,0.556,parte,0.585,usurper,0.572,lemperor,0.768,empesor,0.805,emperior,0.788,czarevitch,0.601,dynasty,0.474,consort,0.431
95,high,0.316,north,0.376,sax,0.436,coningfeck,0.448,czars,0.517,brandenburg,0.472,turkifh,0.533,pruilia,0.556,swveden,0.584,piussia,0.571,olmutz,0.767,exempress,0.804,czarewitcb,0.787,dowagerem,0.601,serbs,0.474,conquest,0.431
96,wherein,0.316,continues,0.372,austria,0.436,tuiks,0.448,kufstein,0.516,eleaoral,0.472,danilh,0.532,emprers,0.554,eledtor,0.584,ypsilanti,0.57,gortchakoff,0.767,nperor,0.804,erperor,0.787,abdicated,0.6,fuhrer,0.473,emblem,0.431
97,things,0.315,resolution,0.372,bassador,0.436,prince,0.448,guaranty,0.516,ottoman,0.471,stolberg,0.532,landgrave,0.553,aufria,0.584,vizir,0.568,radetzky,0.767,eumperor,0.804,empcror,0.786,bueiow,0.6,dedjasmatch,0.473,nepalese,0.431
98,church,0.314,free,0.37,impe,0.435,theczar,0.447,miriweys,0.516,republic,0.47,rulfian,0.53,rultia,0.552,archduchess,0.584,internuncio,0.568,austrias,0.766,napoleou,0.804,queenregent,0.785,tsaritsa,0.599,reigning,0.472,muirburn,0.43
99,namely,0.314,meeting,0.37,muscovite,0.435,cologne,0.447,vierna,0.515,ruilia,0.469,eledor,0.53,enprefs,0.551,eledor,0.582,nesselrode,0.568,francisjoseph,0.765,grandduke,0.802,nperor,0.783,hertling,0.599,serbian,0.472,haakon,0.43
