,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
79,tfiat,0.356,vr,0.376,sn,0.382,rar,0.423,wehichi,0.496,itae,0.612,15cc,0.799,atut,0.78,emeperor,0.668,roumania,0.604,regime,0.479,titular,0.372
80,csc,0.356,alor,0.375,eqn,0.382,piii,0.422,cthe,0.496,thitri,0.612,isro,0.799,cclii,0.78,iemperor,0.668,shikai,0.604,empresss,0.478,baldur,0.372
81,tp,0.356,vrd,0.375,iada,0.382,iitet,0.422,tritr,0.495,15cr,0.612,ilsy,0.798,itoe,0.78,rusia,0.668,korniloff,0.602,czardom,0.477,iliad,0.371
82,il4,0.356,ic,0.375,ilte,0.382,atir,0.422,itat,0.495,tilsr,0.612,tissi,0.798,attid,0.78,throoe,0.667,yuanshikai,0.602,archdukes,0.477,translator,0.37
83,tbt,0.356,tiht,0.375,otor,0.382,tttii,0.422,hise,0.495,tir,0.611,tsats,0.798,trire,0.78,seltan,0.667,shahs,0.601,gorky,0.476,abdicated,0.37
84,rhic,0.356,prid,0.375,ensi,0.382,itr,0.422,stitd,0.495,ilisir,0.611,osr,0.798,citat,0.78,hrone,0.667,kaisers,0.6,dynasty,0.475,levee,0.369
85,iiij,0.355,bk,0.374,trl,0.381,ril,0.421,tnt,0.494,errs,0.611,ctid,0.798,ceoi,0.78,svet,0.667,suitan,0.6,bonaparte,0.475,dreads,0.369
86,iyj,0.355,afin,0.373,xtc,0.381,tni,0.421,itet,0.494,trir,0.611,siloe,0.798,otis,0.78,emperr,0.667,rusia,0.599,heirapparent,0.474,omnipotent,0.369
87,nrf,0.355,hec,0.372,gnl,0.381,iite,0.42,sissi,0.494,oisi,0.611,lisise,0.797,eeow,0.78,prinen,0.666,exemperor,0.599,slovenes,0.474,perceive,0.369
88,srs,0.355,iett,0.372,rasi,0.381,aisi,0.42,cisit,0.494,ttso,0.611,seetit,0.797,estee,0.78,roire,0.666,novoye,0.599,exkaisers,0.473,quadruped,0.368
89,ihat,0.355,hr,0.372,iieat,0.381,sili,0.42,srit,0.494,cte,0.61,itod,0.797,coliti,0.78,rutssia,0.666,petersburg,0.599,emigres,0.472,claudius,0.368
90,ibil,0.354,rtp,0.372,tls,0.381,teilt,0.42,weiti,0.494,tiwrat,0.609,itae,0.797,titisi,0.78,pestis,0.666,bulgaria,0.599,borodins,0.472,trilogy,0.368
91,nwi,0.354,lci,0.372,srii,0.381,ofi1,0.42,rita,0.493,tritest,0.609,teite,0.797,sict,0.78,prioco,0.665,trotsky,0.599,usurper,0.472,dramas,0.368
92,usa,0.354,rpa,0.371,ahv,0.381,1kt,0.42,iseil,0.493,itsr,0.609,titee,0.797,oevt,0.78,rinco,0.665,belgrade,0.598,austriahungary,0.472,prussians,0.368
93,chat,0.354,qt,0.371,isr,0.38,nld,0.419,teli,0.493,tirt,0.609,sitise,0.796,tidl,0.78,ditay,0.665,alexeieffs,0.598,hohen,0.47,crusades,0.367
94,tnt,0.354,dyi,0.371,estr,0.38,iaii,0.419,ussr,0.492,tetst,0.609,atire,0.796,acel,0.779,emneror,0.665,rodjestvensky,0.597,napoleons,0.47,czar,0.367
95,tbht,0.354,tba,0.37,tai,0.38,iata,0.419,slits,0.492,tirat,0.608,asni,0.796,lieso,0.779,berlinr,0.665,lihungchang,0.597,serajevo,0.47,rentier,0.367
96,tetr,0.353,tiss,0.37,tmit,0.38,iiar,0.419,itit,0.492,nra,0.608,tisats,0.795,tiel,0.779,asty,0.665,vatican,0.596,dethronement,0.47,priam,0.367
97,rbat,0.353,clit,0.37,rlg,0.38,ciii,0.419,ittut,0.492,ilsat,0.608,btie,0.795,oct11,0.779,seloe,0.664,abdica,0.596,nobleman,0.47,vade,0.366
98,eba,0.353,sge,0.37,nclt,0.38,ict,0.419,itoe,0.492,tirer,0.607,isee,0.795,erir,0.779,czrs,0.664,soviet,0.595,hussein,0.469,gustav,0.366
99,iae,0.353,itat,0.37,iwn,0.379,ttil,0.419,oniii,0.492,ttre,0.607,sintu,0.795,troti,0.779,ermperor,0.664,russi,0.595,bacha,0.469,alsacelorraine,0.366
