,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
10,ancients,0.36,vary,0.355,differcnt,0.646,diffe,0.567,ditferent,0.737,diffeient,0.762,ditterent,0.706,diiferent,0.736,dillerent,0.843,ditlerent,0.872,diilerent,0.88,difforent,0.648,ditferent,0.63,differnt,0.507
11,opinions,0.357,strange,0.351,difierent,0.622,widely,0.459,diffrent,0.732,diffrent,0.755,ditlerent,0.703,diffierent,0.731,ditlerent,0.84,difterent,0.872,differeat,0.878,ditferent,0.644,differeut,0.624,certain,0.492
12,maxims,0.348,distinguished,0.349,diffrent,0.618,various,0.451,diffetent,0.709,diffetent,0.754,dillerent,0.702,ditlerent,0.73,ditterent,0.837,difforent,0.872,difterent,0.877,dillerent,0.64,diverse,0.602,nationalities,0.482
13,notions,0.348,diflant,0.349,differenc,0.609,differently,0.434,diffeient,0.709,ferent,0.742,ditierent,0.694,diffrent,0.723,differeat,0.833,dillerent,0.871,diiierent,0.873,differen,0.633,afferent,0.599,differed,0.467
14,species,0.346,species,0.344,dilferent,0.595,varous,0.423,dfferent,0.7,difrerent,0.732,diffrent,0.691,difflerent,0.718,diffcrent,0.83,differont,0.867,ferent,0.869,dinerent,0.631,difterent,0.592,peculiar,0.46
15,scrip,0.345,absurd,0.342,differ,0.499,diff,0.42,diiferent,0.688,differenit,0.719,differeut,0.687,diffirent,0.691,diffierent,0.826,diferent,0.86,aifferent,0.868,ditterent,0.626,differ,0.591,ficult,0.458
16,circum,0.341,monstrous,0.341,widely,0.496,fcveral,0.412,differeat,0.68,difftrent,0.718,thedifferent,0.684,differenit,0.688,diffirent,0.825,dilierent,0.855,lifferent,0.862,diiferent,0.623,erent,0.591,bewildering,0.447
17,distinct,0.332,differs,0.34,diversity,0.488,vatious,0.411,difftrent,0.68,diiferent,0.717,diffcrent,0.681,diffe,0.685,ditierent,0.819,ditterent,0.854,ditierent,0.862,diferent,0.62,varying,0.573,distinct,0.444
18,tradition,0.331,opposite,0.338,differen,0.481,diftant,0.41,difrerent,0.678,differen,0.703,diffirent,0.679,differeat,0.683,diffrent,0.809,diffrent,0.85,dilierent,0.858,dliferent,0.619,ifferent,0.57,radically,0.444
19,peculiar,0.329,denominations,0.336,differently,0.464,varions,0.409,differeit,0.675,differeit,0.702,diffetent,0.679,ditterent,0.682,ditfereut,0.805,diflereut,0.848,ditlerent,0.856,various,0.616,differed,0.569,hensible,0.444
20,ticular,0.327,vertigo,0.334,differing,0.462,diftinft,0.395,dillerent,0.659,dilterent,0.701,dilterent,0.668,diilerent,0.681,diderent,0.804,diilerent,0.847,dfferent,0.856,fferent,0.613,various,0.566,altruistic,0.443
21,idea,0.327,irre,0.333,opinions,0.431,fevcral,0.391,dificrent,0.655,differeut,0.7,diiterent,0.664,lifferent,0.679,dfferent,0.803,diffarent,0.84,differenb,0.855,difterent,0.613,diffrent,0.552,guises,0.44
22,corrupted,0.326,opinions,0.333,distinct,0.428,enumerating,0.389,differenit,0.653,differentt,0.697,dfferent,0.663,diderent,0.679,diffbrent,0.803,ditierent,0.839,diferent,0.853,differ,0.607,dissimilar,0.55,conventional,0.44
23,humane,0.326,romantick,0.333,diverfity,0.421,fafhions,0.387,difficrent,0.643,dfferent,0.693,afferent,0.661,diffcrent,0.679,difftrent,0.802,diffcrent,0.838,diffierent,0.851,differeat,0.606,differently,0.55,other,0.44
24,rational,0.325,compo,0.332,strongest,0.421,sixes,0.383,dilerent,0.639,difirent,0.692,differcnt,0.66,differetit,0.675,fereut,0.8,diffetent,0.835,diflereut,0.849,diverse,0.596,fferent,0.55,diversity,0.438
25,degrees,0.325,tempers,0.332,various,0.411,clafles,0.382,differenr,0.637,dierent,0.69,dilierent,0.659,differen,0.672,differont,0.797,differcnt,0.827,diderent,0.848,ifferent,0.588,divergent,0.547,complicated,0.437
26,center,0.325,figure,0.331,constituent,0.411,feveral,0.372,differnt,0.628,diflcrent,0.681,diierent,0.659,difrerent,0.67,differentt,0.794,dinerent,0.826,diifereut,0.845,iifferent,0.582,differen,0.536,simpler,0.437
27,reasoning,0.323,ctive,0.331,distant,0.411,sizes,0.368,diffe,0.628,differet,0.68,diffe,0.656,dfferent,0.667,diferent,0.789,diffierent,0.825,diffetent,0.845,divergent,0.577,ferently,0.517,commonplace,0.436
28,natural,0.321,harsh,0.328,separating,0.41,proportions,0.368,differen,0.618,diterent,0.677,fercnt,0.654,ditierent,0.667,differenl,0.786,diderent,0.825,differert,0.843,diffe,0.577,simpler,0.505,fantastic,0.436
29,corruption,0.32,contradictory,0.327,differed,0.407,prodigies,0.368,diffcrcnt,0.617,diffarent,0.675,fferent,0.652,dif,0.664,diflferent,0.786,dfferent,0.825,differentt,0.843,differem,0.576,differs,0.491,utilitarian,0.434
30,extravagant,0.32,several,0.326,variously,0.405,arious,0.365,differenc,0.613,differert,0.671,difftrent,0.651,differentt,0.66,diffetent,0.785,diiierent,0.822,oifferent,0.843,diherent,0.57,variou,0.482,queer,0.431
31,animal,0.32,kinds,0.326,contradictory,0.405,icveral,0.363,diffeent,0.609,ditterent,0.671,diderent,0.65,differeot,0.658,differeit,0.783,differentt,0.821,ditterent,0.841,differont,0.566,identical,0.481,ridiculous,0.43
32,humours,0.319,remote,0.326,varied,0.396,figurative,0.362,differet,0.608,difflerent,0.668,dierent,0.65,dlifferent,0.651,differert,0.782,difftrent,0.818,difiereut,0.839,diffrent,0.558,distinct,0.479,cockeyed,0.43
33,rarely,0.313,divided,0.325,denomina,0.396,periods,0.362,dierent,0.604,dillerent,0.667,various,0.646,dilerent,0.648,diffarent,0.781,ditfereut,0.817,dilerent,0.839,variou,0.555,radically,0.479,wrong,0.428
34,metals,0.313,affecting,0.324,proper,0.395,diverfity,0.361,diterent,0.596,difercnt,0.666,differeit,0.645,dilterent,0.645,diflereut,0.78,diierent,0.814,diffarent,0.838,widelyseparated,0.553,stereotyped,0.476,unchristian,0.427
35,plants,0.312,distinct,0.324,politest,0.394,ceveral,0.361,thedifferent,0.593,diffrrent,0.665,differenit,0.643,diflferent,0.64,difflerent,0.777,differeit,0.81,differeni,0.838,arious,0.553,newer,0.473,fundamentally,0.427
36,agreeable,0.312,imaginations,0.324,respective,0.394,attitudes,0.36,differert,0.591,differeat,0.665,diterent,0.642,diffetent,0.635,dilierent,0.776,diffirent,0.809,diherent,0.833,varioue,0.55,vanous,0.473,ccrtain,0.425
37,cular,0.312,shapes,0.323,differs,0.392,refpeflive,0.354,fcrent,0.585,differenc,0.664,differeat,0.64,ditfereut,0.633,difforent,0.775,elifferent,0.808,ditfereut,0.832,varying,0.546,■various,0.47,identical,0.425
38,thore,0.311,sometimes,0.32,tastes,0.391,evcral,0.352,fercnt,0.581,differnt,0.662,diilerent,0.637,thedifferent,0.626,differenit,0.773,differant,0.806,differcnt,0.832,differing,0.544,diffe,0.47,degrading,0.425
39,hewing,0.31,particular,0.32,indifferent,0.39,fcvcral,0.35,differtnt,0.579,difflrent,0.66,lifferent,0.636,diffbrent,0.624,differeni,0.772,dirferent,0.804,difrerent,0.83,▼arious,0.54,welldefined,0.469,differs,0.424
40,examining,0.309,perfections,0.318,these,0.388,routs,0.35,fferent,0.573,dlifferent,0.66,dilerent,0.632,difftrent,0.623,elifferent,0.768,diherent,0.801,cifferent,0.828,ferently,0.535,arious,0.469,altogether,0.421
41,tant,0.309,surprising,0.318,complexions,0.386,ieveral,0.35,ifferent,0.57,dilerent,0.658,diiierent,0.618,afferent,0.621,diilerent,0.768,dilterent,0.797,idifferent,0.828,varioua,0.534,nationalities,0.468,dissimilar,0.42
42,seldom,0.307,elegant,0.316,infinity,0.384,everal,0.349,difrent,0.568,differeni,0.656,ifferent,0.617,various,0.618,diffsrent,0.768,differert,0.796,differnt,0.827,dierent,0.534,peculiar,0.467,varied,0.42
43,distinguish,0.307,divers,0.313,aspects,0.38,claffes,0.348,various,0.557,differerit,0.654,fcrent,0.616,dilierent,0.616,dliferent,0.762,differest,0.795,diiterent,0.824,vari,0.534,indeterminate,0.466,vary,0.42
44,morality,0.307,diftant,0.311,tempers,0.379,differed,0.345,differe,0.509,diffeent,0.654,differentt,0.612,diffeent,0.614,ditlereut,0.762,dilerent,0.794,diffirent,0.824,differently,0.532,exactly,0.466,workaday,0.419
45,tendency,0.306,megrim,0.31,essentially,0.376,remote,0.345,ofdifferent,0.488,difrent,0.653,difrent,0.612,differcnt,0.614,dilterent,0.757,diiterent,0.793,diffcrent,0.822,varous,0.529,these,0.465,oddest,0.417
46,argue,0.306,profligate,0.31,pacisick,0.376,refpedive,0.344,diff,0.476,aifferent,0.652,difrerent,0.612,diflereut,0.613,diftrent,0.756,cifferent,0.793,diierent,0.821,varions,0.525,thesfe,0.464,segregate,0.417
47,agreeing,0.306,factions,0.31,changing,0.375,refpedtive,0.343,fevcral,0.474,diflercnt,0.652,terent,0.611,dlfferent,0.612,differcnt,0.755,oifferent,0.791,difforeut,0.82,vanous,0.519,multiplicity,0.463,genious,0.417
48,seasons,0.304,like,0.307,probable,0.374,fexes,0.343,feveral,0.473,ditlerent,0.648,differen,0.608,diterent,0.611,diiterent,0.75,ifferent,0.789,differeit,0.82,differe,0.519,differentiated,0.461,unfamiliar,0.416
49,plausible,0.304,diverse,0.306,natures,0.374,differ,0.342,differ,0.47,differenr,0.647,difflerent,0.607,dliferent,0.609,vaiious,0.75,differeni,0.788,dilfereut,0.819,■various,0.511,ceitain,0.461,distinguishes,0.414
50,erroneous,0.303,antique,0.306,concisely,0.374,refpeaive,0.34,vrious,0.459,thedifferent,0.646,differert,0.607,differeint,0.607,difibrent,0.749,dlifferent,0.784,afferent,0.819,thes©,0.508,varioui,0.46,absurd,0.414
51,languages,0.3,religions,0.305,appearances,0.372,fecveral,0.338,erent,0.458,difficrent,0.645,ofdifferent,0.601,ifferent,0.607,differeot,0.745,diffesent,0.782,differant,0.818,virions,0.506,muchness,0.46,ludicrous,0.414
52,practised,0.3,conjectures,0.304,confounding,0.367,thefeveral,0.337,varioui,0.457,dilierent,0.645,differnt,0.573,difibrent,0.606,diterent,0.744,dlfferent,0.781,dilterent,0.817,venous,0.505,varied,0.46,varous,0.412
53,method,0.297,distant,0.304,similitude,0.366,fimilar,0.336,leveral,0.457,dilfcrent,0.643,vaiious,0.572,varions,0.604,dilfereut,0.744,iifferent,0.781,diffrent,0.815,diffei,0.501,diversified,0.46,haphazard,0.41
54,simple,0.296,distinguishing,0.304,leveial,0.366,feverai,0.335,vaiious,0.456,diftrent,0.639,differetit,0.572,fereut,0.603,difrerent,0.742,differcut,0.779,differept,0.811,vsrious,0.497,confusing,0.459,intelligible,0.409
55,heathen,0.295,meteors,0.303,distinguishing,0.365,diftinguifhed,0.334,feversl,0.452,ifferent,0.639,differeot,0.571,ofdifferent,0.6,various,0.74,differeot,0.777,differsnt,0.807,varioi,0.497,theso,0.459,differnce,0.408
56,heavenly,0.295,tolerable,0.303,similar,0.365,foveral,0.332,feverial,0.441,dificrent,0.638,diflrent,0.57,differeit,0.59,diiierent,0.739,difrerent,0.776,differest,0.806,rarious,0.496,tinct,0.457,conflicting,0.408
57,curing,0.295,defects,0.302,varying,0.365,deferiptions,0.331,varinus,0.438,diftcrent,0.638,differet,0.568,differeist,0.589,diflbrent,0.738,difflerent,0.774,dliferent,0.804,differentiated,0.496,types,0.455,matteroffact,0.408
58,politick,0.294,vari,0.302,particulai,0.365,refpeftive,0.33,fiveral,0.433,dirferent,0.635,differe,0.567,diffeirent,0.588,dinerent,0.738,diffsrent,0.772,fereut,0.802,analogous,0.496,rarious,0.454,fangled,0.407
59,vulgar,0.294,dresses,0.302,disadvantageous,0.364,icvcral,0.33,refpeffive,0.427,differeot,0.634,diffeent,0.557,differest,0.586,differant,0.736,aifferent,0.772,dirierent,0.802,certain,0.49,variois,0.454,curious,0.407
60,rules,0.294,ranks,0.301,religions,0.364,feviral,0.33,diviflons,0.426,diffircnt,0.634,varions,0.546,difflrent,0.586,ilifferent,0.736,differenlt,0.772,digerent,0.802,variou3,0.49,curious,0.452,multiplicity,0.407
61,explained,0.293,adapted,0.301,malevolent,0.364,computing,0.329,varius,0.425,diflirent,0.633,dlifferent,0.543,vatious,0.583,differcut,0.734,differenti,0.771,dirferent,0.801,oertain,0.489,varies,0.452,sameness,0.406
62,events,0.293,times,0.301,dressings,0.362,refpeive,0.329,variout,0.425,differetit,0.632,variou,0.541,terent,0.579,differnt,0.731,diffecent,0.77,iifferent,0.8,varies,0.489,conventional,0.451,repetitive,0.406
63,mens,0.292,conclusions,0.3,disposi,0.361,feverd,0.328,reveral,0.425,difcrent,0.632,varicus,0.541,diiterent,0.574,aifferent,0.73,diterent,0.769,diffdrent,0.799,•various,0.487,similarity,0.45,masculine,0.405
64,shapes,0.292,pompous,0.3,favourable,0.361,feversl,0.327,feicral,0.425,diffrcnt,0.63,differeiit,0.539,difrent,0.57,difrent,0.725,differenit,0.769,dierent,0.799,vaiious,0.484,haphazard,0.45,funny,0.404
65,evil,0.29,verted,0.299,subordinate,0.361,expreffing,0.327,varicus,0.425,diffe,0.629,vatious,0.537,dififerent,0.569,diffeent,0.725,idifferent,0.767,diserent,0.798,variotis,0.484,vary,0.449,childish,0.404
66,contradiction,0.29,sentiments,0.298,inconsistencies,0.36,teatables,0.327,feveril,0.424,lifferent,0.629,rarious,0.535,differeiit,0.567,diflrent,0.724,diserent,0.762,uifferent,0.797,theso,0.482,ficult,0.448,certam,0.404
67,animals,0.289,distances,0.298,several,0.36,objefts,0.326,diftint,0.421,various,0.629,iferent,0.528,diflrent,0.567,differest,0.722,differect,0.761,differen,0.797,similarity,0.481,diversity,0.446,evolved,0.403
68,human,0.289,contradict,0.297,cular,0.359,variou,0.326,fevefal,0.42,diderent,0.627,erent,0.526,lerent,0.566,afferent,0.722,diffeent,0.761,difftrent,0.795,haphazard,0.477,varving,0.446,hateful,0.402
69,separation,0.288,nicely,0.297,diff,0.359,contradictory,0.325,fcveral,0.418,ditierent,0.624,dirent,0.526,differeni,0.566,differeint,0.722,difibrent,0.757,differcut,0.794,varioos,0.477,diametrically,0.446,thaseyer,0.402
70,pure,0.288,superstition,0.296,assigning,0.358,atmofphere,0.325,thevarious,0.417,dlfferent,0.622,arious,0.516,differenlt,0.565,diverse,0.721,dliferent,0.757,differenti,0.794,varion,0.475,anomalous,0.445,standpoints,0.402
71,handled,0.287,variously,0.296,expressive,0.358,varied,0.325,varioua,0.417,diffcrcnt,0.622,vanous,0.515,difforent,0.564,ifferent,0.72,dtfferent,0.756,diffeent,0.794,varioas,0.474,vaiious,0.444,undesirable,0.401
72,piles,0.287,applicable,0.296,denominations,0.358,leveral,0.325,differently,0.417,differint,0.618,varibus,0.514,vaiious,0.563,rarious,0.719,differet,0.755,diffsrent,0.791,thee©,0.474,other,0.443,questionable,0.401
73,befides,0.287,regularity,0.295,fantastical,0.356,defcriptions,0.324,feieral,0.416,diflrent,0.618,varioos,0.513,variou,0.56,differect,0.719,difiereut,0.752,elifferent,0.788,vario,0.473,othor,0.443,definite,0.401
74,diseases,0.286,meaner,0.295,pacifick,0.356,diltant,0.324,vari,0.415,diffecrent,0.613,thedif,0.51,difirent,0.553,differetit,0.715,differsnt,0.751,differet,0.788,tarious,0.472,differe,0.442,humdrum,0.401
75,fixing,0.285,insignificant,0.295,especi,0.356,divided,0.323,vasious,0.415,differtnt,0.61,differ,0.51,dierent,0.552,differett,0.714,fereut,0.751,ditlereut,0.787,distinct,0.47,dissimilarity,0.442,dizzen,0.401
76,familiar,0.285,intelligible,0.295,alike,0.355,describing,0.321,feverai,0.415,ditrerent,0.608,thevarious,0.508,dinerent,0.552,dlifferent,0.714,differen,0.749,diifferent,0.786,variois,0.47,delinite,0.441,nebulous,0.4
77,judging,0.285,suspicious,0.295,particular,0.355,veral,0.32,everal,0.414,fcrent,0.604,vnrious,0.506,iferent,0.551,terent,0.714,ilifferent,0.748,diaerent,0.783,varioui,0.469,complicated,0.441,atheistic,0.4
78,remote,0.284,wrong,0.294,circumstan,0.355,vary,0.32,vatious,0.414,differcut,0.599,varinus,0.495,differnt,0.55,diffurent,0.713,dierent,0.747,diterent,0.782,variom,0.468,humbler,0.438,thase,0.399
79,habits,0.284,spective,0.293,diametrically,0.354,diflant,0.318,fevetal,0.413,fercnt,0.599,varioas,0.492,fferent,0.549,thedifferent,0.713,diverse,0.742,diftereut,0.781,these,0.468,vari,0.437,amazin,0.399
80,passions,0.284,discontented,0.293,professions,0.354,the1e,0.318,vaious,0.413,diierent,0.592,varous,0.491,differerit,0.548,varioui,0.713,difflrent,0.741,dinerent,0.781,differed,0.468,dividuals,0.436,oertain,0.399
81,negative,0.284,sorts,0.293,requisite,0.353,monftrous,0.318,arious,0.412,dilffrent,0.59,liferent,0.489,differet,0.548,difflrent,0.712,afferent,0.738,ditfeient,0.78,differentiate,0.468,commonplace,0.436,illogical,0.399
82,principally,0.284,thole,0.292,passions,0.353,fevrral,0.317,fuveral,0.412,differeht,0.589,differenlt,0.486,vanous,0.548,idifferent,0.709,dilfereut,0.736,ifferent,0.777,standpoints,0.466,choose,0.436,roughly,0.398
83,thing,0.283,described,0.292,sumptions,0.353,exprefling,0.317,refpeative,0.411,differept,0.589,ofvarious,0.485,differett,0.545,diftereut,0.708,differout,0.735,difflerent,0.774,multiplicity,0.466,varioue,0.436,plicated,0.398
84,natures,0.281,mechanicks,0.292,distin,0.352,ranks,0.316,fereral,0.41,ofdifferent,0.584,varioui,0.483,differert,0.545,differet,0.707,varicus,0.733,differeot,0.774,temperaments,0.464,ccrtain,0.436,suchlike,0.398
85,receives,0.281,quite,0.292,jarring,0.352,indifferent,0.314,ftveral,0.409,fferent,0.574,virions,0.481,varioas,0.544,differeiit,0.707,diffdrent,0.73,differout,0.773,conflicting,0.462,othet,0.435,misnomer,0.397
86,latitude,0.28,irregularities,0.291,situations,0.351,traced,0.314,widely,0.408,vaiious,0.566,several,0.477,idifferent,0.544,differenst,0.705,differnt,0.73,dillrent,0.771,vatious,0.461,certain,0.435,nonexistent,0.397
87,concerning,0.28,graceful,0.291,varioufly,0.35,fevernl,0.313,ieveral,0.407,differeint,0.545,tarious,0.473,varous,0.53,iifferent,0.705,differtnt,0.73,diiiereut,0.771,thevarious,0.461,differentiate,0.434,creeds,0.397
88,orderly,0.28,changed,0.291,poftures,0.35,levcral,0.312,feveras,0.407,terent,0.543,difirent,0.472,tarious,0.53,differtnt,0.703,vaiious,0.728,diverse,0.768,confusing,0.461,differentiates,0.434,nowadays,0.397
89,mixture,0.279,credulity,0.291,attitudes,0.349,divilions,0.312,feyeral,0.407,dirent,0.539,variout,0.467,ierent,0.529,differeist,0.702,iferent,0.727,differerit,0.767,vnrious,0.461,depending,0.433,sayrious,0.397
90,principle,0.278,disguises,0.291,kinds,0.349,fubterraneous,0.312,varions,0.406,differenlt,0.535,virious,0.466,vnrious,0.523,fcrent,0.702,fferent,0.727,dlfferent,0.767,dissimilarity,0.46,ourious,0.433,interdependent,0.397
91,particular,0.278,aristotle,0.29,magnitudes,0.348,refpefive,0.312,refpetive,0.406,diffc,0.53,vartous,0.461,ilifferent,0.52,varioas,0.701,differentl,0.727,differeet,0.766,varving,0.458,fundamentally,0.433,certai,0.396
92,sentences,0.276,pathetick,0.289,atmosphere,0.347,phenomena,0.312,remoter,0.405,varions,0.53,varieus,0.46,varioui,0.519,fferent,0.7,diifferent,0.727,diffurent,0.764,yarious,0.458,tarious,0.432,peculiarities,0.396
93,arife,0.276,firange,0.289,signification,0.347,fvcral,0.311,diftindt,0.404,iferent,0.529,variotis,0.458,variotis,0.519,iferent,0.699,differeint,0.725,differenit,0.763,differentiating,0.457,varioas,0.432,unenglish,0.396
94,obferved,0.276,monsters,0.289,remote,0.347,microfcopes,0.31,fevcial,0.402,variqus,0.522,varios,0.458,differenti,0.517,yarious,0.697,differelt,0.724,difforont,0.763,aarious,0.456,generalise,0.431,something,0.396
95,distinction,0.275,abbreviations,0.289,significations,0.347,ranged,0.31,ftations,0.4,difecrent,0.522,variois,0.452,diffecrent,0.514,variors,0.696,dillereut,0.723,fferent,0.76,welldefined,0.455,grouped,0.431,difficult,0.396
96,noted,0.275,smaller,0.289,theirs,0.347,corners,0.31,fveral,0.399,direrent,0.522,veral,0.45,erent,0.512,differemit,0.695,various,0.721,various,0.759,complementary,0.453,orthodox,0.431,haphazardly,0.396
97,qualities,0.275,surface,0.288,changeable,0.346,federal,0.31,colours,0.397,differe,0.516,varidus,0.449,variouts,0.512,varioos,0.695,diffeieut,0.721,dlifferent,0.758,embarassing,0.452,uiese,0.429,stereotyped,0.396
98,disposition,0.273,fundamentals,0.287,jurious,0.346,syftems,0.31,fevertl,0.396,vatious,0.516,yarious,0.442,varioos,0.511,diifferent,0.695,diaerent,0.721,dirlerent,0.758,analagous,0.451,paradoxical,0.429,nonofficial,0.395
99,weak,0.273,nations,0.287,dispositions,0.346,thpfe,0.309,variou,0.394,differene,0.515,ivarious,0.442,vaious,0.511,dilerent,0.695,difirent,0.72,differens,0.755,antagonistic,0.449,anous,0.429,erent,0.395
