,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
19,satan,0.35,rulc,0.372,supreme,0.413,controul,0.395,protedor,0.473,cobweb,0.496,pontiff,0.468,abdul,0.672,dependency,0.683,nonentity,0.704,potentate,0.484,caliph,0.473,tempeman,0.457
20,apoftles,0.35,subjection,0.371,godly,0.405,wifdon,0.393,potgos,0.466,drone,0.495,supreme,0.464,rulers,0.672,proconsuls,0.682,stateman,0.703,monarch,0.481,mahommedan,0.472,dignitary,0.456
21,rebearf,0.349,plebeian,0.37,fupreme,0.405,mighty,0.393,pontac,0.466,phantom,0.494,omnipotent,0.464,omnipotence,0.671,kingship,0.68,masterful,0.703,autocracy,0.481,sultan,0.472,balbo,0.454
22,chrif,0.348,sway,0.37,paffive,0.405,jehovah,0.392,skyrocket,0.466,tonian,0.493,creator,0.461,dominion,0.67,effacement,0.68,patriot,0.703,abdul,0.48,destiny,0.472,duplicity,0.451
23,lawful,0.346,wisest,0.369,praile,0.404,monarch,0.392,satellite,0.465,potsos,0.492,dictator,0.461,barbarian,0.669,domination,0.68,politican,0.698,suzerain,0.48,mohammedan,0.471,caudillo,0.45
24,invisible,0.345,mighty,0.369,creator,0.404,monarchs,0.391,minion,0.465,liberator,0.488,enchanter,0.46,empire,0.668,usurper,0.679,tutelage,0.697,bureaucrat,0.478,overlordship,0.471,murles,0.45
25,accountable,0.341,bless,0.368,admiring,0.403,fway,0.39,ayrtons,0.464,clayhall,0.487,deliverer,0.458,reignty,0.665,rulor,0.678,allpowerful,0.696,counsellors,0.474,sheikh,0.465,sailcloth,0.449
26,greatnefs,0.34,eternal,0.367,imperious,0.403,wiidom,0.389,magnet,0.463,delpini,0.482,barbarian,0.455,mahomet,0.665,sovereignty,0.678,strategist,0.696,worldempire,0.472,despotic,0.465,euraquilo,0.449
27,afflictions,0.339,kingly,0.366,heavn,0.397,jove,0.388,herod,0.463,daiu,0.481,sovereignly,0.455,vassal,0.664,slaveholder,0.678,absolutism,0.695,dynasty,0.472,despot,0.465,emperor,0.447
28,sove,0.339,defpotick,0.366,senfc,0.396,preme,0.387,playfellow,0.462,icelander,0.48,vicegerent,0.454,raler,0.664,potentate,0.676,adherent,0.694,hamid,0.471,tibetan,0.464,karagan,0.446
29,obey,0.338,omnipotence,0.364,haild,0.396,godhead,0.387,proteftor,0.461,boudrow,0.479,avenger,0.451,arbiter,0.663,vassalage,0.675,vassalage,0.693,despots,0.471,ahmed,0.464,putupon,0.446
30,commandments,0.338,blest,0.364,sweetnefs,0.395,obey,0.385,wentworths,0.461,ambrosia,0.478,reignty,0.449,autocrats,0.663,subserviency,0.675,demigod,0.692,lawgiver,0.47,moslem,0.464,newobog,0.445
31,earth,0.336,thine,0.363,adoration,0.394,mercies,0.384,lycurgus,0.459,graadam,0.477,oppressor,0.447,kaiser,0.663,lawgiver,0.673,ruleand,0.69,pacificator,0.468,warlords,0.464,bidar,0.445
32,creator,0.335,prefers,0.363,fcrupulous,0.394,deity,0.383,fitzherod,0.458,waxey,0.475,prophet,0.446,feudatory,0.661,revolutionist,0.673,kingship,0.689,domination,0.468,sovereignty,0.46,bookbinder,0.444
33,compendium,0.335,governd,0.362,heavenly,0.391,delegate,0.382,weafel,0.458,diomed,0.474,deity,0.442,medjid,0.66,despots,0.672,henchman,0.689,bureaucracy,0.466,nobleman,0.46,rodogat,0.444
34,terrors,0.335,supreme,0.362,blufh,0.391,omnipotence,0.382,spadille,0.457,pyrrhus,0.472,depotism,0.439,subjugation,0.66,usurpation,0.672,headship,0.689,kingship,0.464,dynasty,0.456,idolatry,0.444
35,chrift,0.334,blefi,0.361,frowns,0.39,defpotic,0.38,magog,0.457,agonistes,0.472,rajah,0.437,satraps,0.659,dictatorship,0.671,ministerwho,0.688,proconsul,0.464,philosopher,0.455,carnivorous,0.444
