,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
30,command,0.358,colonel,0.35,son,0.405,marquess,0.483,mareschal,0.532,buke,0.634,highneis,0.545,duchcfs,0.648,dukie,0.718,1uke,0.694,diike,0.718,dnko,0.829,ddke,0.854,dfke,0.858,dnkc,0.624,duohess,0.608,dukedom,0.396
31,er,0.352,eight,0.344,mon,0.404,ormond,0.479,dule,0.531,dtke,0.63,ancafter,0.544,highnefs,0.647,dukt,0.715,dtuke,0.688,dukie,0.718,duki,0.828,dukeo,0.853,dbke,0.856,dtjke,0.623,buccleuch,0.607,31743175,0.395
32,hence,0.352,hee,0.342,expected,0.403,dauphin,0.474,doke,0.529,datchefs,0.63,cumberlands,0.543,lighnefs,0.64,ddke,0.714,dukce,0.687,duhe,0.713,duike,0.827,lduke,0.851,dunke,0.856,dukk,0.622,ducliess,0.607,highnesses,0.392
33,toward,0.351,bufineffe,0.338,crowns,0.4,prince,0.472,marquiss,0.527,iduke,0.628,prince,0.541,dtke,0.639,iuke,0.713,duxe,0.687,dukce,0.711,ihike,0.827,dlke,0.848,theduke,0.856,dukes,0.62,diike,0.605,exkaiser,0.387
34,gone,0.35,grand,0.338,don,0.398,mareschal,0.469,marchioness,0.527,lorrain,0.611,aremberg,0.54,ouke,0.639,duake,0.711,dcke,0.682,dpke,0.711,dukes,0.824,duks,0.848,dukie,0.854,saxecoburg,0.616,hrh,0.603,tions—harris,0.387
35,france,0.35,young,0.338,ambassadors,0.397,landtgrave,0.467,mademoiselle,0.527,dutchers,0.61,marlbo,0.539,dukt,0.638,dukre,0.71,duka,0.681,dutke,0.708,bucoleuch,0.824,fduke,0.847,ouke,0.851,ouke,0.615,dukk,0.598,vlls,0.386
36,march,0.348,himfelfe,0.33,lieutenant,0.395,mantua,0.467,ormonde,0.526,dutchefi,0.599,montemar,0.539,duchefis,0.636,dukte,0.707,dnchess,0.681,ddke,0.707,dttke,0.823,dukce,0.845,dukt,0.85,conuaught,0.615,saxecoburg,0.598,boweslyon,0.386
37,state,0.348,fc,0.329,continues,0.384,hesse,0.465,durchefs,0.525,liria,0.598,chandos,0.534,duchefa,0.636,dukcof,0.706,dukee,0.68,dtuke,0.707,jjuke,0.822,dukel,0.844,duchess,0.845,connaught,0.612,dukr,0.597,lordlieutenant,0.386
38,troopes,0.345,children,0.328,journey,0.383,quis,0.465,fuke,0.521,duchefs,0.594,princeof,0.533,ancaller,0.636,ditke,0.705,duches,0.679,dnchess,0.706,dlake,0.821,dukie,0.843,duake,0.845,iduke,0.605,dukb,0.592,gcv0,0.383
39,moneth,0.345,tome,0.326,hamburg,0.382,albemarle,0.465,ossuna,0.517,lyria,0.594,wirtemberg,0.531,duki,0.634,dutchefs,0.704,dukes,0.678,dttke,0.705,duake,0.819,dpke,0.841,dukeot,0.844,duku,0.603,duchesa,0.591,windsor,0.381
40,bohemia,0.344,his,0.324,com,0.381,landgrave,0.462,earl,0.516,orleans,0.588,marquis,0.528,dulte,0.632,dlike,0.703,dttke,0.678,fluke,0.705,dukle,0.819,dulre,0.841,dcke,0.843,theduke,0.602,roxburghe,0.58,patron,0.379
41,generall,0.343,ke,0.323,imperial,0.375,savoy,0.462,berwick,0.514,holilein,0.587,richmonds,0.527,duchels,0.632,fduke,0.702,dutchess,0.677,deke,0.704,diike,0.819,dhke,0.84,dulke,0.842,mecklenburgstrelitz,0.601,dake,0.574,bernhard,0.379
42,field,0.342,sr,0.321,states,0.374,parma,0.461,grace,0.513,grace,0.584,gracc,0.526,highnef,0.626,dukz,0.701,ditke,0.676,dcke,0.703,dnkeof,0.819,diuke,0.839,dachess,0.842,doko,0.597,buccleuchs,0.569,tvtessrs,0.379
43,companies,0.341,feare,0.321,troops,0.368,palatin,0.46,chartres,0.509,ancaster,0.582,highnefs,0.525,ancafter,0.624,duice,0.701,thedukeof,0.675,vuke,0.703,dulie,0.819,jduke,0.838,dnka,0.841,dulke,0.596,portlands,0.568,majesties,0.379
44,prince,0.337,ox,0.321,deputies,0.367,grana,0.456,marlbo,0.506,fluke,0.581,daremberg,0.524,leinfter,0.622,dukl,0.699,dulie,0.671,dukes,0.7,1uke,0.818,duake,0.836,duki,0.839,duchees,0.589,prince,0.56,bourbon,0.379
45,hec,0.336,troope,0.318,danby,0.366,ctor,0.456,£duke,0.506,holstein,0.578,gottorp,0.516,dule,0.621,duks,0.695,dnkeof,0.67,dukte,0.699,thedukeof,0.818,dnkc,0.836,tduke,0.838,gonnaught,0.589,duki,0.556,holyroodhouse,0.379
46,caufed,0.334,thereupon,0.317,forces,0.365,marquifs,0.455,prince,0.506,dutchefa,0.577,richmond,0.515,highneis,0.62,dlke,0.694,dukte,0.67,ducbess,0.699,dukee,0.815,drke,0.835,dukn,0.838,ijuke,0.588,prinoe,0.547,tvfessrs,0.378
47,go,0.332,marched,0.317,horse,0.362,emperor,0.454,dike,0.505,bolcon,0.576,piince,0.515,ducheis,0.62,dtke,0.693,buke,0.67,buccleuch,0.691,dfuke,0.815,ducbess,0.834,thedukeof,0.837,duohess,0.587,princo,0.547,cobbc,0.377
48,lately,0.332,fairfax,0.317,audience,0.362,branden,0.448,marlborougb,0.504,dutchef,0.574,hisgrace,0.51,ighnefs,0.619,queensberry,0.693,dutke,0.669,dhke,0.69,ijuke,0.813,dflke,0.834,dufce,0.836,dachess,0.583,buke,0.545,tweedsmuirs,0.377
49,emperours,0.332,states,0.317,parted,0.36,conde,0.445,beaufort,0.5,queensberry,0.572,chartres,0.509,hghnefs,0.618,dulie,0.689,dukei,0.667,wellington,0.69,duk,0.812,dachess,0.834,dske,0.835,dtke,0.583,uchess,0.544,quess,0.376
50,follow,0.332,colonell,0.316,extraordinary,0.359,kingof,0.445,charolois,0.498,dowager,0.572,ferdinand,0.506,ilighnefs,0.613,duchess,0.688,dukeot,0.666,dlike,0.688,buceleuch,0.811,vuke,0.833,1uke,0.835,connanght,0.582,dnchess,0.542,winccr,0.376
51,marched,0.328,beginning,0.314,remain,0.356,electoral,0.443,athol,0.492,holsteyn,0.57,saxegotha,0.504,ancafler,0.613,dukes,0.688,dulce,0.661,duku,0.688,liuke,0.807,dske,0.833,dakeof,0.833,duie,0.581,buocleuch,0.537,macarthys,0.376
52,em,0.328,prifoner,0.314,treaty,0.356,brandenburgh,0.443,dombes,0.491,uke,0.566,uke,0.503,dke,0.613,duchefi,0.685,ihike,0.66,dukeand,0.687,buccleueh,0.804,dauke,0.832,dukte,0.831,dulte,0.578,dtke,0.534,princesses,0.374
53,ac,0.326,princes,0.313,demand,0.353,bouillon,0.437,marelchal,0.488,ormonde,0.561,earl,0.501,duchef,0.611,dbke,0.684,duki,0.659,duske,0.683,duchess,0.803,dlake,0.832,dauke,0.829,dukt,0.576,atholls,0.532,hellenes,0.373
54,emperor,0.326,tlhe,0.311,servants,0.352,envoy,0.436,alva,0.487,hisgrace,0.56,highness,0.5,gracethe,0.608,fuke,0.684,iluke,0.65,dukee,0.681,bucclench,0.802,dukse,0.831,duohess,0.829,connaaght,0.576,marquis,0.524,jaylor,0.372
55,citie,0.325,countrey,0.311,queen,0.351,sieur,0.436,shrewsbury,0.484,argyll,0.559,modena,0.5,duchers,0.607,thedukeof,0.684,grace,0.649,dachess,0.681,dcke,0.801,duchess,0.83,duk,0.828,dukc,0.574,duche,0.522,norfolk,0.372
56,emperour,0.325,oa,0.309,sum,0.35,plenipotentiary,0.434,marq,0.484,dutchefis,0.556,marihal,0.5,iighnefs,0.607,duko,0.684,fluke,0.646,ductless,0.68,dakeof,0.801,dcke,0.83,dulco,0.826,duehess,0.572,beauforts,0.522,princesss,0.371
57,fon,0.325,mafler,0.309,attend,0.349,bourg,0.433,marl,0.48,gracethe,0.548,marfhal,0.497,marquifs,0.607,duka,0.682,dukie,0.646,dke,0.679,duku,0.799,dfuke,0.829,liuke,0.825,ixike,0.572,earl,0.52,kg,0.371
58,g,0.324,joyned,0.307,master,0.348,staremberg,0.433,grandson,0.475,marquis,0.547,orleans,0.497,highncfs,0.602,1uke,0.681,athol,0.645,duake,0.679,dukeo,0.799,1uke,0.828,dtke,0.825,mecklenburgschwerin,0.572,lrince,0.519,marchioness,0.369
59,refolued,0.324,field,0.307,family,0.348,monsieur,0.432,marefchal,0.474,dke,0.546,highncfs,0.496,highnefi,0.601,dpke,0.68,duks,0.645,dulie,0.679,duxe,0.799,ducheas,0.826,prince,0.824,connaugbt,0.571,dukedom,0.516,gloucesters,0.369
60,sweden,0.323,thither,0.307,holland,0.348,marefchal,0.432,roxburgh,0.474,gottorp,0.542,duie,0.495,puke,0.6,duchels,0.68,dke,0.643,ijuke,0.678,dukf,0.798,duk,0.823,dttke,0.823,oonnaught,0.571,connaught,0.515,edinburghs,0.369
61,got,0.323,commons,0.305,pass,0.347,sax,0.431,parma,0.474,chess,0.539,ighnefs,0.495,choifeuil,0.599,buke,0.68,dukr,0.643,thedukeof,0.677,marquis,0.797,duches3,0.823,dflke,0.823,duches3,0.569,connauglit,0.514,lations—harris,0.369
62,backe,0.323,began,0.305,mar,0.345,mont,0.431,berry,0.474,marquess,0.538,richlieu,0.494,highnels,0.595,queenfbury,0.679,dlke,0.642,dukeol,0.677,buecleuch,0.797,duku,0.823,duku,0.821,saxecoburggotha,0.566,aosta,0.513,ivfessrs,0.366
63,le,0.322,during,0.304,scotland,0.344,earl,0.429,maiquis,0.469,lorain,0.538,granby,0.494,highnefa,0.593,dttke,0.679,berri,0.639,dukeot,0.677,dbke,0.797,dalke,0.822,dnchess,0.819,dnka,0.565,hr11,0.512,—duke,0.365
64,chiefe,0.319,comming,0.302,affairs,0.342,portugal,0.429,fluke,0.469,dutchesses,0.537,penthievre,0.493,highners,0.593,duchcfs,0.679,dachess,0.635,dukt,0.675,dukte,0.796,dtke,0.821,duuke,0.818,diike,0.562,figdale,0.512,gepp,0.365
65,vnto,0.318,twenty,0.302,grand,0.341,count,0.426,bolingbroke,0.469,marquifs,0.536,priace,0.493,flighnefs,0.593,diike,0.678,duchefs,0.634,ihike,0.675,duhe,0.795,duohess,0.82,dnuke,0.816,roxburghe,0.561,atlilone,0.511,ducness,0.365
66,towards,0.316,command,0.302,hither,0.341,france,0.426,bolton,0.467,holitein,0.535,marlhal,0.493,chablais,0.592,dutchess,0.677,uuke,0.634,liuke,0.673,fuke,0.795,duice,0.82,dlke,0.815,dike,0.56,—duke,0.51,tty,0.365
67,hc,0.315,prefently,0.301,honour,0.34,brandenburg,0.425,buke,0.466,marquiss,0.535,deuxponts,0.491,highnes,0.591,duie,0.676,dlike,0.63,dlake,0.671,dukse,0.792,thedake,0.82,dukse,0.814,jjuke,0.56,granard,0.51,cavendishbentinck,0.365
68,ot,0.312,firfi,0.301,his,0.34,king,0.425,wolfembuttel,0.466,gravina,0.534,highnes,0.486,highneft,0.59,ouke,0.676,prince,0.625,duks,0.671,dhke,0.79,marquis,0.819,ijuke,0.814,hrh,0.559,duchesss,0.508,norgeneral,0.364
69,going,0.31,art,0.298,father,0.34,villa,0.425,dke,0.466,mariborough,0.532,argyle,0.482,daiguillon,0.589,dachefs,0.675,duche,0.623,marquis,0.67,dukre,0.789,daks,0.819,ljuke,0.814,duches,0.556,westminsters,0.508,ivtessrs,0.364
70,de,0.309,parlia,0.296,mother,0.336,countess,0.425,chandois,0.466,holfteins,0.53,princefs,0.481,hlighnefs,0.589,tduke,0.669,hombourg,0.622,highness,0.67,marqnis,0.788,dukj,0.817,dukoof,0.812,duchessof,0.555,princess,0.507,majesty,0.363
71,fayd,0.309,robert,0.295,horfe,0.335,spain,0.425,arran,0.463,tulcany,0.529,crace,0.481,dulce,0.587,duchers,0.669,durke,0.621,buccleugh,0.669,buccleucb,0.787,dduke,0.817,dnlke,0.812,duchcss,0.554,buccleugh,0.507,prince,0.363
72,likewife,0.309,houfe,0.294,french,0.335,lunenburg,0.424,holstein,0.463,meck,0.529,highners,0.48,athol,0.584,dike,0.668,highness,0.62,fuke,0.668,maiquis,0.787,dukf,0.815,drke,0.811,connaoght,0.554,northumberlands,0.505,queen,0.361
73,forces,0.304,lie,0.294,sent,0.333,abbot,0.424,elector,0.462,lorrains,0.529,albemarle,0.478,erneft,0.582,dmke,0.663,sudermania,0.619,dunke,0.667,marquess,0.786,dukoof,0.815,jjuke,0.811,dluke,0.554,princc,0.504,begum,0.361
74,riuer,0.303,charge,0.294,preparing,0.333,sueden,0.423,clermont,0.462,mecklem,0.528,eugene,0.477,nivernois,0.58,dnchefs,0.662,clarences,0.611,clarence,0.666,ddke,0.785,ijuke,0.815,dukr,0.811,mecklenburg,0.552,prinee,0.504,archbishop,0.361
75,feruice,0.302,after,0.293,re,0.333,palatine,0.422,bergheyck,0.462,regent,0.528,marlboroughs,0.477,highnefis,0.578,ducliefs,0.662,fuke,0.611,dske,0.665,baccleuch,0.785,dmke,0.815,duchessof,0.81,connauglit,0.551,atlioll,0.503,queensberry,0.361
76,ne,0.302,ne,0.291,heir,0.332,ambassador,0.421,vendome,0.46,ripperda,0.528,wolfenbuttel,0.476,leinfler,0.577,duehefs,0.661,duchcfs,0.608,ditke,0.665,dukr,0.784,liuke,0.814,dukeand,0.81,connaughts,0.551,quess,0.501,umberto,0.361
77,marching,0.302,plot,0.291,sunday,0.331,viceroy,0.421,countess,0.459,montpensier,0.527,mirepoix,0.476,saxegotha,0.576,ducbefs,0.658,liuke,0.608,duki,0.665,dauke,0.784,dnchess,0.814,ihike,0.81,coburggotha,0.55,princ©,0.497,bluebottle,0.361
78,death,0.3,fight,0.29,likewise,0.331,baron,0.419,count,0.458,ventadour,0.526,lrince,0.475,dukes,0.572,buccleugh,0.657,duske,0.605,dukec,0.664,wellington,0.784,marqnis,0.812,dukoe,0.81,aosta,0.55,montagudouglasscott,0.492,heir,0.359
79,gabor,0.3,the,0.289,officers,0.331,maresehal,0.418,boufflers,0.457,mecklenbourg,0.526,holflein,0.474,earl,0.572,yorx,0.657,gracethe,0.602,dutchess,0.664,buocleuch,0.784,dukte,0.812,ducness,0.81,ducbess,0.549,athlono,0.491,earldom,0.359
80,h,0.299,french,0.289,ministers,0.33,ambaflador,0.416,marshal,0.455,wolfenbuttel,0.523,dukes,0.473,cumberland,0.57,duae,0.657,piince,0.602,duchcss,0.658,dtuke,0.782,dukt,0.811,piince,0.809,teck,0.548,marchioness,0.489,emperor,0.358
81,thereupon,0.297,majefty,0.288,health,0.329,munster,0.416,gyle,0.454,athole,0.522,roxburgh,0.473,highness,0.569,duclhefs,0.656,leinster,0.602,diske,0.656,ditke,0.781,dunke,0.81,connaugbt,0.808,djke,0.547,beauforts—at,0.488,viscount,0.358
82,imperiall,0.296,major,0.287,lands,0.329,resident,0.415,uncle,0.453,marquise,0.522,psince,0.472,maiquis,0.568,vuke,0.656,ilighnefs,0.602,ducliess,0.655,marqui,0.781,duxe,0.809,dlake,0.807,connaugnt,0.547,queensberry,0.487,jumsey,0.358
83,reft,0.295,troopes,0.287,kings,0.327,sweden,0.414,uke,0.453,maiquis,0.522,highnets,0.471,giace,0.566,thedukes,0.653,meiningen,0.601,dochess,0.655,duket,0.78,dufce,0.809,dtuke,0.806,duoheas,0.547,colonelinchief,0.487,knights,0.355
84,firft,0.292,el,0.287,brother,0.326,peror,0.409,ernest,0.451,graston,0.521,grafton,0.471,themarquis,0.566,duches,0.653,duchessof,0.601,marquess,0.655,dukel,0.78,dukp,0.808,buke,0.806,ditke,0.546,connaughts,0.486,qffin,0.355
85,bridge,0.29,collonel,0.287,morrow,0.324,highnefs,0.409,governess,0.451,modena,0.52,tufcany,0.471,higbnefs,0.559,duhe,0.648,dukec,0.601,lluke,0.654,dutke,0.779,duebess,0.808,dalke,0.806,coimaught,0.545,countess,0.485,lieutenant,0.354
86,aid,0.29,followed,0.286,thither,0.324,spam,0.409,abbot,0.45,queensbury,0.519,soubife,0.47,chartres,0.556,queenfberry,0.647,highners,0.6,dukk,0.652,dunke,0.778,dukr,0.807,priuce,0.805,michailovitch,0.544,atholi,0.484,31745,0.354
87,ha,0.289,com,0.284,return,0.323,governour,0.407,highness,0.45,charost,0.517,grice,0.469,prince,0.556,dukeand,0.645,belluno,0.598,duchesa,0.652,bnccleuch,0.774,dutke,0.807,daohess,0.805,dukei,0.54,marquia,0.484,viceroy,0.353
88,army,0.288,general,0.284,towards,0.323,sicur,0.407,dowager,0.45,mecklenburg,0.517,archbifhop,0.468,mecklenbourg,0.556,duket,0.643,homberg,0.595,dulse,0.652,dukec,0.774,duchees,0.806,duks,0.804,lluke,0.539,dowager,0.483,viessrs,0.353
89,foure,0.288,friend,0.283,concluded,0.323,treves,0.405,nassau,0.449,holfiein,0.517,highnefa,0.467,gtace,0.554,yorks,0.641,landgrave,0.595,dukse,0.651,duae,0.773,luchess,0.806,dhke,0.804,uchess,0.539,princcss,0.482,jellicoe,0.352
90,states,0.287,ion,0.283,nov,0.318,riage,0.405,monteleon,0.447,buccleugh,0.516,godolphin,0.466,gloucefters,0.553,leiniter,0.64,dunke,0.594,uchess,0.648,iukc,0.773,dttke,0.805,connaught,0.803,dukedom,0.538,colonelin,0.481,feisal,0.352
91,che,0.287,heard,0.283,ral,0.317,vaudemont,0.403,monsieur,0.445,holficin,0.514,newcattle,0.466,hisgrace,0.553,dukesof,0.639,duchels,0.594,angou,0.647,dako,0.772,duk6,0.805,coonaught,0.803,nicolaievitch,0.535,beaufort,0.48,roxburghe,0.351
92,him,0.287,moved,0.282,germany,0.316,saxony,0.402,grafton,0.445,duie,0.513,maifhal,0.465,screne,0.553,puke,0.639,ducliess,0.594,duchessof,0.646,marqais,0.772,marqui3,0.804,saxecoburg,0.803,hesse,0.535,highness,0.48,abdicated,0.351
93,ted,0.287,lieutenant,0.282,quality,0.316,romans,0.401,savoy,0.445,holflein,0.511,newcaftles,0.465,highnets,0.551,hisgrace,0.639,dutchefs,0.593,buecleuch,0.646,eduke,0.772,ljuke,0.803,ducbess,0.803,dochess,0.534,lascellos,0.48,throne,0.351
94,vnder,0.285,england,0.28,commander,0.315,piedmont,0.398,noailles,0.443,electress,0.51,dorfet,0.465,archbifhop,0.55,duchefa,0.639,saxe,0.592,dukf,0.646,duches,0.771,dulko,0.802,dukf,0.803,hohenlohelangenburg,0.532,ducal,0.478,lordlieut,0.35
95,eight,0.285,gentleman,0.28,performed,0.314,trier,0.397,modena,0.442,lembourg,0.509,highnels,0.465,archbilhop,0.547,duchef,0.639,pfince,0.592,sussexs,0.645,dnchess,0.771,dukea,0.801,dukei,0.802,duchesa,0.532,duchesses,0.477,ncess,0.35
96,ordnance,0.284,alone,0.279,de,0.314,governor,0.396,regent,0.441,montrose,0.509,harcourt,0.464,gracc,0.547,ducheis,0.637,highneis,0.591,duchesses,0.643,iluke,0.77,duchoss,0.799,duches3,0.802,dowagerduchess,0.531,cleuch,0.477,crichtonstuart,0.35
