,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
33,caufe,0.415,ch,0.344,majesty,0.381,jesty,0.406,iking,0.436,kine,0.545,prulfia,0.519,kine,0.582,kinz,0.663,ktng,0.622,kirig,0.683,kicg,0.749,3king,0.785,kuig,0.733,kinar,0.609,kiog,0.59,juliana,0.441
34,this,0.412,of,0.344,minister,0.38,pope,0.403,his,0.427,icing,0.537,qneen,0.519,pruffla,0.58,kying,0.66,kilg,0.618,ktng,0.682,kinr,0.748,kinjr,0.783,kling,0.727,kins,0.609,kixg,0.589,wenceslas,0.441
35,warre,0.41,and,0.341,marquis,0.379,versailles,0.402,jesty,0.424,kings,0.531,qeen,0.518,pruilia,0.579,kxing,0.657,kieg,0.617,kitng,0.681,kingof,0.747,kig,0.777,jking,0.723,kinq,0.606,kin£,0.579,queen,0.435
36,us,0.409,royall,0.341,highness,0.376,statesgeneral,0.401,alajesty,0.422,kinr,0.531,prulia,0.517,kiiig,0.579,kintg,0.657,khing,0.615,kinir,0.681,maximilian,0.746,kinc,0.776,kinjr,0.723,quoen,0.606,kinq,0.578,farouks,0.435
37,prefent,0.407,title,0.341,peace,0.371,plenipotentiary,0.395,czar,0.422,kilg,0.529,kink,0.513,emperor,0.577,kitg,0.655,kinjr,0.611,kirng,0.679,kuig,0.744,kinir,0.774,kinr,0.721,kinff,0.601,kina,0.578,kin,0.431
38,therefore,0.406,judges,0.34,states,0.371,ambassadors,0.394,princess,0.419,kingi,0.528,emprefs,0.512,ktng,0.576,krng,0.654,kinp,0.608,kinsr,0.679,ferdinand,0.743,kincr,0.772,kiwg,0.72,kinpr,0.6,kihg,0.573,king—,0.43
39,world,0.406,reformation,0.34,government,0.369,orleans,0.393,czarissi,0.412,kting,0.527,sardinia,0.511,pruflias,0.574,kinlg,0.646,kimr,0.607,kilg,0.679,kmg,0.743,kcing,0.772,krng,0.719,kiiig,0.599,kinff,0.563,belgians,0.423
40,it,0.405,by,0.337,bishop,0.363,emperour,0.393,ofsweden,0.41,kisg,0.526,qieen,0.511,kin,0.57,kifig,0.642,kinj,0.605,theking,0.673,kfing,0.741,kfing,0.77,fking,0.716,kfng,0.599,kidg,0.56,edward,0.422
41,so,0.404,ion,0.337,conclude,0.362,plenipotentiaries,0.393,lking,0.407,qaeen,0.521,kinr,0.511,denmaik,0.569,icing,0.64,kintg,0.605,kingl,0.673,kisig,0.74,krng,0.769,kinjj,0.713,kimg,0.595,krng,0.557,abdication,0.421
42,do,0.404,ee,0.336,audience,0.362,kin,0.392,notifying,0.402,kingr,0.519,qteen,0.507,kitig,0.564,kingof,0.632,kcing,0.603,kinz,0.671,kixg,0.737,kilng,0.768,kinf,0.707,queon,0.594,queen,0.551,vestiture,0.419
43,hi,0.403,she,0.333,declared,0.361,resident,0.39,duke,0.4,qieen,0.512,qaeen,0.507,denmark,0.564,xking,0.631,kuig,0.599,kjng,0.669,kinig,0.729,kintr,0.767,kting,0.706,oueen,0.59,kfng,0.55,prince,0.417
44,k,0.403,father,0.331,lent,0.361,doge,0.388,fcing,0.399,slaus,0.508,pruffias,0.506,kitg,0.563,kink,0.631,kisig,0.595,kig,0.668,kivg,0.726,klug,0.764,khing,0.706,kinz,0.589,kin,0.55,princess,0.417
45,pre,0.402,liberties,0.33,governor,0.36,empress,0.388,britannic,0.398,kivg,0.498,kina,0.501,kling,0.561,kimg,0.63,kinq,0.595,qneen,0.668,kitg,0.725,kinlg,0.761,queeu,0.705,kingr,0.584,kingr,0.549,waiting—waycotts,0.415
46,ef,0.401,fourth,0.329,em,0.358,bassador,0.386,croissy,0.396,kling,0.491,prince,0.496,emprefs,0.552,1king,0.63,kine,0.587,majesty,0.666,kinp,0.724,kirng,0.761,qoeen,0.701,kicg,0.581,klng,0.548,throne,0.413
47,that,0.399,fc,0.329,extraordinary,0.357,abbot,0.385,theemperor,0.393,kcing,0.49,emprcfs,0.494,emprcfs,0.55,kinog,0.629,kirng,0.585,kittg,0.664,phillipe,0.723,kiny,0.761,kinlg,0.7,kimr,0.581,theking,0.544,klng,0.413
48,will,0.397,ns,0.329,princes,0.356,dantzick,0.384,pretender,0.393,kinj,0.488,quecn,0.491,kink,0.549,kicg,0.628,kiisg,0.577,kixg,0.663,kinc,0.72,kißg,0.76,klug,0.7,kikg,0.58,amanullah,0.54,mackenzie,0.412
49,a,0.397,third,0.329,spain,0.355,ambassadour,0.384,iving,0.392,kinc,0.487,kingr,0.481,emprefsqueen,0.548,kjng,0.628,klng,0.577,kintg,0.662,kjng,0.718,kting,0.76,kingof,0.699,quean,0.579,fuad,0.535,selassie,0.412
