,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
22,enveloped,0.477,familiarised,0.471,defined,0.484,elucidated,0.66,elaborated,0.654,eveloped,0.708,progressively,0.484,deteriorated,0.485,deteriorated,0.49
23,inveffigated,0.473,elucidated,0.464,prominent,0.481,interwoven,0.657,develope,0.654,ideveloped,0.707,deveiop,0.478,expanded,0.485,accentuated,0.489
24,disconcert,0.47,horrible,0.463,discussed,0.478,ramified,0.656,engrafted,0.653,counteracted,0.702,lopments,0.477,reaction,0.484,centred,0.489
25,contradiaed,0.468,disconcerted,0.462,depicted,0.475,demonstrative,0.655,infused,0.647,expanded,0.702,reinforced,0.475,imparted,0.482,velopment,0.486
26,demonftrated,0.465,incongruous,0.462,veloping,0.475,devclope,0.65,humanized,0.647,accentuated,0.699,consolidations,0.474,retarded,0.481,dissipated,0.483
27,forgotten,0.464,inveftigated,0.46,discriminated,0.474,systematised,0.647,vitalised,0.647,dwarfed,0.699,quickened,0.472,observable,0.478,tialities,0.481
28,revealed,0.463,reasonings,0.459,secretiveness,0.474,blended,0.646,evolved,0.646,dleveloped,0.697,revived,0.471,encouraged,0.477,halted,0.48
29,inveltigated,0.463,reconciled,0.458,unfolds,0.472,ponrtrayed,0.645,softened,0.643,diffused,0.697,weakened,0.47,loped,0.475,created,0.48
30,fallacy,0.462,unveiled,0.457,expounded,0.469,methodised,0.645,propagated,0.642,developing,0.691,gressed,0.467,exploited,0.473,slackened,0.479
31,machiavelian,0.462,narrated,0.457,unfolding,0.463,intensified,0.645,ripened,0.639,correlated,0.69,intensity,0.467,outgrowth,0.473,militated,0.477
32,difproved,0.462,demonstrative,0.456,imbued,0.462,utilized,0.644,coordinated,0.638,exploited,0.688,amplified,0.467,subsided,0.473,flourished,0.476
33,disconcerted,0.461,depicted,0.456,demonstrative,0.462,accomplished,0.644,development,0.636,affected,0.687,systematised,0.466,acquired,0.473,improved,0.475
34,demonitrated,0.458,palpable,0.456,demonstrates,0.459,comprehensively,0.644,develeped,0.636,retarded,0.684,activity,0.466,fanned,0.473,acquired,0.475
35,villainy,0.457,monstrate,0.455,familiarized,0.458,individualised,0.642,markedly,0.633,intensified,0.684,operated,0.465,gressed,0.472,injected,0.474
36,contradiated,0.457,overlooked,0.454,velopment,0.455,pourtraved,0.641,deepened,0.633,aflected,0.68,demonstrated,0.464,instilled,0.468,lopment,0.474
37,involved,0.456,unfolding,0.453,velop,0.455,subserved,0.641,permeating,0.632,fostered,0.676,intensified,0.462,dominated,0.466,transformed,0.474
38,apprized,0.456,demonstrated,0.452,sketched,0.455,carriedout,0.639,diffased,0.632,absorbed,0.675,notably,0.461,activity,0.466,exploited,0.473
39,obfcured,0.455,implicated,0.45,enunciated,0.454,reproduced,0.636,attected,0.63,revived,0.675,tendencies,0.46,aotivity,0.464,enlarged,0.473
40,inexplicable,0.455,explains,0.45,appreciated,0.452,strengthened,0.635,conserved,0.63,transfused,0.674,boomlet,0.459,sporadic,0.464,degenerated,0.472
41,demonstrative,0.455,vacillating,0.45,manliest,0.452,develo,0.634,developement,0.629,imparted,0.673,manifested,0.459,characterised,0.462,largescale,0.472
