,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
58,stilleständ,0.6,samhällsfrid,0.516,broderriket,0.532
59,familjefördrag,0.599,samhörighet,0.516,endrägtig,0.531
60,unionelt,0.599,samverka,0.515,provinciella,0.531
61,wälförstädda,0.598,samstämmighet,0.515,brödrafolk,0.531
62,wcrksamhct,0.597,turisttrafik,0.514,sträfvandon,0.53
63,häfstänger,0.597,centraleuropeisk,0.514,upmuntra,0.53
64,frägornas,0.597,unionstvisten,0.514,rösträttsvänliga,0.53
65,fostbrödralag,0.597,likstämmighet,0.513,handelsverksamhet,0.53
66,besjäla,0.596,välönskan,0.513,likaberättigande,0.53
67,statsborgerlig,0.596,upmuntra,0.512,centraleuropeisk,0.529
68,utiveckling,0.596,broderfolk,0.512,rederiförening,0.529
69,humanism,0.595,köpmannakår,0.51,högergrupp,0.529
70,frigörelse,0.595,myntkonferens,0.51,kamratanda,0.528
71,interessena,0.595,mejerinäring,0.51,arbetames,0.528
72,bemis,0.595,lodt,0.509,tankeutbyte,0.528
73,wälsinnade,0.594,defensif,0.508,riksrepresentation,0.528
74,realunion,0.594,samdrägtig,0.508,samhörighet,0.528
75,brödrarike,0.593,maktfördelning,0.507,mejerinäring,0.527
76,provinsiell,0.593,enig,0.507,konsulatsväsendet,0.527
77,fruktbringande,0.593,crisis,0.507,obstruktionspolitik,0.527
78,sjelfverksamhet,0.593,lagstiftningsmakt,0.507,dådkraftig,0.527
79,förwerkligandet,0.592,rallierade,0.507,samhällighet,0.526
80,wetenstapens,0.592,föreningsakt,0.506,balkanfolk,0.526
81,befrämjande,0.592,wexelwerkan,0.506,samvaro,0.526
82,sörkosran,0.592,fredssakens,0.506,sammanflutning,0.526
83,assky,0.591,kamratanda,0.506,fackföreningsrörelse,0.526
84,fyrdelning,0.591,samhällsutveckling,0.505,ntöfvande,0.526
85,wärnpligtens,0.591,skandinavism,0.505,utskiftning,0.525
86,landthushällningens,0.591,återförening,0.505,tilgifwenhet,0.525
87,kulturutveckling,0.591,provinciella,0.504,statsbanestyrelsen,0.525
88,wälbesinnande,0.59,handelskår,0.504,sammanjämkning,0.525
89,okränkt,0.59,förbindelsemedel,0.504,carakter,0.525
90,samvetsöm,0.59,frihetssinne,0.504,fackförbund,0.525
91,nationalbeväpningen,0.59,ntöfvande,0.504,arbetaresamfunden,0.525
92,wiljans,0.59,unionsland,0.504,lagstiftningsmakt,0.525
93,stambanesystem,0.59,broderlig,0.503,mellanlänk,0.523
94,förelysa,0.59,sträfvandon,0.503,förbindelsemedel,0.523
95,samhällig,0.59,nykterhetsarbete,0.503,arbetsgifvaro,0.522
96,sinnesart,0.59,sammansmältning,0.503,venstergrupperna,0.522
97,werkfamma,0.589,stortingsflertalet,0.502,unionsband,0.522
98,sendet,0.589,sträswanden,0.502,yrkesförening,0.522
99,medlemmarnc,0.589,carakter,0.502,unionskomité,0.522
