,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
84,kärlek,0.297,boch,0.508,utsago,0.471,answarighet,0.383,partiell,0.467,embetsmann,0.502,dilettantism,0.498,riksdagsgöromälen,0.449,ofientligt,0.461
85,kammare,0.295,innehäll,0.508,synlig,0.471,wäxter,0.383,glömska,0.467,subjekt,0.502,bvad,0.498,uppropadt,0.449,sqvallrat,0.46
86,före,0.292,onyttig,0.508,pfi,0.471,ffullc,0.383,fulländadt,0.467,uteslutning,0.502,pekunier,0.498,handsbredd,0.449,afhemtningsställena,0.46
87,för,0.29,dc,0.508,duglig,0.471,försälgning,0.383,negativ,0.466,advokatorisk,0.501,farcen,0.498,wärswa,0.449,mensur,0.46
88,ny,0.289,wärda,0.508,någonsin,0.471,såmedelst,0.383,allusion,0.466,prohibition,0.501,tollen,0.498,ginväg,0.449,jurymännen,0.46
89,falla,0.289,borta,0.508,policen,0.47,förtrytelse,0.383,framtvinga,0.466,antagom,0.501,medlöra,0.497,kruttunna,0.448,plumsande,0.46
90,egen,0.287,wandel,0.507,utesluta,0.47,suspendera,0.383,spania,0.466,ifrågav,0.501,styfvern,0.497,göteborgska,0.448,annet,0.46
91,gata,0.286,lista,0.507,frimodighet,0.47,omsätta,0.383,tidningsredaktion,0.465,obelåtenhet,0.501,tumsbredd,0.497,pelven,0.448,tilllåtna,0.46
92,namn,0.284,grus,0.507,tilträde,0.47,niä,0.382,oväntadt,0.465,bifallstecken,0.501,vihhet,0.497,sådadt,0.448,stackara,0.46
93,de,0.284,sats,0.507,anspräk,0.469,giftorätt,0.382,laglydig,0.465,snuskig,0.501,eftersträfvansvärdt,0.497,skafia,0.448,meddels,0.46
94,ak,0.284,tält,0.506,hwarförutan,0.469,haswer,0.382,löjlighet,0.465,gudnås,0.501,penningeersättning,0.497,matbit,0.448,syu,0.459
95,ek,0.284,lyckelig,0.506,hastva,0.469,längwariga,0.382,vidaie,0.465,inkonseqvent,0.501,uppvigling,0.496,vettig,0.448,qvinnohatare,0.459
96,hafwa,0.283,ändamål,0.506,tjänstehjon,0.469,wärdar,0.382,eftertänka,0.465,fortvara,0.501,hvarlör,0.496,undskyllan,0.448,storhetsmani,0.459
97,der,0.281,tina,0.506,veil,0.468,civilisera,0.382,afstanna,0.465,nordamerikan,0.5,argumentera,0.496,fioge,0.448,hvisslat,0.459
98,sanning,0.28,okunnig,0.506,tina,0.468,swärare,0.382,parodi,0.465,förblandning,0.5,sammare,0.496,ockelboverken,0.447,tillitsfullhet,0.459
99,hop,0.28,därutinnan,0.506,härunder,0.468,sjclfwe,0.381,fördömlig,0.465,ingenling,0.5,månadsbiljett,0.496,virring,0.447,fius,0.459
