,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
77,lfwerste,0.855,brussel,0.715,toskana,0.649,nassaus,0.561,khokand,0.556,dolgorucki,0.552
78,afrätta,0.855,medwerkan,0.714,anslutning,0.649,territoriel,0.561,toskana,0.556,istrien,0.552
79,cuba,0.855,bewäpnade,0.714,taurus,0.648,tullgräns,0.56,mingrelien,0.556,nillandet,0.552
80,eanoner,0.855,georgien,0.713,paez,0.648,militärstat,0.56,bessarabiens,0.556,taikun,0.551
81,kila,0.855,omrädet,0.713,murcia,0.648,neutralisering,0.56,hanover,0.555,basilicata,0.551
82,keisar,0.855,osterrikista,0.713,servien,0.647,kullkastande,0.559,kaschgar,0.555,venetien,0.551
83,vas,0.855,pälen,0.713,wallachiet,0.647,montenegrinsk,0.559,dolgorucki,0.554,macedonien,0.551
84,älstilliga,0.854,hofwens,0.713,syrien,0.647,särne,0.559,vladimir,0.554,herzegovina,0.55
85,rugen,0.854,neapolitansta,0.712,luxemburg,0.647,ungern,0.559,taikun,0.554,afganistan,0.55
86,brittiffa,0.854,mayland,0.711,afmarsch,0.646,autonomi,0.558,afganistan,0.554,dömet,0.55
87,känsta,0.854,legation,0.711,modlin,0.646,servi,0.557,dömet,0.554,rumänsk,0.55
88,otl,0.854,declaration,0.711,återwända,0.646,armeerne,0.557,tonking,0.553,autonom,0.549
89,gret,0.854,erzerum,0.711,georgien,0.645,moldan,0.557,liechtenstein,0.552,vladimir,0.549
90,compagnier,0.854,janitschar,0.71,ängland,0.645,romagnas,0.556,mellanstaterna,0.552,gortschakov,0.549
91,leende,0.854,santarem,0.71,konstantineh,0.645,ukraine,0.556,occupationen,0.552,bokhara,0.549
92,pehrsson,0.854,grckerne,0.71,centralamerika,0.645,sydprovins,0.556,hessen,0.551,tronkandidat,0.549
93,9000,0.853,fiendteliga,0.71,underhandlare,0.645,macedonien,0.555,taikuns,0.551,liffland,0.548
94,befullmäktiga,0.853,akropolis,0.709,etrurien,0.645,sleswigs,0.555,kandias,0.551,trieste,0.548
95,tn,0.853,panama,0.709,insurgera,0.644,nederländerne,0.555,rhenländerna,0.551,bastista,0.548
96,ect,0.853,rastadt,0.709,centralstyrelse,0.644,pohlen,0.555,piacenza,0.551,mandschuriet,0.548
97,fiu,0.852,preutzen,0.708,khan,0.644,pascharne,0.554,ungarns,0.55,nederland,0.548
98,albanien,0.852,morillo,0.708,guvernement,0.643,gränsstat,0.554,beira,0.55,couza,0.548
99,hissa,0.852,alava,0.708,insurrectionen,0.643,ockuperadt,0.554,afträdelse,0.55,armékorps,0.548
