,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
89,twäng,0.822,princip,0.701,medborgerlig,0.589,dass,0.48,christne,0.488,clique,0.464,religionshistoria,0.489,missionsförenings,0.48
90,stadeliga,0.822,wälmäga,0.701,ridderstapet,0.589,allmanna,0.479,krass,0.488,kullkastande,0.464,ynglingaförening,0.488,forskningsområde,0.479
91,wigtiga,0.822,bädc,0.7,vidta,0.589,ridderstapet,0.478,brödrafolk,0.488,stötter,0.464,diskussionsklubb,0.488,välgörenhetsinrättning,0.479
92,gagnelig,0.822,ösiver,0.7,kräfwer,0.589,sällstaper,0.478,predikoembete,0.488,8venska,0.462,esthetiska,0.488,luthersk,0.478
93,underhäll,0.822,inflytelse,0.7,owanliga,0.589,actieägare,0.478,embetsmann,0.488,skaldekonst,0.462,akade,0.487,läraresällskaps,0.478
94,kanske,0.822,maner,0.7,sjelswe,0.589,sallstapet,0.478,heroer,0.488,treenig,0.462,mormonism,0.487,nattvardsförening,0.478
95,onyttig,0.822,böre,0.7,medbroder,0.588,mzndag,0.477,klassik,0.487,återförsätta,0.462,rederiförening,0.487,årssammauträde,0.478
96,utropa,0.822,föremäl,0.699,fölgder,0.588,ftf,0.477,pånyttfödelse,0.487,läkekonst,0.461,socialdemokratiska,0.487,fosterlandsstiftelsen,0.478
97,siq,0.822,lillg,0.699,utile,0.588,soiréer,0.477,afslöjade,0.487,nihilism,0.461,godtemplar,0.487,studentmissionsföreningen,0.478
98,likwal,0.821,jordbrukare,0.699,projekt,0.588,vttre,0.476,befrämjande,0.487,areopag,0.46,larda,0.486,luterska,0.477
99,känning,0.821,åhörare,0.699,eftcr,0.588,nädigste,0.476,statssystem,0.487,statsförbund,0.46,sammansluta,0.485,verdandis,0.477
