,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
28,dahlander,0.831,degradera,0.819,kean,0.662,platos,0.575,öfvertro,0.581
29,slädparti,0.83,balong,0.819,offenbachska,0.661,variant,0.574,skaldeverk,0.579
30,bråd,0.83,kaita,0.819,diktkonst,0.661,darwinism,0.574,assyrisk,0.578
31,hvalfisk,0.83,garnisons,0.818,herlighet,0.661,menniskoverk,0.573,repetitorium,0.577
32,trädkol,0.829,göihgatan,0.817,sagnér,0.661,repetitorium,0.573,ordform,0.576
33,beramad,0.829,perton,0.817,stiska,0.659,världsåskådning,0.572,hexameter,0.576
34,postskriptum,0.829,tånka,0.817,familjelifvet,0.658,folksaga,0.57,hegelska,0.575
35,klatzer,0.828,jeannette,0.817,homerus,0.658,pax,0.57,verldshistorien,0.575
36,esséns,0.828,ulri,0.816,allmogemål,0.658,empirisk,0.57,själslifvets,0.574
37,sparris,0.827,negrinna,0.816,skaldeverksamhet,0.657,utvecklingsgång,0.57,mesopotamisk,0.574
38,pepin,0.827,fastspikad,0.816,sågorna,0.657,meissen,0.569,folkdiktning,0.573
39,wässtol,0.827,strapa,0.816,uppväxt,0.657,verldshistorien,0.568,keramik,0.572
40,dawid,0.827,snubba,0.815,legend,0.656,skaldeverk,0.568,allmogemål,0.572
41,linu,0.827,grefwie,0.815,mytologi,0.655,nationallynne,0.568,kaldeiska,0.572
42,rygatan,0.826,palén,0.815,sagolik,0.655,folkdiktning,0.567,naturfolk,0.571
43,hällcs,0.826,feszi,0.815,tondikt,0.655,numismatik,0.566,empirisk,0.571
