,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
32,alliance,0.772,jemkning,0.67,i8i5,0.567,pragerfredens,0.57,wienerfördraget,0.569,deklaration,0.575
33,buonapartes,0.772,status,0.667,stadeständ,0.566,fredsförslag,0.57,telegrafkonvention,0.568,konkordat,0.575
34,förebrå,0.772,convention,0.666,upphäfdt,0.565,tractaten,0.568,gränsförhållande,0.567,preliminärer,0.575
35,beskyddare,0.771,stedda,0.665,fredsförslag,0.563,tullförening,0.566,preliminärer,0.566,alliansfördrag,0.574
36,beryktad,0.77,folkrätt,0.663,vestmakterna,0.563,modus,0.565,alliansfördrag,0.562,londonerfördraget,0.574
37,xiv,0.77,algiers,0.663,persien,0.562,pariserkongressen,0.564,tremaktsförbundet,0.56,postkonvention,0.571
38,armce,0.77,tillwägabringa,0.663,ryssland,0.56,wienerfördragen,0.563,landafträdelse,0.56,fredsförslag,0.571
39,hufwudsakligen,0.77,nederländerna,0.66,förbundsråd,0.559,berlintraktaten,0.563,postkonvention,0.56,kongressförslag,0.569
40,landtdag,0.77,defensiv,0.66,preusten,0.559,novembertraktaten,0.563,kongressförslag,0.559,tremaktsförbundet,0.569
41,uppstä,0.769,formlig,0.658,donaufurstendömenas,0.556,augustenborgaren,0.56,berlintraktatens,0.559,landafträdelse,0.568
42,paz,0.769,äsigtcr,0.655,arfföljd,0.556,neutralisering,0.559,fredsförslag,0.558,londonerprotokollet,0.568
43,kalender,0.769,preusten,0.655,konkordat,0.556,österrike,0.559,vestmakterna,0.556,berlintraktatens,0.565
44,corpsens,0.768,sanktionera,0.655,tullförening,0.555,kysslands,0.558,tarifftraktat,0.556,makoko,0.565
45,upfylt,0.768,preusien,0.654,serbien,0.555,pragfreden,0.558,skiljedom,0.555,skiljedom,0.564
46,beskickning,0.768,basis,0.653,schah,0.555,turkiet,0.557,börsskatt,0.554,sjöfartsfördrag,0.563
47,legation,0.768,nögde,0.653,montenegro,0.555,tilläggsartikel,0.556,londonerprotokollet,0.553,börsskatt,0.562
48,proklamera,0.768,tilsit,0.652,underhandlare,0.554,postfördrag,0.556,sjöfartsfördrag,0.552,paristraktaten,0.561
