,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
85,persi,0.848,beethowens,0.625,dsnna,0.444,1585,0.421,fastighetsbok,0.427
86,reglorna,0.848,ggrundlig,0.625,kronofartyg,0.444,konstindustrimuseum,0.42,skifteskarta,0.426
87,andres,0.848,mosander,0.625,ismailia,0.444,källskrift,0.42,luuds,0.426
88,återbäring,0.848,geller,0.625,apokryfisk,0.444,krigslagfarenhet,0.42,konstindustrimuseum,0.426
89,qvadratmil,0.848,dorpat,0.625,kommunalförvaltning,0.443,mitau,0.419,numismatisk,0.426
90,akerman,0.848,authentika,0.625,straffoch,0.443,1516,0.418,handbibliotek,0.426
91,mauritius,0.848,ordförråd,0.624,document,0.443,luuds,0.418,kameral,0.426
92,asdelningar,0.848,theologisk,0.624,hushållningssällskaperna,0.443,updrag,0.418,protokoller,0.426
93,financer,0.848,försvarsskrift,0.624,utlofvadt,0.443,bibliolhek,0.418,antiqvarisk,0.425
94,banklag,0.848,naturvetenskap,0.624,krigsvetenskapsakademi,0.443,förorduade,0.418,vaggerydsbanan,0.425
95,fientlighet,0.848,ordförklaring,0.623,kronologisk,0.443,häradshäkte,0.418,ekonomidepartement,0.425
96,hviiket,0.848,theorells,0.623,ethnografisk,0.443,etnologisk,0.418,köbenliavns,0.424
97,soliman,0.848,strålrör,0.623,teriel,0.442,slutbehandladt,0.417,ansökningshandlingarne,0.424
98,guizots,0.848,dassa,0.623,nationalmusei,0.442,amanuensbefattning,0.417,jordbruksstatistisk,0.424
99,slädparti,0.847,fyrbergs,0.623,handskrifna,0.442,exequatur,0.417,civilförvaltning,0.424
