,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
13,jag,0.444,borgare,0.546,strandsätta,0.495,nödtorftig,0.451,murcia,0.482,affärslif,0.525,iänder,0.528,folkfattig,0.523,laudets,0.519
14,ha,0.44,upland,0.546,landtgods,0.495,moderland,0.451,laud,0.481,ins,0.524,magters,0.527,verlded,0.523,framtidsland,0.518
15,tid,0.436,tienst,0.545,folkrik,0.493,hushällning,0.447,befästande,0.48,sjöstyrka,0.522,sinnesriktning,0.525,urhem,0.521,vitalfråga,0.517
16,men,0.435,län,0.543,häromkring,0.492,upsigt,0.447,hufwndstaden,0.477,retor,0.521,sjöfartsidkande,0.521,brödralandet,0.519,importvara,0.516
17,hon,0.434,privilegium,0.541,ftm,0.491,folkrik,0.446,hyfsning,0.477,supremati,0.521,näringslif,0.519,balfön,0.515,balfön,0.516
18,gäng,0.432,solk,0.54,kammarjungfru,0.491,znwänare,0.446,aflägsnare,0.476,grundvilkor,0.519,verldsdel,0.519,gränsland,0.513,brödraland,0.516
19,ut,0.43,hardt,0.54,prag,0.49,aflägsen,0.444,samhällsskick,0.475,följdriktig,0.519,laudets,0.517,iandet,0.513,civili,0.515
20,allenast,0.421,städerne,0.538,tyskland,0.489,sistnämd,0.444,naturalisera,0.474,ressurser,0.518,egendomsegarne,0.517,etiopien,0.512,stormagter,0.514
21,forn,0.421,utrikes,0.537,schweitz,0.486,handelsstad,0.442,europas,0.472,franklike,0.518,naboland,0.516,halsön,0.51,molok,0.514
22,igenom,0.42,förnäm,0.535,utomlands,0.486,batterierne,0.441,intelligens,0.472,iand,0.518,bergslagsort,0.516,laudets,0.509,halföns,0.513
23,han,0.416,anlägga,0.535,utrikes,0.486,landa,0.44,fridlysa,0.471,statsangelägenhet,0.517,befolkningsförhållande,0.515,industristat,0.506,klausenburg,0.512
24,t,0.415,gods,0.533,skrif,0.485,hjälpa,0.44,folkflag,0.471,verldeu,0.517,själland,0.515,enropas,0.505,vigtigastc,0.511
25,få,0.414,regemente,0.533,annorstädes,0.485,uprätta,0.439,brag,0.47,fotfäste,0.517,straffkoloni,0.515,stormagter,0.503,stamförvandter,0.511
26,r,0.41,berlin,0.531,slockholm,0.484,tnom,0.437,begränsning,0.47,militärväsende,0.514,brödraland,0.514,landsdel,0.503,himmelsstreck,0.511
27,under,0.405,informator,0.529,lander,0.482,asien,0.437,storbritannien,0.47,samhällsförbättring,0.512,stråkväg,0.513,jordbruksbefolkning,0.502,bränvinsmarknaden,0.51
28,lycka,0.404,wien,0.529,infödd,0.481,afwända,0.436,gebiet,0.469,föreningsband,0.511,malmtillgångar,0.513,byggder,0.501,befolkningsförhållande,0.51
29,fru,0.402,härifrån,0.528,haf,0.481,kander,0.436,undantränga,0.468,abstraktion,0.511,folkoch,0.513,lifsintresse,0.5,näjder,0.509
30,fader,0.402,sö,0.525,vän,0.481,pohlen,0.435,utblotta,0.468,konstflit,0.511,solsystem,0.512,halföns,0.499,världsdel,0.508
31,mänga,0.398,anmodan,0.525,landwäg,0.481,allians,0.435,protestantism,0.468,omisskänneligen,0.51,deivid,0.512,kommunikations,0.499,etiopien,0.508
32,ligga,0.398,götheborg,0.524,hitkommen,0.48,morea,0.435,rättstillstånd,0.468,bankväsen,0.51,kulturfolk,0.512,varubyte,0.498,lifsfrågor,0.508
33,kärlek,0.398,skrifware,0.522,frikalla,0.479,ffullc,0.435,bevekelsegrund,0.468,produktionsort,0.51,krigsmanskap,0.511,fosterland,0.497,verldsliteraturen,0.508
34,hand,0.398,liga,0.522,nägst,0.479,sselfwa,0.434,halfön,0.466,interesset,0.509,kulturförhållanden,0.511,sågverksindustri,0.497,bergslagsort,0.507
35,weka,0.397,fädt,0.522,ifrä,0.479,hertigdöme,0.434,konstflit,0.466,omskapa,0.509,samfundsklasser,0.51,näringslif,0.495,samfundsklasser,0.507
36,war,0.396,födelse,0.52,herrskap,0.478,magters,0.434,våla,0.466,uppblandning,0.507,broderland,0.51,landtbrukande,0.494,granland,0.506
37,lägga,0.394,tjänst,0.518,ijenst,0.478,ofördelaktig,0.434,uppstätt,0.464,tillkonstla,0.506,vesterlandet,0.509,granland,0.494,urhem,0.506
38,öfwer,0.392,societet,0.518,jent,0.476,halfön,0.434,trappsteg,0.463,ullproduktion,0.505,handelsgren,0.508,ställeu,0.494,rättssäkerhet,0.505
39,gä,0.384,hittils,0.517,skilja,0.475,landsort,0.433,grundval,0.463,prekär,0.505,handelsgemenskap,0.508,utarmadt,0.492,känbaraste,0.505
40,anseende,0.383,sällstap,0.516,afbränna,0.475,magter,0.433,kland,0.463,åtnjöto,0.505,verldsfredens,0.508,europa,0.492,industristat,0.505
41,2,0.382,alfwarsamt,0.516,wälfrägdad,0.474,inbyggare,0.433,medelklass,0.463,beröringspunkt,0.504,varuutbyte,0.507,känbaraste,0.491,näringsverksamhet,0.505
42,ställe,0.382,herrskap,0.516,tilständet,0.474,guvernant,0.433,rörelsekapital,0.462,parasit,0.504,åkerbrukande,0.506,fåtalsvälde,0.491,storkapital,0.505
43,z,0.381,gefle,0.516,jaga,0.473,helvetista,0.433,nylt,0.462,skamfläck,0.504,himmelsstreck,0.506,landö,0.491,tullskyddade,0.504
44,med,0.381,trägårdsmästare,0.516,landstigning,0.473,farhäga,0.432,framalstra,0.462,försvarsväsen,0.503,läkarekår,0.506,sjelfbestämmelserätt,0.49,befästningsväsende,0.503
45,utan,0.381,skäne,0.515,tiänst,0.473,etta,0.432,kolonierne,0.462,kommerciel,0.502,fabriksvara,0.506,likställande,0.49,fåtalsvälde,0.503
46,konung,0.374,förstär,0.514,hushällersta,0.472,lzngt,0.431,rörelfe,0.462,militärståndet,0.502,konungatron,0.506,partisöndring,0.49,8verige,0.503
47,redan,0.371,tilhanda,0.514,fogde,0.471,ilande,0.43,wudstaden,0.461,samhällstillstånd,0.502,folkfamilj,0.505,molok,0.489,sverges,0.503
48,wörö,0.371,kos,0.514,alls,0.471,landtwärn,0.429,obehöflig,0.461,fortvara,0.502,näringskälla,0.505,spanmålsproducerande,0.487,svorige,0.503
49,låta,0.371,härifrän,0.514,landtegendom,0.47,karne,0.429,inpraktisera,0.46,statuera,0.502,hämsko,0.505,bergslagsort,0.487,folkfattig,0.502
50,frän,0.37,utomlands,0.513,okonstlad,0.47,landskap,0.429,krigstheatern,0.46,office,0.501,industriidkande,0.505,turistland,0.487,verlded,0.502
51,nägra,0.37,herrffap,0.512,kullkasta,0.47,oberäknelig,0.428,vestern,0.46,statssystem,0.501,kommunikationsanstalter,0.503,nyassasjön,0.486,hufvudstäderna,0.502
52,endast,0.369,behof,0.511,konungarike,0.47,omedelbarligen,0.428,estremadura,0.46,vällefnad,0.501,jernexport,0.503,skogssköflingen,0.486,sommarfärd,0.502
53,äga,0.369,ödmjukhet,0.511,arbetsfolk,0.47,qwarblifwa,0.428,helvetista,0.46,kräftskada,0.501,sädesproducerande,0.503,folkbewäpningens,0.486,lifsvilkoren,0.501
54,thet,0.367,arnar,0.511,landel,0.47,silk,0.428,aranjuez,0.46,sammanhopa,0.501,patagonien,0.502,obdorsk,0.486,russificering,0.501
55,warit,0.365,nägvt,0.511,lande,0.47,lande,0.427,kommun,0.459,lolket,0.501,produktionsförmåga,0.502,smålotter,0.486,riksland,0.501
56,hop,0.365,hjälp,0.511,fränwaro,0.469,befrielse,0.427,herrskar,0.459,lander,0.5,näringsförhållande,0.502,broderland,0.485,riko,0.501
57,bo,0.363,främmande,0.511,härifrån,0.469,herrssap,0.426,gränsorne,0.459,hufvudsyfte,0.5,planetsystem,0.502,tullförhållanden,0.485,spanmålsproducerande,0.501
58,ta,0.36,anhörig,0.511,ostindien,0.469,tillära,0.425,financiel,0.459,möra,0.5,befordringssystem,0.501,åkerbrukande,0.484,likställande,0.501
59,föda,0.358,hushällning,0.511,philadelphia,0.469,gebiet,0.425,underkufva,0.458,samhällslifvet,0.499,adana,0.501,folk,0.484,åkerbrukande,0.5
60,et,0.356,såsom,0.511,astnndar,0.469,kullkasta,0.425,demoralisation,0.458,samhällelig,0.499,jordklot,0.501,lialfön,0.484,världslitteratur,0.5
61,then,0.355,bygga,0.509,commendanten,0.467,försänka,0.425,befolka,0.458,vetenskaplighet,0.499,iandet,0.5,karantänsföreskrifter,0.484,andet,0.5
62,första,0.354,bebo,0.509,mälare,0.467,hoi,0.425,adelskap,0.458,fabriksvara,0.499,taikuns,0.5,starpstyttesaken,0.484,fredsgaranti,0.5
63,sätt,0.353,sprak,0.508,förgår,0.467,spräkct,0.425,uprätta,0.458,jandet,0.499,lander,0.5,syndabörda,0.483,nygrundad,0.5
64,den,0.353,fogde,0.508,tient,0.466,asständ,0.424,overksam,0.457,kommunikationsmedel,0.499,vesteuropeiska,0.5,amerikanisera,0.483,barnförening,0.5
65,l,0.352,hederligit,0.508,seni,0.466,räa,0.424,menniskolif,0.457,hortikultur,0.498,trångbodd,0.5,statssamhälle,0.483,tullförbund,0.499
66,wi,0.35,respective,0.508,hushällning,0.466,werkstäder,0.424,kommerciel,0.457,jernhandteringen,0.498,grefskapen,0.5,ärhundrades,0.482,dagsinkomst,0.499
67,nog,0.35,fleste,0.508,flykta,0.466,tämligen,0.424,gars,0.457,transatlantisk,0.498,utskrifningar,0.5,skatteväsen,0.482,gränsbefolkning,0.499
68,komma,0.35,wäster,0.507,trägårdsmästare,0.466,produkt,0.424,regentstapet,0.457,penningebrist,0.498,hästkultur,0.5,8veriges,0.48,laudet,0.499
69,namn,0.35,köpman,0.507,tjänt,0.465,granne,0.424,bolivia,0.457,undergräfva,0.498,landsdel,0.499,provins,0.48,riges,0.499
70,förra,0.349,hoj,0.507,nvligen,0.465,bruksägare,0.423,ögonmärke,0.457,statsförbund,0.498,fjelltrakter,0.499,tillsammanstagna,0.48,forsvar,0.499
71,fin,0.348,bar,0.507,hushällerssa,0.465,dand,0.423,syfla,0.457,derige,0.497,bankväsende,0.499,deivid,0.479,värendsbygden,0.499
72,blifwit,0.342,student,0.507,herregärd,0.465,fk,0.423,franklike,0.457,smyghandel,0.497,gheter,0.499,sädesproducerande,0.479,fjärma,0.499
73,sä,0.341,he,0.507,kryddkramhandel,0.464,hyresfolk,0.422,handelsfrihet,0.457,skolundervisning,0.497,rörelsegren,0.498,gränstrakt,0.479,folkskoleväsen,0.499
74,ofta,0.34,hälsa,0.507,landsbygd,0.464,barbarisk,0.422,handelsförbindelse,0.457,öfversvämning,0.497,afhängig,0.498,folkfamilj,0.479,dalabygden,0.498
75,mit,0.337,härkomst,0.506,lilbaka,0.463,aik,0.422,äfventyrare,0.456,operationsbas,0.497,vkl,0.498,landels,0.478,furstedömet,0.498
76,sielf,0.337,skicklig,0.506,hemort,0.462,milton,0.422,inveckla,0.456,naturförhållande,0.496,fältlif,0.498,hiltills,0.478,föreningsväsende,0.498
77,hwilken,0.335,kust,0.505,conditio,0.462,borgarehus,0.422,lifskraft,0.456,affärs,0.496,statssamfund,0.498,landgräns,0.478,industriort,0.498
78,sedan,0.334,paris,0.505,kap,0.462,maltha,0.422,osämja,0.455,sälväl,0.496,storherrns,0.497,öfwerswämma,0.478,kulturutveckling,0.498
79,skeppare,0.334,hjälpa,0.505,herrskaper,0.462,fosterbarn,0.422,handelsstad,0.455,förhärjning,0.496,sillfångst,0.497,riges,0.478,skyddsområde,0.498
80,du,0.333,komi,0.505,nästgränsande,0.461,omräde,0.421,candia,0.455,däras,0.496,handelsföretag,0.497,negerstam,0.477,storherrns,0.497
81,de,0.332,sjelswa,0.504,borgarehus,0.461,weser,0.421,social,0.454,folkopinion,0.496,hnswudstadens,0.497,kouima,0.477,sjelfbestämmelserätt,0.497
82,all,0.332,gem,0.504,wärdshus,0.461,nedkomst,0.421,regeringssätt,0.454,djurart,0.496,lagstiftningsmakt,0.496,broderfolk,0.477,prodnkter,0.497
83,dä,0.327,norrland,0.504,voro,0.46,befolkning,0.421,inwerkan,0.454,nationerne,0.495,tvålart,0.496,tullskyddade,0.477,polaekarne,0.497
84,mycket,0.327,flitig,0.504,nys,0.459,förestrifne,0.421,näringsflit,0.454,försvagande,0.495,hittill,0.496,landsände,0.477,hufvudnäring,0.496
85,$,0.327,afresa,0.504,solf,0.459,hcla,0.421,föredöme,0.454,naturalisation,0.495,afväpningen,0.495,rike,0.477,städor,0.496
86,nied,0.326,beställning,0.503,honett,0.459,tilbjuda,0.42,orient,0.453,maritim,0.494,knnskap,0.495,sjöwäsendet,0.477,bestämmelserätt,0.496
87,ordsak,0.326,hof,0.503,dageligcn,0.458,carakter,0.42,rättsfråga,0.453,mellanlänk,0.494,werldsdel,0.495,hufwudstäder,0.477,systerland,0.495
88,barn,0.325,befordran,0.501,borgarefolk,0.457,vilkor,0.42,studen,0.453,dstta,0.494,sjelfbestämmelserätt,0.495,bränvinsmarknaden,0.477,kulturförhållanden,0.495
89,last,0.324,enighet,0.499,lzngt,0.457,tiänst,0.42,handelsförhållande,0.453,kän,0.494,sådaue,0.495,wäkt,0.476,högersida,0.495
90,egen,0.321,lärling,0.499,jesus,0.457,sämja,0.419,insläppa,0.453,medtäflan,0.493,tillsammanstagna,0.495,liaotong,0.476,råttigheter,0.495
91,som,0.321,sörr,0.499,städerne,0.456,furstendöme,0.419,proselyt,0.453,montenegrinsk,0.493,stamförvandter,0.495,grufdistrikten,0.476,kommunikationsväg,0.495
92,äro,0.32,gäst,0.499,wintern,0.456,innehafva,0.419,tilan,0.453,sammanknyta,0.493,sjöfartsförbindelse,0.494,rösträttsvänliga,0.476,detn,0.495
93,simma,0.319,rom,0.498,mill,0.456,hafw,0.419,fortkomst,0.453,samhällsform,0.493,halfön,0.494,tsarriket,0.476,lialfön,0.495
94,herre,0.319,jägare,0.498,skjuta,0.456,anwändes,0.418,bergstrakt,0.452,sträfvat,0.493,kulturutveckling,0.494,handelsgemenskap,0.476,handelsområde,0.494
95,efter,0.317,wärkeligen,0.498,qwarnar,0.455,ih,0.418,handgriplig,0.452,afväga,0.493,modernäring,0.494,verldsliteraturen,0.476,grannrike,0.494
96,gud,0.316,officer,0.498,stade,0.455,pius,0.418,faction,0.452,handelsplats,0.493,kommunikationslinje,0.494,ortens,0.476,immigrant,0.493
97,och,0.314,södermanland,0.498,lifsmedel,0.455,stiljas,0.418,lyxartikel,0.452,handelsgren,0.493,alltförmycket,0.494,föräldravärd,0.475,storindustriell,0.493
98,stjäla,0.314,fvm,0.497,afrika,0.455,folkflag,0.418,skaplynne,0.452,grannland,0.492,terrain,0.493,bildningsståndpunkt,0.475,bildningsståndpunkt,0.493
99,sig,0.313,lagga,0.497,ifrzn,0.454,inflytelse,0.418,utrike,0.452,wäfende,0.492,neisse,0.493,örike,0.475,balkanhalföns,0.493
