,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
32,ästundade,0.904,regeringsform,0.664,afgifwit,0.551,samlare,0.518,brochure,0.489,pragfredens,0.469,nybeter,0.472,nyhetsafdelning,0.493
33,sdr,0.903,swedenborg,0.663,omständlig,0.551,gårdagsposten,0.518,vinterblad,0.489,prislista,0.468,tikeln,0.471,facktidning,0.493
34,sprida,0.903,handling,0.663,krigförande,0.551,jurnal,0.517,resumé,0.488,artiklarue,0.468,gazettes,0.471,spectator,0.493
35,anständighet,0.903,constitutionen,0.663,proklamation,0.548,piece,0.517,messager,0.487,apoteksvara,0.468,landtbrukstidning,0.471,spaltlånga,0.493
36,yta,0.902,insamling,0.663,zfrän,0.547,globe,0.516,extenso,0.486,tillskrift,0.467,prishållande,0.471,måndagsnummer,0.492
37,eländig,0.902,ningar,0.662,cortes,0.546,messager,0.515,tidningsnummer,0.486,ullandet,0.467,vremjas,0.47,modeartikel,0.491
38,mede,0.902,ösiver,0.662,ratificera,0.546,ströskrift,0.514,arti,0.485,herregarderoben,0.466,jordbruksfråga,0.469,pragfreden,0.491
39,allestädes,0.901,annonce,0.661,amerikansk,0.546,allgemeine,0.514,aftenblad,0.485,varuartiklar,0.465,beriktigande,0.469,vremjas,0.489
40,lyfta,0.901,nödwändiga,0.66,tabell,0.545,temp,0.513,referat,0.484,lifsförnödenheterna,0.465,aprilhäftet,0.469,originalartikel,0.488
41,föl,0.901,upgifter,0.66,brefwen,0.545,misshaglig,0.513,lördagsnummer,0.484,byggnadssnickeri,0.465,verldsbladet,0.467,rättegångs,0.487
42,interesse,0.901,tractat,0.659,canada,0.545,allehandas,0.513,reproducera,0.482,referaterna,0.464,nppsatser,0.466,oktoberhäfte,0.487
43,tjenar,0.901,directe,0.658,företal,0.545,tryckpress,0.512,economist,0.482,tiklar,0.463,facktidning,0.465,kåseri,0.487
44,uppenbara,0.901,regementer,0.657,dagblad,0.544,recensent,0.512,morgenbladet,0.48,tullförfattning,0.463,berlinerkorrespondent,0.465,läswärda,0.487
45,liknelse,0.9,innehall,0.657,datera,0.543,avisa,0.512,redaction,0.48,diatrib,0.462,fortnightly,0.464,gårdagsnummer,0.487
46,förmärka,0.9,märkelig,0.656,fördrag,0.542,eos,0.511,wermlandsposten,0.479,detaljuppgift,0.462,välarbetade,0.464,hufvudtidningen,0.487
47,befästa,0.899,folkrätt,0.655,statsförfattning,0.542,monitor,0.509,correspondent,0.479,wiedomosti,0.459,februarihäftet,0.464,välskrifna,0.486
48,concert,0.899,politisk,0.654,anonym,0.541,aftonbladet,0.509,relatera,0.478,lidningar,0.458,wienkorrespondent,0.463,prenumerationsanmälan,0.486
49,ärkänna,0.899,ärhällit,0.654,werkställigheten,0.541,zeitung,0.508,tilllag,0.478,julhandel,0.458,veckoberättelsen,0.463,aforism,0.486
50,blygd,0.899,nationalförsamling,0.653,tryckfel,0.54,tidningsartikel,0.508,pseudonym,0.477,prisbestämmelse,0.456,tikel,0.463,stridsskrift,0.484
51,ögnablick,0.899,intagen,0.653,anekdot,0.54,karakteristik,0.507,förfis,0.477,artikelserie,0.455,contemporary,0.461,charivari,0.484
52,lagga,0.898,reflexion,0.653,annonce,0.539,hoftidning,0.507,läsvärd,0.477,hufvudartiklarne,0.455,läswärda,0.461,veckorevy,0.483
53,kalladt,0.898,philosophi,0.652,moment,0.539,rosenschöld,0.506,tänkwärda,0.476,detaljbestämmelse,0.455,öronspruta,0.461,uttalan,0.483
54,sölja,0.898,derutur,0.652,bidrag,0.538,anonym,0.505,efterstäende,0.476,mjölpris,0.454,wochenblatt,0.46,landtbrukstidning,0.483
55,lagén,0.898,påminnelse,0.652,depeche,0.537,monitör,0.505,advertiser,0.476,ftro,0.454,spenersche,0.46,kreuzzeitungs,0.482
