,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
23,beskyddare,0.756,statsskick,0.654,klimatisk,0.53,sammanhörande,0.434,läroverksreform,0.427,likhot,0.452
24,sörswara,0.756,folkflag,0.654,eristens,0.529,hufvudplatser,0.434,lörbindelse,0.426,järnvägsplan,0.451
25,mänsklig,0.756,driffjäder,0.654,jemnföra,0.529,föreningslänk,0.432,järnvägsplan,0.425,öfverensstäm,0.45
26,förträffeliga,0.755,åtskillnad,0.654,brödrafolk,0.527,jernbantågens,0.43,postfart,0.425,söndagsskolförening,0.45
27,ofördelaktig,0.755,organisk,0.653,vestmakterne,0.525,ästädningssätt,0.43,genomgåendo,0.422,mötesförhandlingarna,0.449
28,werkställigheten,0.754,oupplöslig,0.653,supremati,0.524,utförbarhet,0.429,dagord,0.422,telefonisk,0.448
29,aflagd,0.753,financiella,0.652,tvistepunkt,0.523,jernbanlåg,0.429,lifsgemenskap,0.422,bindelse,0.448
30,jämförelse,0.752,propaganda,0.651,pligler,0.523,jernbantåg,0.428,fredsförbund,0.418,colleginm,0.448
31,högfärd,0.751,förblanda,0.65,utbildning,0.523,likaberättigande,0.428,angslupens,0.417,ålnöjas,0.447
32,korthet,0.75,jemvigt,0.65,federativ,0.522,likstämmighet,0.428,samstämmelse,0.416,läroverksreform,0.447
33,kryssare,0.749,förhållanderne,0.649,umgänges,0.521,bindelse,0.427,analogi,0.415,förbin,0.446
34,wigliga,0.748,utplåna,0.647,statsborgerlig,0.52,öfwerensstämmelse,0.427,vidmagthålla,0.414,eningar,0.446
35,emi,0.748,sympati,0.646,sämja,0.52,närbeslägtad,0.427,statsbanetågen,0.413,skolsparkassor,0.445
36,defensiv,0.748,konflikt,0.646,jemnbredd,0.519,solidaritet,0.425,analog,0.411,jämförlig,0.445
37,granstap,0.747,delad,0.646,införlifva,0.518,anknytning,0.423,rikstelefonnät,0.41,idrottsfest,0.445
38,werksamt,0.747,iakttagelse,0.645,jemvigt,0.518,beröringspunkt,0.422,arbetarefrågan,0.41,lfwerensstämmelse,0.444
39,erkännande,0.747,anomali,0.645,himmelsvid,0.518,regeringon,0.421,handelsmuseum,0.41,domkrets,0.443
40,upplyft,0.747,ordnadt,0.645,noriges,0.517,skarpblick,0.421,renhållningsfråga,0.409,industrimuseum,0.443
41,angifwaren,0.747,brytning,0.645,samhällig,0.516,förbrödring,0.421,likhet,0.409,nastik,0.441
42,oföränderlig,0.746,relation,0.645,wänstapliga,0.516,obytt,0.42,fredsfråga,0.407,afseeude,0.44
43,prata,0.746,sammanföra,0.644,centralisera,0.515,öfverensstämmer,0.419,iörbindelse,0.407,öswerensstämmelse,0.44
44,därar,0.746,mänsklig,0.644,försvagande,0.515,folkuppfostran,0.419,arbetareförhållandena,0.407,rösträttsmötets,0.439
45,alkid,0.746,invecklad,0.644,affärs,0.515,jernwägsförbindelse,0.418,slöjdart,0.407,koncilium,0.439
46,upmarksamhet,0.746,social,0.643,armeerna,0.514,amalgamering,0.418,stämmelse,0.407,samstämmelse,0.439
47,rättwist,0.746,förenkling,0.643,driffjäder,0.514,sammanslutning,0.418,samstämmighet,0.406,handelsmuseum,0.439
48,frikänna,0.745,kommerciella,0.643,naturlag,0.513,lagstiftningsmakt,0.418,frändskap,0.406,vidmagthålla,0.439
49,afwända,0.745,öfverensstämmande,0.641,homogen,0.513,afslntat,0.417,wexelwerkan,0.406,öfningskurser,0.438
50,smäda,0.745,demokrati,0.641,gränsreglering,0.512,statsenhet,0.417,beslägta,0.405,ofvannärada,0.438
