,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
80,deltagare,0.744,protokoller,0.533,sjöförswaret,0.434,owilkorlige,0.414,sörrätlas,0.459,offenteligt,0.478,exekutif,0.446
81,polsta,0.743,ronungen,0.533,svartlösa,0.433,förråtta,0.414,erekutiv,0.459,wanås,0.477,geuorn,0.446
82,infordra,0.743,börsen,0.532,frivillig,0.433,auctionskammare,0.414,bours,0.458,frimillig,0.477,wanneberga,0.445
83,slagtare,0.743,allr,0.531,justitiekollegium,0.432,stadslägenhet,0.413,förräta,0.457,exekutiv,0.476,kommendantskansliet,0.444
84,palen,0.742,1769,0.531,medelstads,0.431,försälljas,0.413,handelssällskapet,0.456,gtnom,0.475,larcéns,0.444
85,famillen,0.742,rädstugu,0.531,hallna,0.43,stallmästaregården,0.412,ktion,0.454,anktionskammare,0.474,offenteligt,0.443
86,pachan,0.742,häradsrätt,0.53,nedannämd,0.429,fästing,0.412,sörfäljes,0.453,anstiilles,0.474,disputationsakt,0.443
87,revisor,0.742,ingifwit,0.53,askims,0.428,kimstads,0.412,förråtta,0.453,entreprenadanktion,0.474,förrättab,0.442
88,desin,0.742,oppen,0.53,folkförsamling,0.428,anstalles,0.412,hwarjom,0.453,ståthållareembetets,0.473,boupteckningar,0.442
89,betydeliga,0.74,utflag,0.53,sotholms,0.428,utrangera,0.412,förelaggt,0.453,upphördt,0.472,anktionskammare,0.442
90,harwarande,0.74,ljungby,0.53,borgcnärerne,0.428,tygmästare,0.412,landtbruka,0.453,geuorn,0.472,anställeö,0.441
91,resultat,0.74,grefve,0.529,wallentuna,0.427,bourn,0.41,wanås,0.453,anltion,0.47,förrätlas,0.441
92,hivilken,0.74,öpen,0.529,fernebo,0.427,haline,0.41,skettilljunga,0.452,ättas,0.47,olofsborg,0.44
93,traktat,0.74,komin,0.529,kraftvunnen,0.426,1347,0.41,auktionskammarn,0.451,samlingshus,0.47,esphults,0.44
94,utflag,0.74,sini,0.528,offent,0.426,restmöte,0.41,rädhusct,0.451,hwarjom,0.47,auk,0.44
95,luther,0.739,theodor,0.527,aspelands,0.426,gciiom,0.409,anslälles,0.449,förrät,0.469,köttkontroll,0.44
96,träde,0.739,ffrifwelse,0.526,wätö,0.426,kallebäck,0.409,sörrätta,0.449,kommendantskansliet,0.469,frivillig,0.439
97,genie,0.739,föliande,0.526,orgelnisten,0.425,auk,0.409,danielshammars,0.449,fastighetsauktion,0.468,filkestad,0.439
98,alfwarligen,0.739,ry,0.526,föranstaltande,0.425,ivanligt,0.408,hemsön,0.447,frivillig,0.467,anktio,0.439
99,blifwik,0.739,anställa,0.526,dimbo,0.425,böös,0.408,lhorsdagen,0.447,offentclig,0.466,hillinge,0.439
