,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
83,förljusning,0.843,frantz,0.666,helmholtz,0.617,lustspelsförfattare,0.603
84,gårig,0.843,lessing,0.665,vischer,0.617,rodriguez,0.602
85,själstillstånd,0.843,hostrup,0.665,teolog,0.617,horatii,0.602
86,jordvärde,0.843,storman,0.665,lucidor,0.616,defoe,0.602
87,ljuslåga,0.843,epos,0.665,estlander,0.616,kolbe,0.601
88,mångs,0.843,dixon,0.665,bildergalleri,0.616,nineteenth,0.601
89,afskedsord,0.842,gamlo,0.665,romanförfattare,0.616,filosof,0.601
90,heunes,0.842,geist,0.664,granfelt,0.616,fysiolog,0.601
91,förljensten,0.842,historiemålare,0.664,geikie,0.615,adlerbeth,0.6
92,sekter,0.842,statistiker,0.664,paludan,0.615,inträdestal,0.6
93,godtrogenhet,0.842,teolog,0.664,lyng,0.614,samarow,0.6
94,sedvänja,0.842,dedicera,0.663,nationalekonom,0.613,paludan,0.599
95,favorisera,0.842,desor,0.663,striftställaren,0.613,eilert,0.599
96,oandlig,0.842,erasmus,0.663,musikkritiker,0.613,tankerik,0.599
97,tillfredställa,0.842,romantiker,0.663,bulwer,0.613,lyng,0.598
98,spaltfyllnad,0.842,grundtvig,0.662,buckle,0.613,vischer,0.598
99,jjj,0.842,frihetsman,0.662,musset,0.612,aschehougs,0.597
