,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
34,lem,0.758,önffan,0.599,bäjern,0.478,förenäs,0.42,sammanslagning,0.421,klockarebefattningen,0.426,telegrafanstalter,0.432,nejda,0.427
35,smätta,0.758,snara,0.598,förfwara,0.478,lojal,0.419,sammanslå,0.42,öfverfiödiga,0.425,folkskollärarebefattning,0.431,vansö,0.427
36,undergäng,0.757,trupp,0.597,undersåte,0.478,undersäte,0.419,stjernsköld,0.42,folkskolläraresysslan,0.425,inedlemmarne,0.43,jensten,0.426
37,anfall,0.757,tractaten,0.597,teori,0.477,oförsträckt,0.419,understödt,0.42,återförening,0.424,förbindelsemedel,0.429,skollärarebefattningen,0.425
38,otrolig,0.757,regent,0.597,sysselsatt,0.477,förlikna,0.418,tillknyta,0.419,solkflola,0.423,folkskolläraretjensten,0.428,svårskötta,0.422
39,innefatta,0.757,defensiv,0.596,sörswara,0.476,stammare,0.418,förenäs,0.419,sammansluta,0.422,öfningsskolan,0.426,organisttjensten,0.42
40,likwal,0.757,rysiland,0.596,brittiffa,0.476,fortplanta,0.417,förefinna,0.419,endrägtig,0.421,pastorsgöromålen,0.426,lörenade,0.42
41,hota,0.757,krigstjenst,0.596,närwara,0.476,åtnöja,0.417,äfveu,0.419,enhällighet,0.421,telegrafoch,0.423,öfvergifves,0.42
42,borgerlig,0.756,landstiga,0.595,proklamera,0.476,tystlands,0.416,odessas,0.419,tidsuppoffring,0.42,föreningsband,0.423,aspås,0.42
43,åhörare,0.756,modig,0.595,envojé,0.475,föredöme,0.416,viana,0.418,skolläraretjensten,0.418,jämbördig,0.422,skollärarebefattning,0.419
44,list,0.756,nedlägga,0.595,öfmer,0.475,dfi,0.416,skyddsmakt,0.418,förvårfvat,0.418,sammanslå,0.421,klockarebeställningen,0.417
45,frälsa,0.755,cöln,0.593,wishet,0.475,bemägtiga,0.416,ofattlig,0.418,enropeiska,0.416,afaedda,0.421,wexling,0.415
46,singö,0.755,werksamhet,0.593,enstilta,0.475,naturalster,0.415,grundläggande,0.418,orgelnist,0.416,konsulär,0.421,lekåsa,0.414
47,ändamäl,0.754,wår,0.592,handelsstad,0.474,befläcka,0.415,magternas,0.418,skollärarebefattning,0.415,organisttjensterna,0.42,förbinda,0.414
48,lifstid,0.754,bern,0.592,bispringa,0.474,bewiljadt,0.415,saklig,0.418,frihetskärlek,0.415,brödraband,0.419,afhjälpta,0.413
49,menn,0.753,utrusta,0.591,medina,0.474,jnwänarne,0.415,annex,0.417,skolläraretjensterna,0.414,olönad,0.418,undvekes,0.412
50,widd,0.753,doch,0.591,biständ,0.474,sämja,0.415,oförskräckthet,0.417,öfningsskolan,0.412,öfningsskola,0.418,telegrafanstalter,0.412
51,undersöka,0.753,understödja,0.591,nögde,0.474,exemplarisk,0.414,inbemtas,0.417,samverka,0.411,siciliernas,0.417,folkskollärarbefattning,0.412
52,gäfwor,0.752,stiftare,0.59,förenäs,0.474,förkofra,0.414,nitfull,0.417,sjerdedel,0.411,organisttjensten,0.416,afspärradt,0.411
53,utkomst,0.752,inläta,0.589,monarki,0.473,ottomanniska,0.413,moskovitisk,0.416,försvarsstyrka,0.411,kreditlag,0.416,viljeyttring,0.411
54,wisat,0.752,magi,0.589,sparsamhet,0.473,brukbarhet,0.413,vigligare,0.416,hauan,0.41,oslättfors,0.416,hufvudämnen,0.41
55,wärkan,0.752,vördnad,0.588,täfla,0.472,werldsliga,0.413,tillvägabringande,0.416,folkskol,0.409,öfverfiödiga,0.416,wermskogs,0.41
56,fullkomlighet,0.751,besatt,0.588,rusta,0.472,sselfwa,0.413,blistvande,0.415,sammanväxa,0.409,förknippa,0.415,folkskoleläraretjensten,0.409
57,bemöta,0.751,tigga,0.587,ocean,0.471,förwärfwat,0.412,häras,0.415,skalfa,0.409,diplo,0.415,förknippadt,0.409
58,stät,0.75,förenta,0.587,wälfärd,0.471,nationaläran,0.412,troende,0.415,uppbjödo,0.408,skickning,0.414,innehafvarén,0.408
