,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
12,ei,0.422,ofelbar,0.525,omlopp,0.458,wäret,0.416,inskicka,0.449,tankeförmåga,0.491,forslingstiden,0.489,glansdagar,0.498,fredagsberättelse,0.478
13,simma,0.419,gädt,0.525,fullborda,0.458,kapitel,0.415,sammanvaro,0.449,statsrodret,0.491,värdande,0.487,lefnadstid,0.496,fisketid,0.478
14,hand,0.416,bolag,0.521,kotteri,0.457,flne,0.413,sorni,0.448,tidsrymd,0.49,byggnadstid,0.486,forslingstiden,0.496,årtusen,0.477
15,wär,0.407,titel,0.521,tide,0.457,campagne,0.412,tids,0.448,mansålder,0.487,tidsperiod,0.484,prenumerationstid,0.495,kronolänsmans,0.476
16,få,0.395,likwal,0.52,lots,0.455,gädt,0.411,titz,0.447,tillfålle,0.486,verksamhetstid,0.484,ttd,0.495,bortvaro,0.475
17,wille,0.389,skäl,0.52,utdrägt,0.454,midnatt,0.411,alternera,0.447,firén,0.486,menniskoålder,0.484,stonder,0.493,sträjkandes,0.471
18,förra,0.385,ombyte,0.519,ärlägga,0.454,wärdc,0.41,norrkoping,0.446,tidell,0.485,afläg,0.481,sorgeår,0.489,jordevandring,0.471
19,tillika,0.385,tropp,0.518,fältmarskalk,0.45,betänkt,0.41,tidskifte,0.445,vinel,0.484,1891,0.481,sjötåg,0.488,karnevalstid,0.469
20,up,0.385,fingo,0.518,sid,0.448,träde,0.41,regeringsåtgärd,0.444,nedskrifva,0.484,besittningstid,0.48,bäfdad,0.487,atslutande,0.469
21,al,0.382,lagd,0.518,urna,0.445,aik,0.41,regnväder,0.444,tidsföljd,0.483,vexelaccepter,0.48,besinningstid,0.486,halfsekel,0.468
22,länge,0.38,förknippa,0.517,förblifwa,0.444,lång,0.408,visadt,0.444,tido,0.482,beredelsetid,0.479,slund,0.484,lånetid,0.468
23,kalla,0.376,gänga,0.517,sidst,0.444,punct,0.407,mori,0.443,wåda,0.48,slund,0.479,korlare,0.483,forslingstiden,0.468
24,ta,0.375,framtid,0.516,ransakning,0.442,larne,0.407,che,0.442,ministére,0.48,preskriptionstid,0.479,jordevandring,0.482,löregående,0.467
25,lägga,0.374,wanliga,0.516,taxering,0.441,hitintills,0.406,preskriptionstid,0.442,hufvudstadcn,0.479,pröfvotid,0.477,hvilotid,0.482,vinteraftnarne,0.465
26,hon,0.373,påstående,0.515,1798,0.441,upptända,0.405,dagarnc,0.442,tåras,0.479,sjötåg,0.477,tidsrymd,0.48,öfvergångsperiod,0.465
27,ung,0.372,hä,0.512,fjorton,0.441,utdrägt,0.405,statsrodret,0.441,långlig,0.477,stonder,0.477,llfräntor,0.48,ämbetstid,0.463
28,efter,0.372,undersökning,0.512,esker,0.44,har,0.404,tidell,0.441,svältkur,0.477,föreko,0.474,holroyd,0.48,påfvevalet,0.463
29,redan,0.371,ila,0.512,weckors,0.44,stalie,0.404,hemsk,0.441,suden,0.476,jagttiden,0.473,tidsförlopp,0.479,jordelif,0.462
30,gammal,0.37,antyda,0.511,weckor,0.44,fängsla,0.403,hufvudsladen,0.441,afgångsdagar,0.476,obemärkthet,0.472,pästen,0.479,mri,0.462
31,sätt,0.37,mången,0.511,ärets,0.44,midsommar,0.402,mjukhet,0.44,gräsväxt,0.476,lefnadstid,0.471,fredsår,0.479,lefnadstid,0.461
32,r,0.369,england,0.511,entreprenad,0.439,tidt,0.401,utstyra,0.439,öfiigt,0.476,tidsmoment,0.471,llträntor,0.479,sorgeår,0.461
33,sida,0.366,synas,0.511,xa,0.438,räa,0.401,morg,0.439,klagovisa,0.475,växttid,0.471,fredsperiod,0.477,totalitet,0.46
34,ock,0.365,förfader,0.51,stuld,0.438,epistel,0.401,warodeils,0.439,180g,0.474,klöfvervallar,0.471,tilländagången,0.477,tidene,0.459
35,aldrig,0.364,samla,0.51,wisia,0.436,deruppä,0.401,kategori,0.439,mellantid,0.474,nedskrifvet,0.471,jagtsäsongen,0.477,tjd,0.458
36,mi,0.363,förbud,0.509,manlighet,0.434,bortrycka,0.4,hufvudstadcn,0.439,förvis,0.474,komrae,0.47,länsmansbefattning,0.476,ynglingaår,0.457
37,sedan,0.363,händt,0.508,gudstjänst,0.433,kim,0.4,lärostol,0.439,åratal,0.474,yäg,0.47,aedan,0.476,arrenda,0.456
38,icke,0.361,sammankomst,0.508,blifwet,0.433,process,0.399,tiel,0.438,bortovaro,0.473,bokförings,0.469,änou,0.475,lifslängden,0.456
39,hög,0.361,föregående,0.508,lärk,0.432,nedanstäende,0.399,tld,0.438,förflutna,0.473,teckningsdag,0.468,väntetid,0.475,veokor,0.456
40,resa,0.358,underkasta,0.507,pest,0.432,läggning,0.398,prisförändring,0.437,egid,0.473,umler,0.468,julbrådska,0.475,afsomnat,0.456
41,derföre,0.356,syna,0.507,gifwen,0.431,leende,0.397,upplefva,0.437,somrarne,0.472,camorra,0.467,andtid,0.475,arbetsoförmåga,0.455
42,äga,0.355,warse,0.507,termin,0.431,bräde,0.397,ätergär,0.436,försummadt,0.472,korlare,0.467,sopransångerska,0.473,förutsågo,0.455
43,lycka,0.353,manlighet,0.507,tilträde,0.431,anslag,0.397,ccli,0.436,tillfållet,0.472,inbemtat,0.466,konstnärsbanan,0.473,kunskapsområde,0.455
44,men,0.353,wärkan,0.506,utbetala,0.429,werkct,0.397,framskriden,0.436,anlages,0.472,riksdagsgöromålen,0.466,brefemottagaren,0.472,dagsinkomst,0.454
45,fast,0.348,turk,0.506,dcrpä,0.429,fedag,0.396,boga,0.436,fartygels,0.472,återbetalningstid,0.466,biscaros,0.472,helande,0.454
46,fader,0.348,iva,0.506,lått,0.429,härstamma,0.396,iemnar,0.435,ohm,0.471,boulogneskogen,0.466,wädcrleken,0.472,sjötåg,0.454
47,herre,0.347,minna,0.505,fränwaro,0.429,förestrifwer,0.396,ullkultur,0.435,oinvigd,0.471,målskjutnings,0.465,wapping,0.471,konfirmationsdag,0.454
48,est,0.346,inkomst,0.505,samfält,0.429,otillräcklig,0.395,löneförhöjning,0.435,båst,0.471,maskinkonstruktion,0.464,chief,0.471,ffter,0.453
49,igenom,0.345,wari,0.505,stalie,0.428,merit,0.395,sistnämdc,0.434,llund,0.47,konststudium,0.463,lillbragt,0.471,parisermeddelare,0.453
50,stockholm,0.345,foster,0.505,dcnna,0.428,witza,0.395,förlöpa,0.434,föriidet,0.47,borrta,0.463,konfirmationsdag,0.471,normalarbetstid,0.453
51,wi,0.345,försöka,0.505,lysning,0.427,medge,0.394,varaktighet,0.434,ögonsjukdom,0.47,tib,0.462,halfsekel,0.471,vintermånaderne,0.452
52,jag,0.343,fortsättning,0.504,warar,0.427,vret,0.394,gde,0.434,absurditet,0.469,sknile,0.462,bortvaro,0.47,omskifte,0.452
53,stad,0.342,menn,0.504,öfwerläggning,0.427,afgifwit,0.394,lundstedt,0.434,warodeils,0.469,beböft,0.461,aftontimme,0.47,maskinkonstruktion,0.452
54,tänka,0.342,efterkommande,0.504,medium,0.427,detra,0.394,vakans,0.434,aristoteles,0.469,sörlidct,0.461,oförvitligen,0.469,sjukdomstid,0.452
55,stark,0.337,läte,0.503,vinna,0.426,uptäckt,0.394,borrta,0.433,markegångstaxa,0.468,gymnastikundervisning,0.46,respittid,0.469,väntansfull,0.452
56,lämna,0.337,möjeligt,0.503,mänader,0.426,werkstallas,0.393,korr,0.433,kånda,0.468,fyrtioåtta,0.46,förutsågo,0.469,luftbad,0.451
57,sätta,0.337,jamt,0.503,oc,0.425,answarighet,0.393,bewiljades,0.433,blcfve,0.468,besinningstid,0.46,maskinkonstruktion,0.468,älgjakt,0.451
58,snar,0.336,fäkt,0.502,punct,0.425,gera,0.392,betalningstermin,0.433,fredsår,0.467,årtusen,0.459,tramtid,0.468,vårvinter,0.451
