,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
16,florida,0.787,preutzen,0.717,donaufurstendömenas,0.612,nordflesvig,0.612,nassaus,0.556,nassaus,0.556
17,calabrien,0.787,colonier,0.717,pälen,0.612,augustenburgaren,0.611,schleswigs,0.555,liffland,0.555
18,älstilliga,0.786,semlin,0.715,arfföljd,0.611,konungarike,0.61,braunschweig,0.552,schleswigs,0.555
19,sadix,0.785,compagnier,0.714,integritet,0.61,schleswig,0.609,slesvigholstein,0.55,estland,0.554
20,upphäfwa,0.784,armce,0.714,nystland,0.605,sachsens,0.604,schaumburg,0.55,slesvigholstein,0.55
21,piemont,0.783,reggio,0.713,lauenburgs,0.603,rikshälft,0.597,estland,0.55,venetien,0.55
22,armten,0.782,kosack,0.712,tillintetgörelse,0.603,slesvigholstein,0.597,venetien,0.55,elsah,0.549
23,äterwanda,0.782,rigtningen,0.712,hessen,0.603,förbundsexekutionen,0.595,elsah,0.549,braunschweig,0.548
24,proklamera,0.782,stränderne,0.712,estland,0.602,kurhessen,0.594,etrurien,0.548,etrurien,0.548
25,nyffe,0.781,farwatten,0.711,eventuell,0.602,förbundsexekution,0.594,slesvig,0.547,slesvig,0.547
26,armse,0.781,ockupation,0.711,böhmen,0.602,lothringens,0.593,liffland,0.547,holsteins,0.544
27,upprorisk,0.781,genomtåga,0.71,thronföljden,0.602,småstat,0.592,holsteins,0.544,preusen,0.543
28,armce,0.78,limburg,0.71,directorium,0.601,österrike,0.59,preusen,0.543,limburg,0.542
29,mila,0.78,florida,0.708,parma,0.599,mellanstaterna,0.586,limburg,0.542,rumenien,0.541
30,bay,0.78,upprorista,0.708,helstatsförfattning,0.598,integritet,0.583,rumenien,0.541,elsatz,0.541
31,wistte,0.78,gebiet,0.707,inmarsch,0.597,helstat,0.581,elsatz,0.541,schaumburg,0.54
32,tractaten,0.778,toscana,0.705,ständerförsamling,0.596,schleswigs,0.581,furstehus,0.537,furstendöme,0.536
33,utbredt,0.778,thessalien,0.705,constitution,0.595,tullgräns,0.58,riksförfattning,0.534,riksförfattning,0.534
34,whitworth,0.778,kastell,0.705,införlifwande,0.595,holsteins,0.578,moldau,0.532,moldau,0.532
