,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
74,ombyta,0.737,proklamera,0.632,taktik,0.516,sakförhållande,0.496,banklagstiftning,0.476,rösträttsförhållanden,0.491,struktioner,0.478
75,ke,0.737,rättwis,0.631,swärigheten,0.516,tidsförhållande,0.496,maxim,0.476,originalmaskin,0.491,frihandelssystem,0.478
76,klagomal,0.736,underbar,0.631,tids,0.516,utopi,0.495,maskin,0.476,odlingsmetod,0.49,fabriksmässig,0.478
77,utrota,0.736,stadfästelse,0.631,tygla,0.515,rättsenlig,0.495,landtpolis,0.475,myntfot,0.49,läsplan,0.478
78,proclamation,0.736,värdig,0.631,godtycklig,0.515,definition,0.495,statsbildning,0.475,praktiskhet,0.49,construktion,0.478
79,flöda,0.736,bestraffa,0.631,nordista,0.515,vigtigasle,0.495,fördelame,0.475,häfdvunnet,0.488,mellanrikslag,0.477
80,häda,0.736,åtlöje,0.631,storbrittannien,0.515,valprincipen,0.494,valprincipen,0.475,representationsskick,0.488,siemenska,0.477
81,oförsynt,0.735,magter,0.631,existens,0.515,följdriktig,0.494,frihandelssystem,0.475,lahmanns,0.488,regeringssystem,0.477
82,mannamod,0.735,kanton,0.63,lagstiftning,0.514,rättsbegrepp,0.494,fattigvårdslag,0.475,brottmålslag,0.487,wolffska,0.477
83,klokhet,0.735,undersäter,0.63,förderflig,0.514,ärftlighet,0.494,guldmyntfot,0.475,guldmyntfot,0.487,tesla,0.477
84,sones,0.735,urgammal,0.63,lifskraft,0.514,omstöpning,0.494,statsskick,0.474,påhlmanska,0.487,brottmålslagstiftning,0.477
85,tillätes,0.735,närmarande,0.629,bevekelsegrund,0.513,definiera,0.493,sorträkning,0.474,siemenska,0.486,centrifug,0.476
86,artighet,0.734,dömas,0.629,axiom,0.513,lagverk,0.493,pästädda,0.474,torfmullsklosetter,0.486,metrifla,0.476
87,class,0.734,bedragare,0.629,hugskott,0.513,fastställande,0.493,allenastyrelse,0.474,näringsskydd,0.486,orubbligen,0.476
88,omedelbarligen,0.734,doch,0.629,stationär,0.513,genomdrifvande,0.493,methoder,0.474,patenterad,0.486,författningsstridig,0.476
89,tilläggning,0.733,orimlighet,0.629,förehafvande,0.513,tendera,0.493,separation,0.474,förenkladt,0.486,jurysystem,0.476
90,oberäknad,0.733,twister,0.628,demagogisk,0.513,samhällsförfattning,0.492,härordning,0.473,jurysystem,0.486,tillverkningssätt,0.476
91,anspräk,0.733,förhallande,0.628,statsrätt,0.512,lamartines,0.492,försattning,0.473,förstörelseredskap,0.486,verldsåsigt,0.476
92,affaire,0.733,antik,0.628,nationerne,0.512,statsförbund,0.492,tulllagstiftning,0.473,decentralisation,0.485,statsväsen,0.476
93,antasta,0.733,medfödd,0.628,brytning,0.512,ministér,0.492,slagord,0.473,woolfska,0.485,humanisera,0.476
94,krossa,0.733,verksam,0.627,asigter,0.512,hillder,0.491,teknici,0.473,statsskick,0.485,kanyl,0.476
95,sisi,0.733,intrig,0.627,öfvermakt,0.512,stabilitet,0.491,folkmakt,0.473,fasonering,0.485,terapeutisk,0.475
96,despotism,0.732,crisis,0.627,ehuruväl,0.512,kontinuitet,0.49,regim,0.472,helstatsförfattning,0.484,fördelame,0.474
97,blifwil,0.732,onaturlig,0.627,deputeradekammare,0.512,handelspolitik,0.49,humanism,0.472,låneanstalt,0.484,ozon,0.474
98,utsticka,0.732,auctors,0.627,tolerans,0.511,socialist,0.49,tullförfattning,0.471,tilllämpande,0.484,milissystem,0.474
99,ärelystnad,0.732,wittna,0.627,inveckla,0.511,enstämmighet,0.49,genomfördt,0.471,styrelsesystem,0.483,medkämpe,0.474
