,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
85,undersökning,0.567,tjenande,0.478,bredschäs,0.397,hurn,0.416,myntenhet,0.506,föir,0.466,kreditlag,0.422,dyrtid,0.399
86,curator,0.567,direktion,0.478,wedermäle,0.397,samverkan,0.416,bondestånd,0.506,blcfve,0.466,jagtlycka,0.422,oskyddad,0.399
87,1772,0.567,pol,0.477,indelning,0.396,brottmål,0.416,folkvald,0.505,kainrarne,0.466,fiämst,0.422,arstaviken,0.399
88,anstalt,0.566,spene,0.477,öfrigit,0.396,uy,0.415,jernvägsfrågan,0.505,straffbarhet,0.465,arstaviken,0.422,privatspisning,0.399
89,chef,0.566,riksdag,0.477,riksgäld,0.395,gassa,0.415,deijemte,0.505,armébudgeten,0.465,lordras,0.422,öfvergär,0.399
90,bekräfta,0.565,upförde,0.476,infordra,0.395,hvilande,0.415,borgareständer,0.505,ntskottets,0.465,arbetsmedel,0.422,vestmakterne,0.398
91,pro,0.564,ändring,0.475,fullgod,0.395,calesch,0.415,jernvägssystem,0.505,utgifts,0.465,partilidelse,0.422,mäldtillgång,0.398
92,69,0.563,protocollet,0.475,badhus,0.394,ideen,0.414,sammankallande,0.504,unionsfördrag,0.465,telefonfråga,0.422,folkelig,0.398
93,undersåtare,0.563,capit,0.475,förswarligt,0.394,förfogande,0.414,nattbevakning,0.504,storthings,0.464,tidsskifte,0.422,bundsförvandten,0.398
94,elände,0.563,lår,0.475,tillämna,0.393,högstberörde,0.413,folkskoleväsende,0.504,ständernes,0.464,eldhastighet,0.422,må3te,0.398
95,bibehålla,0.562,arbetshus,0.475,krona,0.393,ursprungligen,0.413,omstämma,0.503,utskottsförslag,0.464,landåvagn,0.422,wallachi,0.398
96,afbida,0.561,stapel,0.474,committé,0.393,remiss,0.413,styrelseverk,0.503,budgetkommission,0.464,vestmagterna,0.422,utbyrdt,0.397
97,slut,0.561,hwarie,0.474,fördelning,0.392,pröfwat,0.413,lånerörelse,0.502,sammanjemkning,0.464,jordinnehafvare,0.422,fullständiggöra,0.397
98,re,0.56,mart,0.474,utlätande,0.392,medevi,0.412,tvärtemot,0.502,beväringslagen,0.463,mennlskor,0.421,hufvudresultatet,0.397
99,ocb,0.559,nädiga,0.474,waka,0.392,bedömmande,0.411,öfverflyttning,0.502,arendals,0.463,radikalkur,0.421,ickp,0.397
