,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
37,richardt,0.748,ahasverus,0.653,petrarca,0.653
38,gaelisk,0.746,resebild,0.652,ahasverus,0.653
39,murillos,0.746,anakreon,0.651,resebild,0.652
40,kartago,0.746,horatii,0.65,anakreon,0.651
41,tidflrist,0.746,klassik,0.65,horatii,0.65
42,genomhederlig,0.746,seneca,0.648,århundra,0.649
43,nerande,0.745,hjältinna,0.648,klassik,0.649
44,hjeltekonungen,0.745,kärlekssång,0.648,medeltida,0.649
45,authentika,0.745,herdegosse,0.647,seneca,0.648
46,natursanna,0.745,kaldeiska,0.646,kärlekssång,0.648
47,drömsyn,0.744,västerländsk,0.645,herdegosse,0.647
48,tummeliten,0.744,assyrier,0.645,kaldeiska,0.646
49,sedolärande,0.741,thorvaldsen,0.645,västerländsk,0.645
50,varierad,0.741,copernicus,0.645,myt,0.645
51,biblista,0.741,pax,0.644,assyrier,0.645
52,poe,0.74,inferno,0.643,thorvaldsen,0.645
53,paristidningen,0.74,drakslinga,0.643,copernicus,0.645
54,8venska,0.74,kyrkobibel,0.643,inferno,0.643
55,folkpoesi,0.74,hemsed,0.643,drakslinga,0.643
56,originalnovell,0.74,kostymbild,0.643,pax,0.643
57,skaldeverk,0.739,sagohäfder,0.642,hemsed,0.643
58,berättel,0.739,gaelisk,0.642,runstaf,0.643
59,ungdomsfriskhet,0.739,ansigtsbildning,0.642,kärlekssaga,0.643
60,anakreon,0.739,buddha,0.641,bergspredikan,0.643
61,formfulländning,0.738,enhetstanke,0.64,kostymbild,0.643
62,förljusning,0.738,offerväsen,0.64,sagohäfder,0.642
63,djuptänkt,0.738,medeltida,0.64,gaelisk,0.642
64,genomandade,0.738,folkanden,0.64,sågorna,0.642
65,haquin,0.738,hexameter,0.64,ansigtsbildning,0.642
66,hopspunnen,0.737,repetitorium,0.64,buddha,0.641
67,domliga,0.737,kristusbarn,0.64,enhetstanke,0.64
68,barbarifla,0.736,bergspredikan,0.639,offerväsen,0.64
69,festsång,0.736,dikler,0.639,folkanden,0.64
70,folkanden,0.736,jernåldern,0.639,repetitorium,0.64
71,andersén,0.736,framtidssyn,0.638,kristusbarn,0.64
72,diktcykel,0.736,nicanders,0.638,renässans,0.639
73,belletristisk,0.735,kärlekssaga,0.638,dikler,0.639
74,folksägen,0.735,apotheos,0.637,jernåldern,0.639
75,karaktersskildring,0.735,blomsterkonungen,0.637,framtidssyn,0.638
76,krigssång,0.735,nepos,0.637,nicanders,0.638
77,tillegnan,0.734,anglosaxisk,0.636,blomsterkonungen,0.637
78,småbit,0.734,bildspråk,0.636,nepos,0.637
79,reinecke,0.734,renässans,0.636,folktyp,0.637
80,tacitus,0.734,hautrelief,0.635,bildspråk,0.636
81,böttigers,0.734,allegori,0.635,hautrelief,0.635
82,renans,0.734,psalmmelodi,0.635,allegori,0.635
83,hemsed,0.733,blomsterkung,0.635,psalmmelodi,0.635
84,lucianus,0.733,allmogemål,0.634,blomsterkung,0.635
85,gramatiken,0.733,verklighetsbild,0.634,allmogemål,0.634
86,flildringar,0.732,konstskapelse,0.633,verklighetsbild,0.634
87,veckorevy,0.732,sjelfporträtt,0.633,barndomsdag,0.633
88,gammalnordisk,0.732,reliefbild,0.633,konstskapelse,0.633
89,ungdo,0.731,travestera,0.633,sjelfporträtt,0.633
90,racine,0.731,astrolog,0.633,reliefbild,0.633
91,sentiment,0.73,naturskildring,0.632,travestera,0.633
92,tondikt,0.73,renaissancen,0.632,germanisk,0.633
93,menniskokroppens,0.73,oförvansklig,0.632,astrolog,0.633
94,diktkonst,0.73,storstads,0.632,naturskildring,0.632
95,bibliografisk,0.73,lifsuppfattning,0.632,renaissancen,0.632
96,kommentarie,0.73,symbolistisk,0.632,oförvansklig,0.632
97,lörekommande,0.73,landskapslag,0.632,storstads,0.632
98,kilskrift,0.729,hemlandstoner,0.631,lifsuppfattning,0.632
99,bellmanssång,0.729,heden,0.631,symbolistisk,0.632
