,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
66,tank,0.321,wandel,0.51,öfwergifwa,0.453,föremal,0.415,fiendskap,0.449,inäl,0.537,nation,0.536,frihetsidé,0.514,samfundsklasser,0.472
67,blifwa,0.318,stridig,0.509,krigsfolk,0.452,hyresfolk,0.415,nylt,0.449,sentant,0.537,vesterlandet,0.536,handelsidkande,0.514,uppvexande,0.472
68,mä,0.318,we,0.509,utseende,0.452,bödel,0.415,begärelse,0.448,ståndsprincipen,0.537,förbrödra,0.536,nationalkarakter,0.514,gränsbefolkning,0.472
69,aldrig,0.317,menighet,0.508,begärelse,0.452,wärdiga,0.415,nansin,0.448,misskänd,0.537,afguderi,0.536,sköka,0.514,exklamation,0.471
70,wörö,0.316,li,0.508,härstamma,0.452,försmå,0.414,sorglöshet,0.448,trosfrihet,0.537,framtidsmål,0.535,främmad,0.514,meningslöshet,0.471
71,barn,0.316,heta,0.508,klen,0.452,föremälet,0.414,förtryckare,0.448,tankefrihet,0.537,innebyggarnes,0.535,människa,0.514,måleriarbetarne,0.471
72,namn,0.314,upfylla,0.507,krigare,0.452,lättja,0.414,inneboende,0.447,följdriktig,0.537,fostbrödralag,0.535,fanatici,0.514,fosterländskhet,0.471
73,men,0.311,allmoge,0.507,sinn,0.451,förhallande,0.414,nordbo,0.447,interesset,0.537,kulturarbete,0.534,exklamation,0.513,kyrkobesökarne,0.471
74,des,0.309,them,0.507,löna,0.451,männistjor,0.414,bannlysning,0.446,afskudda,0.537,nederländerne,0.534,folkelement,0.513,kulturuppgift,0.47
75,höra,0.308,grundeligen,0.507,förfwara,0.45,trygga,0.414,murken,0.446,landsherre,0.536,sedeförderf,0.534,hersklysten,0.513,sinnon,0.47
76,tro,0.307,idkare,0.507,barmhertig,0.45,stridsman,0.414,förhärda,0.446,oklokhet,0.536,germanisk,0.534,trosfrände,0.512,världsordning,0.47
77,ting,0.306,fond,0.506,statsman,0.45,väcka,0.414,despot,0.446,tillitsfull,0.536,chimär,0.534,besolkningen,0.511,ignatio,0.47
78,dock,0.305,städja,0.505,tilräckeligen,0.45,nunna,0.414,stabilitet,0.445,familjeband,0.535,verldeus,0.533,frihandelstiden,0.511,kräfdo,0.47
79,ständ,0.305,lius,0.505,undergäng,0.45,inhemsk,0.413,tillgifna,0.445,tillskansa,0.535,militärvälde,0.533,lagbundenhet,0.51,sjelfmedvetande,0.469
80,öga,0.305,förstä,0.505,förgifta,0.45,wänners,0.413,portugis,0.445,jemnlikhet,0.535,wädjat,0.533,tusendetals,0.51,ströfvar,0.469
81,lära,0.304,inbyggare,0.505,mennistor,0.449,republikan,0.413,dväljas,0.445,klentrogen,0.535,fortlefva,0.533,irrsken,0.51,pjoller,0.469
82,mycket,0.301,ihop,0.505,omedelbarligen,0.449,mäktig,0.413,absolutism,0.445,fåtal,0.535,näringsomsorger,0.532,samhällsomstörtare,0.51,vidskeplighet,0.469
83,sätt,0.299,fordom,0.505,efterdöme,0.449,efterföljd,0.413,religionsfrihet,0.445,samhällig,0.535,gudsdyrkan,0.532,auktoritetstro,0.51,civili,0.469
84,lägga,0.299,nödlidande,0.505,sivärt,0.448,tillgift,0.413,törhända,0.445,monopolisera,0.535,statsklok,0.532,kärleksbud,0.51,folka,0.468
85,af,0.297,sköta,0.505,utgä,0.448,herrsta,0.413,hårdnackad,0.445,nationalförsvar,0.534,konsiderationslöst,0.532,sjelfmedvetet,0.509,missbilliga,0.468
86,lärer,0.296,narwarande,0.504,underhall,0.448,wandra,0.412,ständen,0.445,exklusiv,0.534,holsteinarne,0.532,osvensk,0.509,solk,0.468
87,denna,0.295,säfom,0.504,upsät,0.448,säsvm,0.411,instinkt,0.444,samhällsskick,0.534,tankefrihet,0.532,sjelfviskheten,0.508,vettvilling,0.468
88,fä,0.294,deö,0.504,sprak,0.448,swurit,0.411,kristenhet,0.444,sind,0.534,lolket,0.532,inedborgare,0.508,frihandlande,0.468
89,fin,0.294,sedig,0.504,attaque,0.448,önstat,0.411,sinlig,0.444,mobb,0.534,sjelfbestämmelserätt,0.532,sjelffallet,0.508,hårigenom,0.467
90,hög,0.293,fäsom,0.503,wanmagt,0.448,wedermäle,0.411,dogm,0.444,demagogisk,0.534,efterlängta,0.532,muhamedanerna,0.508,konstnärskoloni,0.467
91,ordsak,0.292,bestiga,0.503,con,0.447,uppmana,0.411,nska,0.444,fostbrödralag,0.533,valort,0.531,herreklass,0.508,lätjan,0.467
92,hafwa,0.288,publik,0.503,bilda,0.447,erkännande,0.411,klagorop,0.444,embelsmännen,0.533,verldsfredens,0.531,fåkunnig,0.507,mäa,0.467
93,lika,0.288,tjenar,0.503,besparing,0.447,statsrädet,0.411,slafvisk,0.444,förbrödra,0.533,nationalanda,0.53,paroll,0.507,uppvexa,0.467
94,all,0.286,gosse,0.503,främling,0.447,förswinner,0.411,monopolier,0.444,hjälte,0.533,barbarism,0.53,utskum,0.507,handelsidkande,0.467
95,hwilka,0.286,upmuntran,0.503,illasinnad,0.446,inplanta,0.41,sjelfsvåld,0.443,sammanhopa,0.533,förslafva,0.53,ockiå,0.507,uppviglare,0.466
96,icke,0.286,gjuta,0.503,process,0.446,dyrkan,0.41,gehör,0.443,statsförvaltning,0.532,vädjande,0.53,julfirande,0.507,molok,0.466
97,in,0.285,fruentimmer,0.502,wäsende,0.445,trygghet,0.41,martyr,0.443,omhvälfning,0.532,återförsätta,0.53,sjelfmedveten,0.507,romanläsande,0.466
98,när,0.283,oriktig,0.502,ryssa,0.445,oinskränkt,0.41,flender,0.443,sympathi,0.532,umgängeston,0.53,genombäfva,0.506,unionskomité,0.466
99,wisa,0.283,tempel,0.502,uste,0.445,mkd,0.41,inandas,0.443,sjelfbestånd,0.532,slafvisk,0.53,menniskohjertan,0.506,stndenter,0.465
