,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
22,namn,0.369,orolig,0.59,ryktbar,0.434,prov,0.401,halfankare,0.436,utredande,0.472,tvåvåningsbyggnad,0.478,landstapen,0.456,naturtillgång,0.472
23,äfwen,0.369,händt,0.59,tilfället,0.434,albanien,0.4,menniskoslägte,0.435,godsegarne,0.472,ael,0.477,foderförråd,0.455,anlörda,0.472
24,sak,0.365,ansenlig,0.588,fleste,0.434,ink,0.4,dcl,0.434,sockerfabrik,0.472,fäladsmark,0.477,komplexer,0.455,oafvittrade,0.471
25,woro,0.363,handtering,0.588,predikning,0.432,verkning,0.399,archiv,0.434,föråndring,0.471,heja,0.476,kreatursföda,0.455,flertal,0.47
26,stark,0.361,hälft,0.587,twungit,0.432,dömmas,0.399,beggedera,0.434,herresäte,0.471,bagarkammare,0.475,flertal,0.452,delan,0.468
27,wär,0.358,älskare,0.587,samtida,0.43,dardanellerne,0.399,supplement,0.434,karg,0.47,färdigbygda,0.474,återstod,0.452,elei,0.468
28,den,0.356,sjelfwe,0.586,höft,0.429,indragning,0.398,valle,0.432,arktal,0.47,grefskapen,0.474,luie,0.452,sjukvårdspersedlar,0.468
29,man,0.351,respeetive,0.585,underpant,0.429,reggio,0.398,jeinte,0.432,kustort,0.469,drätselkm,0.474,bvggnad,0.452,blfvit,0.467
30,anse,0.345,handa,0.585,tillväxt,0.429,tilräckeliga,0.398,geograf,0.432,sjnes,0.469,grannhällena,0.474,aftagna,0.45,miingd,0.467
31,hwilken,0.34,samfund,0.585,bestvara,0.428,kän,0.397,författningssamling,0.431,lawida,0.469,störsla,0.472,täekdikad,0.449,hehofvet,0.466
32,ting,0.339,gemensam,0.583,engelsmännerne,0.428,kdk,0.397,linné,0.431,dclcn,0.468,nnvarande,0.471,vedhus,0.449,classer,0.466
33,förnuft,0.338,stänka,0.583,förbund,0.428,georgien,0.397,tropisk,0.43,belinnes,0.468,ledamölerne,0.47,fjelltrakterna,0.449,ledamölerne,0.465
34,ibland,0.338,förhoppning,0.583,kopparstycke,0.427,wäxter,0.397,retour,0.429,wallinska,0.467,inredts,0.47,pepparnöt,0.448,afstadna,0.464
35,icke,0.338,societet,0.583,barbar,0.427,wifar,0.397,tillständet,0.429,frihetsstraff,0.467,förenings,0.469,drl,0.448,turista,0.464
36,hafwa,0.337,aldra,0.582,visit,0.426,detalj,0.397,skolordning,0.428,tel,0.466,träkista,0.469,slinder,0.448,reservförråd,0.463
37,ung,0.337,nogsamt,0.581,wägrade,0.426,tilfaller,0.396,slim,0.427,störsla,0.466,mossjord,0.469,förstärkande,0.448,allu,0.462
38,wilja,0.334,bekostnad,0.581,wcrkan,0.425,eck,0.396,rnin,0.427,475,0.466,attrahera,0.469,bostod,0.448,rostsvamp,0.462
39,ju,0.332,nation,0.581,häkta,0.425,dekutom,0.396,öfvervälde,0.427,beholvet,0.465,fjelltrakter,0.469,smålotter,0.447,statsskog,0.461
40,efter,0.33,respective,0.581,suite,0.425,böda,0.396,qvarstående,0.426,lemiiar,0.465,dömen,0.468,slagterisvin,0.447,befolkningscentrum,0.46
41,mä,0.329,medel,0.579,dagcligen,0.424,femtedel,0.395,nummern,0.426,vårdet,0.465,enor,0.467,värdalen,0.447,verldshandelns,0.46
42,samt,0.329,löna,0.579,sistnämd,0.423,doct,0.395,heste,0.425,ojemnförligt,0.464,afväpningen,0.467,gmnd,0.447,mäogd,0.46
43,last,0.326,utgöra,0.579,isa,0.423,ststa,0.395,nattvardsgång,0.425,enskildhet,0.464,jernvägstrafiken,0.467,inwändiga,0.447,lånebehöfvande,0.46
44,förnuftig,0.325,fdr,0.578,glob,0.423,skeppsbrott,0.395,livart,0.425,uppskofvet,0.463,belågen,0.466,qvantiter,0.446,eniir,0.459
45,at,0.323,mistning,0.578,present,0.422,astan,0.395,218,0.425,fiktion,0.463,stail,0.466,bakvägg,0.445,brofäste,0.459
46,ja,0.322,tilgäng,0.578,tractaten,0.422,jesuit,0.394,arbor,0.424,422,0.463,sandfält,0.465,spirituosahandeln,0.443,löndalaängen,0.458
47,emot,0.321,förmon,0.577,ceremoni,0.422,wisi,0.394,balzac,0.424,åtskilnad,0.463,originalroman,0.464,grannhällena,0.443,bufvudsakligast,0.458
48,nöje,0.317,nägo,0.576,opposition,0.421,vele,0.394,väningen,0.424,landtmannawaror,0.463,eftersträfvansvärdt,0.464,diveise,0.443,temperaturfall,0.457
49,as,0.317,gagnelig,0.576,lägra,0.421,salle,0.394,tante,0.424,aflöningssätt,0.462,inkörsel,0.463,intäckt,0.442,varugrupp,0.456
50,utan,0.315,hindra,0.576,tryckning,0.42,ganfla,0.393,grushög,0.424,ägovidd,0.462,lel,0.463,hwaric,0.442,afstjelpning,0.456
51,lil,0.311,anledning,0.575,utgifwit,0.42,vörda,0.393,ob,0.424,utveckladt,0.461,svårsmält,0.463,meddels,0.442,sillsaltare,0.456
52,endast,0.311,förmån,0.575,somlige,0.42,bidrag,0.393,viktig,0.424,landthandeln,0.461,bygnadssättet,0.463,oljebehållare,0.441,bufvudsakligen,0.456
53,wara,0.308,undersåtare,0.575,talang,0.42,riktning,0.393,utlupen,0.423,ungskog,0.46,åbygnad,0.463,twäwäningshns,0.441,granland,0.455
54,ock,0.308,steg,0.575,bafwa,0.42,förbrukning,0.393,tilfaller,0.423,sälväl,0.46,stambanenät,0.463,slagbjörn,0.441,dagarae,0.455
55,ek,0.307,bolag,0.575,ösiver,0.42,sjunde,0.393,data,0.423,stal,0.46,pinus,0.463,blomsterälskare,0.44,ilela,0.455
56,j,0.306,förundran,0.575,britannien,0.419,palen,0.393,kärnfull,0.423,behölliga,0.46,nedrifven,0.462,huvudsaklig,0.44,afsågos,0.454
57,skal,0.306,besittning,0.574,pik,0.419,subscription,0.392,prosaiker,0.422,viglen,0.46,npplagan,0.462,afsågos,0.44,jagtförening,0.454
58,stor,0.305,tina,0.573,bäda,0.419,upförde,0.392,ättonde,0.422,igenkännelig,0.46,dél,0.462,gårdagsupplagan,0.44,förstärkande,0.454
59,dag,0.304,ansedt,0.573,häfte,0.419,inbinda,0.392,upphäfvet,0.422,stegel,0.46,vanpris,0.462,uthussträcka,0.439,haltva,0.454
60,aldeles,0.304,wisat,0.573,nera,0.419,litel,0.392,vallag,0.421,lörre,0.46,fiskprodukt,0.462,wardade,0.439,hutvudsakligen,0.454
61,ny,0.304,utgift,0.572,grundlag,0.419,aller,0.391,återbringa,0.421,indes,0.459,hnswudstadens,0.461,isbod,0.439,gatumark,0.454
62,dygd,0.304,disposition,0.572,ännn,0.419,förstöring,0.391,afdela,0.421,inve,0.459,kilometres,0.461,färgstoff,0.439,packhusbyggnaden,0.453
63,mänga,0.302,fläste,0.572,dagelig,0.418,provincerne,0.391,rygatan,0.421,köpekol,0.459,hida,0.461,bygnadskomplex,0.438,fartygscerter,0.453
64,1,0.3,förskaffa,0.571,ledamöterne,0.418,landskap,0.39,vb,0.421,jordbrukande,0.459,minmateriel,0.461,spanmålsproducerande,0.438,utförselartiklar,0.453
65,denna,0.299,befara,0.57,tj,0.418,hwikken,0.39,originalspråk,0.42,likwät,0.459,fiskebåt,0.461,delaf,0.438,sunån,0.453
66,tycka,0.299,instämma,0.57,avisa,0.418,medeltid,0.39,boningsbus,0.42,driffjäder,0.459,premielån,0.46,kristianiafjordens,0.438,penningeutlottning,0.452
67,ei,0.298,wt,0.569,traktat,0.418,florida,0.39,lördagsbladet,0.42,påtryck,0.458,invuxen,0.46,invuxen,0.438,skörderesultaten,0.452
68,och,0.298,winning,0.569,förminska,0.418,pröfwas,0.39,eril,0.42,brefvets,0.458,ningshus,0.46,dclcn,0.438,hördos,0.452
69,torde,0.296,samling,0.569,skattkammare,0.418,tvenne,0.39,uppskofvet,0.42,hufvudartiklar,0.458,menmskor,0.46,packkammare,0.437,skyddstak,0.452
70,sä,0.295,betjening,0.569,tide,0.418,botte,0.389,spilla,0.419,jordägarne,0.458,hästhufvud,0.46,gasspis,0.437,skyddspartiet,0.451
71,vch,0.292,nb,0.568,cordon,0.418,oo,0.389,fruktträdgård,0.419,grond,0.458,årade,0.46,parkar,0.437,importhamn,0.451
72,människa,0.292,förmögenhet,0.568,stänk,0.418,ocl,0.389,halil,0.419,bränvinsbrännare,0.458,tilräckeliga,0.46,bjelpligt,0.437,utsigtorna,0.451
73,ännu,0.292,olaglig,0.568,witzhet,0.418,upprorisk,0.389,menzel,0.419,stillande,0.457,sox,0.46,mäugd,0.437,påbörjande,0.45
74,men,0.289,studie,0.568,adjutant,0.418,stympa,0.389,afskrifning,0.419,valdistrikt,0.457,öfverfallne,0.459,munförråd,0.437,plaskande,0.45
75,wi,0.288,oräknelig,0.568,tidningspapper,0.417,fiola,0.389,remi,0.419,missväxtår,0.457,brahegatan,0.459,trävaruhandteringen,0.436,järntillverkning,0.45
76,be,0.288,landtman,0.568,gzr,0.417,tork,0.389,minnesbok,0.419,tvännc,0.457,urberg,0.459,ödebygd,0.436,överge,0.45
77,ära,0.287,artig,0.568,werkningar,0.417,aflösa,0.388,brukbarhet,0.418,homerus,0.457,dcl,0.458,språkområde,0.436,stortidget,0.45
78,tid,0.287,stadeliga,0.568,landstigning,0.417,nordisk,0.388,tjugufyra,0.418,går,0.456,omtryckning,0.458,industriland,0.436,bråddarne,0.45
79,ligga,0.286,medföra,0.568,ärhällit,0.417,förenlig,0.388,öfvertagande,0.418,inhem,0.456,jule,0.458,naturtillgång,0.436,delarne,0.45
80,ej,0.286,närwaro,0.567,ös,0.417,rochefort,0.388,integrera,0.418,envast,0.456,kållare,0.457,tobaksindustri,0.436,tilltölje,0.449
81,til,0.284,sammanhang,0.566,preutzen,0.416,bcstär,0.388,miga,0.418,befolkadt,0.456,insmörjning,0.457,sönderskärs,0.436,jernvägstjenstemännen,0.449
82,et,0.284,belägenhet,0.566,tredubbel,0.416,lefwerans,0.388,höfångsten,0.418,slödder,0.455,delarnc,0.456,fiskeriidkande,0.436,topograf,0.449
83,kalla,0.284,inbyggare,0.566,pachan,0.416,wunnen,0.388,tronföljare,0.418,bergshandtering,0.455,npplag,0.456,beherrstas,0.436,bakvägg,0.449
84,lärer,0.28,förekomma,0.566,odling,0.416,assignation,0.388,j8,0.417,fleia,0.455,hufvuddragning,0.456,tertiär,0.435,tertiär,0.449
85,jag,0.28,öka,0.566,stalie,0.416,fla,0.388,kyp,0.417,proportionell,0.455,konsumtionsort,0.456,skogsvidd,0.435,slagterisvin,0.449
86,kärlek,0.279,befordran,0.566,$,0.415,deri,0.387,ostyckad,0.417,anpart,0.455,telegraflinier,0.455,grum,0.435,konglomerat,0.449
87,hög,0.279,rättegäng,0.566,dagbok,0.415,hemmansdel,0.387,stäcnde,0.416,huvudsaklig,0.455,lamplager,0.455,gräswall,0.435,hålften,0.448
88,desse,0.276,trodt,0.566,garantera,0.415,krönika,0.387,skapnad,0.416,numrorne,0.455,årspremie,0.455,elei,0.435,corpsernas,0.448
89,med,0.276,antal,0.566,wahror,0.414,upplyft,0.387,aflastning,0.416,icte,0.455,inve,0.455,tnlds,0.435,afstycka,0.448
90,fä,0.275,ödmjukeligen,0.565,lärobok,0.414,sammanstämma,0.387,bosättning,0.416,tåras,0.455,penningeutlottning,0.455,wvro,0.435,iuträffade,0.448
91,ha,0.274,likafullt,0.565,öt,0.414,province,0.387,härledt,0.416,besutna,0.454,industrianläggning,0.454,fäladsmark,0.435,m8d,0.448
92,när,0.274,altför,0.565,criticus,0.414,mcra,0.387,restantier,0.416,arméa,0.454,silfvervas,0.454,logelänga,0.434,någta,0.448
93,pä,0.274,både,0.565,wink,0.414,ism,0.386,mindro,0.416,vanpris,0.454,yackra,0.454,värmemängd,0.434,färdiggörande,0.448
94,rätt,0.272,anwända,0.565,wapnen,0.414,spiskammare,0.386,resebeskrifning,0.416,uppgåfvos,0.454,pennsylvaniens,0.453,öppnado,0.434,bortskänkande,0.447
95,hwilka,0.271,dumhet,0.565,däras,0.413,krigs,0.386,hwarl,0.415,kommitte,0.454,målareverkstad,0.453,endel,0.433,nederbördsförhållandena,0.447
96,andra,0.271,gärning,0.565,ogemen,0.413,inbegripa,0.386,sedeförderf,0.415,de1,0.454,tusendedel,0.453,bygnadsverksamheten,0.433,gyusam,0.447
97,konung,0.27,mae,0.565,maynz,0.413,pius,0.386,utlcmnas,0.415,d5,0.454,företagsamhetsandan,0.453,belén,0.433,spanmålstillförseln,0.447
98,aldrig,0.269,dryck,0.564,ex,0.413,sken,0.386,sockerrör,0.415,korrthet,0.454,drängstugubyggnad,0.453,kylörn,0.433,värfvades,0.447
99,wära,0.267,billighet,0.564,titel,0.413,werken,0.386,hammarsköld,0.415,sedelutgifning,0.454,väggyta,0.453,brygghusbyggnad,0.433,svinbesättning,0.446
