,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
54,maata,0.763,rahwaan,0.573,maltojen,0.638,ameriilan,0.711
55,pieniä,0.762,indiassa,0.573,valtakunnan,0.638,maltioiden,0.71
56,etelä,0.762,amerikassa,0.572,maltakunnassa,0.638,britanian,0.71
57,niihin,0.76,kaupungeissa,0.572,makedonian,0.637,länsimaiden,0.71
58,tehneet,0.76,europa,0.571,egyptin,0.637,ahdysmaltain,0.709
59,egyptin,0.759,erittäinki,0.571,kansojen,0.635,brasilian,0.708
60,mailla,0.758,ruotsalaisten,0.57,europalaisen,0.634,balkanin,0.706
61,turkin,0.758,kielten,0.567,maakunnan,0.633,euglannin,0.705
62,suomessa,0.757,rannoilla,0.566,persian,0.633,mdyswaltain,0.703
63,kaluja,0.757,ruotsi,0.565,itämeren,0.633,smeitsin,0.703
64,tienoilla,0.755,frankriikin,0.565,intian,0.632,pohjois-ameritan,0.703
65,wan,0.754,paraastaan,0.564,maakunnissa,0.63,untarin,0.702
66,auringon,0.753,metsien,0.561,europalaisten,0.629,pohjois-amerilan,0.702
67,monet,0.751,norjassa,0.56,bulgarian,0.628,itä-aasian,0.7
68,set,0.75,moassa,0.559,saksau,0.628,valtioitten,0.7
69,wesi,0.75,kirjoissa,0.557,puola,0.627,maltain,0.7
70,lapsia,0.746,maakunnassa,0.556,ranskan,0.627,eurooppalaisten,0.7
71,jää,0.745,erinäisissä,0.556,perun,0.627,afrikassa,0.7
72,meri,0.745,suomeu,0.556,valtiollinen,0.627,afrilan,0.7
73,pal,0.745,osista,0.556,holsteinin,0.627,egyptin,0.699
74,menäjän,0.743,kansoja,0.555,saksanmaa,0.626,korean,0.699
75,myöten,0.74,sissä,0.555,italialaisten,0.624,argentinan,0.699
76,osittain,0.739,wiron,0.555,paikkakuntain,0.624,itämailla,0.699
77,heistä,0.739,käytetty,0.554,ulkomaiden,0.622,ihdysvaltain,0.699
78,muita,0.739,erinomattain,0.554,japanin,0.621,afriikan,0.698
79,kristin,0.738,karjalassa,0.552,australian,0.621,kongon,0.698
80,joisa,0.738,toisissa,0.551,kansakuntain,0.62,mallakunnan,0.697
81,mainitaan,0.737,poh,0.55,pnolan,0.62,amerilan,0.697
82,suurin,0.737,yhdistää,0.549,sleswigin,0.619,niemimaan,0.696
83,monda,0.734,italian,0.548,turlin,0.619,maltatunnan,0.695
84,mahan,0.732,seuroja,0.548,puolalaisten,0.618,saksanmaa,0.694
85,estää,0.73,etenki,0.546,albanian,0.617,siirtomaitten,0.694
86,olleet,0.729,ihmiskunnan,0.546,maakunnat,0.616,©uropan,0.694
87,sodan,0.728,nissa,0.545,serbian,0.615,lansain,0.693
88,suurta,0.727,edis,0.544,unkarissa,0.615,saksalaisten,0.692
89,maassa,0.724,simistyksen,0.543,mannermaalla,0.614,itämaitten,0.691
90,pai,0.723,asukkaita,0.543,siamilaisten,0.613,austraalian,0.691
91,ten,0.722,siwistyksen,0.542,orjuuden,0.613,espanian,0.69
92,oppi,0.721,ulkomailla,0.542,unkarin,0.613,valtakuntain,0.689
93,kaukana,0.719,suomessa,0.54,venäjän,0.611,eurooppaa,0.689
94,nähty,0.719,eräissä,0.539,venäjässä,0.611,saksanmaata,0.688
95,mat,0.718,englandissa,0.538,franslan,0.608,sisilian,0.687
96,kin,0.718,rahmaan,0.537,franstan,0.608,kansojen,0.686
97,tansa,0.715,maakunnan,0.537,itämallassa,0.607,aasiassa,0.686
98,tehdään,0.714,suku,0.536,rumanian,0.607,maanosamme,0.685
99,mainitut,0.713,ulko,0.536,kristittyjen,0.607,turkin,0.685
