,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
29,luokse,0.632,hallitus,0.552,prinsessa,0.689,kruununperillinen,0.766
30,talonpojan,0.626,poikansa,0.552,alfonso,0.689,alfonso,0.764
31,ali,0.626,kaarlo,0.549,hallitsija,0.687,tcisari,0.755
32,ukko,0.623,puolan,0.549,kuninkaalle,0.686,kuninkaan,0.753
33,lapsen,0.621,pispa,0.548,juutalainen,0.685,kisan,0.747
34,manha,0.62,pasja,0.545,suitani,0.681,sulttaani,0.745
35,käwi,0.62,alamainen,0.544,suttani,0.676,mikado,0.742
36,isänsä,0.611,ruh,0.543,herttuan,0.675,patriarkka,0.74
37,äänellä,0.611,sardinian,0.538,suittani,0.674,prinsessa,0.74
38,sattui,0.606,pietari,0.536,sotapäällikkö,0.673,ruhtiuas,0.739
39,lääkäri,0.599,päällikkö,0.536,hallitsia,0.672,ruhlinas,0.739
40,huoneeseen,0.596,päällysmies,0.535,gas,0.671,vismarck,0.739
41,rukoili,0.596,persian,0.532,prinssin,0.662,tuningatar,0.738
42,wei,0.588,franskan,0.526,thiers,0.657,humberto,0.736
43,köyhä,0.587,piispa,0.521,sotaministeri,0.655,pcrintöruhtinas,0.736
44,tykö,0.585,neapelin,0.515,ningas,0.654,tsaari,0.736
45,otti,0.585,preussi,0.511,herttualle,0.652,sultaani,0.734
46,kuninkas,0.582,armeijan,0.51,kardinali,0.651,stanislaus,0.731
47,tuo,0.578,tanskan,0.509,edinburgin,0.646,shaahi,0.73
48,tunsi,0.576,sotamies,0.508,napo,0.645,sigismund,0.729
49,keisarin,0.572,frans,0.507,istuimelle,0.637,napoleon,0.727
50,kysyi,0.569,napoleonin,0.503,pius,0.635,luningatar,0.726
51,muutamana,0.565,mainio,0.502,tisza,0.634,kuningaspari,0.726
52,asui,0.561,kreiwi,0.501,favre,0.633,suttani,0.726
53,kon,0.561,kreimi,0.5,kuninkas,0.632,luningis,0.725
54,maimo,0.557,paroni,0.499,gambetta,0.631,bismarct,0.723
55,pani,0.555,paawin,0.499,kuninkaalla,0.631,perinlöruhtinas,0.723
56,jätti,0.554,konstantin,0.497,hallitsijaksi,0.629,bernadotte,0.723
57,näki,0.552,wienissä,0.495,spanian,0.629,battenberg,0.72
58,häneltä,0.55,hän,0.495,presidentti,0.628,nuhtinas,0.72
59,oppinut,0.55,john,0.491,kuningattaren,0.627,leifari,0.719
60,tykönsä,0.549,tyttären,0.488,munkki,0.625,sotamarski,0.718
61,tuomarin,0.546,puoliso,0.488,murad,0.621,schahi,0.718
62,meni,0.542,isänsä,0.487,liittokunta,0.62,kardinaali,0.715
63,majesteetinsä,0.541,turkin,0.486,päämies,0.62,aismarck,0.712
64,wie,0.541,norjan,0.485,tinas,0.618,ruhtinatar,0.712
65,makasi,0.539,englanti,0.482,hayes,0.617,balduin,0.711
66,hälle,0.529,sotawäki,0.482,soturi,0.616,kuningaskin,0.71
67,ajoi,0.525,lontoossa,0.482,leo,0.614,bismark,0.71
68,kaarlo,0.525,upseeri,0.481,lord,0.614,suurruhtinas,0.71
69,frankriikin,0.523,viktor,0.48,ruhtinatar,0.614,stambulom,0.71
70,miehen,0.522,raali,0.48,ministeri,0.614,nassaun,0.709
71,toi,0.522,lian,0.478,ruh,0.613,perintöruhtinas,0.708
72,miehensä,0.521,julisti,0.478,klaus,0.612,muhamed,0.708
73,palasi,0.521,sotajoukko,0.478,hispanian,0.612,marski,0.708
74,käski,0.52,itämallan,0.477,kreimi,0.611,humbert,0.708
75,iltana,0.519,itäwallan,0.476,louis,0.61,keisarina,0.708
76,han,0.517,bän,0.476,lordi,0.609,paalvi,0.706
77,wiimmen,0.516,sota,0.475,italian,0.609,leskikuningatar,0.704
78,tapaus,0.514,kiinan,0.473,kuningasta,0.608,keisan,0.703
79,muutaman,0.512,isa,0.473,kaarlon,0.607,keiiari,0.702
80,isä,0.511,sotajoukon,0.472,pispa,0.606,kardinali,0.702
81,huusi,0.511,itämältä,0.47,ruhtinaan,0.605,sultani,0.701
82,näytti,0.51,poika,0.469,lud,0.605,isabella,0.701
83,kätensä,0.509,ranskan,0.468,thicrs,0.604,khediwi,0.701
84,mielellä,0.506,walta,0.468,lähettiläänä,0.603,suuriherttua,0.701
85,herra,0.506,danskan,0.467,orleans'in,0.6,moltke,0.7
86,alkoi,0.503,öwersti,0.467,prim,0.599,bonaparte,0.7
87,pantiin,0.503,jaako,0.466,krciwi,0.599,knningatar,0.7
88,wai,0.5,kuultuansa,0.466,lincoln,0.598,kruununprinsessa,0.7
89,hänen,0.496,hall,0.465,napoleonin,0.597,keisariksi,0.7
90,hänelle,0.496,wallan,0.464,herttuatar,0.597,herttuan,0.697
91,ensimmäinen,0.495,weli,0.464,kreiwi,0.597,bazaine,0.697
92,seisoi,0.495,eukko,0.464,keisarinna,0.596,nismarck,0.696
93,tuli,0.495,parisissa,0.464,kuninkaalta,0.596,suliani,0.695
94,luuli,0.494,liitto,0.463,bismarck,0.593,hallitsijatar,0.695
95,juoksi,0.493,wenäjä,0.462,roomissa,0.592,luninkaan,0.694
96,anto,0.489,waltakunnan,0.462,tasawalta,0.59,kuninkaalle,0.693
97,poikki,0.488,sar,0.46,philip,0.59,lähettiläs,0.692
98,kotiinsa,0.488,josef,0.457,bismarek,0.589,markiisi,0.692
99,löysi,0.486,laiwasto,0.456,marsalkki,0.588,valtiokansleri,0.692
