,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
30,harmoin,0.651,ajan,0.434,mutka,0.5,lepoaika,0.566
31,olla,0.65,malista,0.433,wnosi,0.498,miikko,0.565
32,warsin,0.65,jopa,0.433,pula,0.497,talivi,0.565
33,mahtaa,0.648,ohitse,0.432,temppu,0.494,aitakin,0.565
34,tarkasti,0.648,vuosi,0.432,wiitko,0.492,lvuosi,0.564
35,oikeus,0.645,kulunut,0.431,askel,0.491,syksy,0.564
36,mä,0.644,työ,0.43,meillekin,0.489,vuosi,0.564
37,hymästi,0.634,ihana,0.43,lopulle,0.487,muofi,0.563
38,saat,0.633,nälkä,0.429,meilläkin,0.486,viikkokausi,0.562
39,pää,0.632,knitenkin,0.428,lukukausi,0.485,wäliaika,0.562
40,mene,0.631,kamvan,0.424,wiilko,0.485,muusi,0.561
41,kaikkein,0.631,kewät,0.424,taas,0.48,aifa,0.559
42,hymin,0.63,taas,0.421,myöhä,0.479,mnosi,0.556
43,hy,0.63,matka,0.42,kcmät,0.479,miitko,0.554
44,marsin,0.629,meilläkin,0.418,kulloin,0.478,murrosaika,0.554
45,jumala,0.628,pitempi,0.416,tunti,0.477,lähenemistään,0.554
46,toinen,0.628,miltei,0.415,asia,0.477,kesäaika,0.553
47,onni,0.627,tuosta,0.413,wiitto,0.477,lvuofi,0.552
48,pieni,0.626,leipä,0.413,wuost,0.476,aika-,0.549
49,tie,0.624,mieli,0.412,aamu,0.476,umosi,0.548
50,tiesi,0.622,alku,0.411,silmänräpäys,0.475,talmi,0.547
51,tapa,0.619,sepä,0.41,taimi,0.475,aik,0.544
52,minulla,0.619,lähtö,0.41,myöhäinen,0.473,muasi,0.541
53,täytyy,0.618,kallis,0.408,käsissä,0.472,sytsy,0.541
54,sanoa,0.617,paha,0.408,viikko,0.469,muorokausi,0.539
55,maailman,0.616,muoto,0.407,sillon,0.468,tvuosi,0.538
56,tulisi,0.614,ajatus,0.406,kiiru,0.465,miitto,0.538
57,oppinut,0.61,pahempi,0.404,rekikeli,0.465,nmofi,0.538
58,missä,0.608,aikaa,0.403,meillä,0.464,iltapäimä,0.536
59,joku,0.608,ainakin,0.403,waiwa,0.463,joululoma,0.535
60,hywin,0.607,mun,0.402,polmi,0.459,kuukausi,0.532
61,mitenkä,0.607,ajat,0.4,sitte,0.458,miitlo,0.531
62,tämä,0.605,kului,0.4,wuoro,0.456,unikko,0.531
63,käynyt,0.605,kuulua,0.399,ivasta,0.454,muodenaika,0.531
64,kaikista,0.605,wahwa,0.399,muoro,0.454,taltvi,0.529
65,käy,0.605,armas,0.398,kausi,0.452,muost,0.528
66,se,0.604,meiltä,0.398,hämärä,0.452,taas,0.524
67,pian,0.604,alkanut,0.397,wuosia,0.451,wnosi,0.523
68,näillä,0.602,minusta,0.397,eteenpäin,0.451,pianpa,0.523
69,kantaa,0.601,köyhyys,0.397,edessämme,0.45,kcmät,0.522
70,wiela,0.6,nuorena,0.396,paikka,0.449,wuosisata,0.52
71,näyttää,0.598,herännyt,0.395,toime,0.446,wiitko,0.52
72,eikö,0.598,aurinko,0.395,tuuma,0.445,elinaika,0.519
73,ainoa,0.597,ikä,0.395,fitte,0.444,miimytys,0.519
74,muutoin,0.596,miesi,0.395,määräaika,0.444,tallvi,0.517
75,waikka,0.596,nyt,0.394,päimät,0.443,sadeaika,0.516
76,sentähen,0.596,senkaltainen,0.394,merkki,0.443,nuosi,0.515
77,tar,0.594,merkki,0.393,rahapula,0.442,vuosisata,0.514
78,tosin,0.59,sun,0.393,ehkä,0.44,miiklo,0.513
79,paljoa,0.589,tämmöinen,0.393,kemät,0.44,keskitie,0.512
80,wai,0.589,kemät,0.393,odotettu,0.439,miilko,0.511
81,tapahtunut,0.588,esteenä,0.393,aitoja,0.439,takatalmi,0.511
82,teijän,0.588,se,0.392,myöhäistä,0.437,llika,0.51
83,ota,0.587,suloinen,0.392,syksyä,0.437,päiivä,0.51
84,keino,0.587,kestänyt,0.39,sitten,0.436,kiire,0.508
85,mulle,0.581,kirkas,0.389,loppumaisillaan,0.436,ai'a,0.508
86,sano,0.579,monasti,0.388,odottaminen,0.434,kesäkin,0.507
87,tamalla,0.574,toimo,0.388,ilta,0.434,aikaa,0.507
88,ih,0.574,sitten,0.386,saua,0.434,aikc,0.507
89,moi,0.574,ompi,0.386,ahdinko,0.433,wuost,0.507
90,työtä,0.572,taasen,0.386,yö,0.433,tiiru,0.507
91,sillon,0.57,sit,0.386,aikainen,0.433,yö,0.506
92,kulta,0.569,lauman,0.385,hätä,0.432,muosisata,0.505
93,nain,0.569,tys,0.384,täälläkin,0.432,hetli,0.503
94,lapsi,0.569,niinkin,0.384,suoja,0.431,ijankaikkisuus,0.503
95,kuitenki,0.567,kurja,0.384,hauskasti,0.43,koettelemus,0.503
96,kauwan,0.566,kesä,0.384,lentiesi,0.43,wuofi,0.501
97,tiellä,0.566,kylmä,0.383,puutos,0.43,laskiainen,0.501
98,luonnon,0.565,kumminkin,0.381,hankaluus,0.43,miikkoja,0.501
99,meillä,0.565,pysynyt,0.381,konsti,0.429,miilto,0.5
