,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
34,mahtaa,0.667,tuomari,0.471,vapaus,0.588,mclmollisuus,0.644
35,nähty,0.665,jokaisella,0.47,täytymys,0.581,äänimalta,0.644
36,hywää,0.664,muistutetaan,0.469,mahdollisuus,0.567,lcus,0.642
37,harmoin,0.664,johtokunta,0.468,tilaisuus,0.564,teus,0.641
38,työn,0.661,huutokaupassa,0.466,welwollisuudesta,0.562,tuomioistuin,0.638
39,oppinut,0.658,johtokunnalle,0.465,sallittaisiin,0.562,lnpa,0.636
40,komin,0.646,säätää,0.464,pidätetty,0.561,alioikeus,0.635
41,aika,0.645,asianomaisen,0.462,oikeudeu,0.556,-oikeus,0.625
42,oikein,0.642,kruunu,0.462,osallisuus,0.554,pakko,0.622
43,antanut,0.641,tarkoituksena,0.461,asianomaisen,0.551,melwollisuus,0.619
44,täytyy,0.641,asianomaisten,0.458,patko,0.549,oikeudesta,0.619
45,kantaa,0.637,pidettämä,0.458,wapaus,0.548,oikeudeu,0.619
46,työtä,0.636,aikomus,0.457,waiwaishoito,0.548,puhemalta,0.617
47,sanoa,0.636,osallinen,0.456,vaatimus,0.544,velmollisuus,0.617
48,kaikkein,0.635,armollisesti,0.455,säädyillä,0.54,oikeudelta,0.612
49,tehä,0.633,esimiehenä,0.454,oikeudelta,0.536,oikenden,0.612
50,meillä,0.633,esimalta,0.453,omistusoikeus,0.535,welmollisuus,0.609
51,auttaa,0.633,päätetty,0.452,määräys,0.532,äänestysoikeus,0.603
52,hymin,0.631,määrätä,0.448,omistajalla,0.532,puhewalta,0.601
53,joku,0.63,wapaus,0.447,lautakunta,0.531,oikeudella,0.597
54,tietää,0.629,käsketty,0.447,oikeuttaan,0.531,velwollisuus,0.593
55,muun,0.627,ruotu,0.447,myönnytys,0.53,oikutta,0.591
56,pahan,0.624,perintö,0.446,leus,0.529,mellvollisuus,0.589
57,saat,0.623,kirjallisesti,0.444,lautakunnalle,0.529,laki,0.588
58,siinä,0.622,päättänyt,0.444,jokaisella,0.524,melmolllsuus,0.586
59,jokainen,0.621,hallitus,0.44,oiteutta,0.523,sallittu,0.584
60,syystä,0.619,armollinen,0.438,welwollisuutena,0.522,patko,0.584
61,paremmin,0.617,howi,0.438,aikomuksena,0.521,feus,0.584
62,ainoastansa,0.616,malita,0.435,suostumus,0.521,oileudeu,0.584
63,minulle,0.616,tilaisuus,0.435,sääntö,0.52,täytymys,0.581
64,meijän,0.615,armossa,0.431,laittomasti,0.517,ääniwalta,0.581
65,löytänyt,0.611,kielletty,0.431,ääntö,0.516,welwollisuns,0.581
66,olla,0.61,tapauksessa,0.431,kullaki,0.516,wapaus,0.58
67,hywin,0.61,ase,0.43,hakemus,0.515,yksinoikeus,0.579
68,mikä,0.61,sallinut,0.427,päätös,0.51,wclwollisuus,0.578
69,uskoa,0.609,tehtämä,0.426,wastaaja,0.508,welwollisuudesta,0.578
70,se,0.607,tarkoitus,0.426,kiinnitys,0.508,oikeudm,0.577
71,nut,0.605,tila,0.425,oikeudesta,0.507,asianomistajan,0.575
72,muotoa,0.605,oikeudessa,0.425,oileutta,0.506,pakto,0.572
73,olkoon,0.604,omis,0.425,oikenden,0.505,valta,0.571
74,saata,0.602,toimituskunta,0.424,noudatettama,0.505,päätöswalta,0.57
75,pitänyt,0.602,melmollisuus,0.424,oikeutettu,0.504,oikcuden,0.569
76,kyllä,0.602,hallitukselle,0.424,lali,0.504,patto,0.568
77,jotakin,0.6,sää,0.424,ulosotto,0.503,tcus,0.565
78,saattaa,0.6,otetun,0.423,lakina,0.501,oiteuden,0.565
79,tamalla,0.6,rätty,0.421,jäsenellä,0.498,täytyminen,0.561
80,isän,0.6,oikeuteen,0.421,oikeudessa,0.495,maatimus,0.561
81,marsin,0.6,sihteerin,0.421,täytyminen,0.494,oikendcn,0.56
82,hy,0.597,katsonut,0.421,melmollisuudesta,0.493,mioistuin,0.56
83,keino,0.595,laillista,0.42,melmol,0.491,tuomio-istuin,0.559
84,tämä,0.594,mainitulle,0.419,oikentta,0.489,oiteutta,0.559
85,luonnon,0.591,täyt,0.419,säädetty,0.489,welwolllsuus,0.557
86,tietä,0.591,luman,0.419,tahdottu,0.486,määräys,0.556
87,syytä,0.59,asetuksessa,0.417,laillinen,0.485,lvalta,0.555
88,kuka,0.589,esityksestä,0.417,anomus,0.484,oilcuden,0.555
89,usein,0.588,maksu,0.415,toimena,0.483,oikeudekseen,0.555
90,tehty,0.587,oma,0.414,tarmis,0.479,vapaus,0.554
91,ilo,0.586,suotu,0.414,tarkoituksena,0.479,levs,0.553
92,warsin,0.585,ilmoittanut,0.412,lainmukaisesti,0.479,oileutta,0.553
93,edessä,0.584,pyynnöstä,0.411,johtokunnalla,0.478,äänestys-oikeus,0.552
94,pidä,0.584,asetuksissa,0.411,welkapää,0.476,oikeutensa,0.552
95,rehellinen,0.584,päätöksiä,0.411,tanvis,0.476,palko,0.551
96,edes,0.584,laina,0.407,oikeudet,0.476,miranomainen,0.549
97,hywän,0.583,toimituksessa,0.407,lailliseksi,0.475,maltatirja,0.547
98,mainittu,0.582,erityinen,0.407,rikosasioissa,0.474,aikomns,0.546
99,sinulle,0.578,valta,0.407,hallituksella,0.474,haasto,0.545
