,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
53,armossa,0.502,ranskan,0.509,tuningas,0.593,perintöruhtiuas,0.725
54,sai,0.501,nenäen,0.509,kreiwi,0.593,leisaii,0.725
55,määrännyt,0.498,sardinian,0.508,ruhtinaan,0.591,lnningas,0.723
56,muutamana,0.498,kuningasta,0.506,treimi,0.588,nuhtinas,0.72
57,lapsen,0.493,liitto,0.504,pääministeri,0.587,kuningatar,0.719
58,piti,0.491,preussin,0.503,majes,0.586,arkkiherttua,0.718
59,samana,0.491,sotamäki,0.501,prinsi,0.586,metropolita,0.717
60,kerran,0.487,arm,0.498,prinsessa,0.586,kasari,0.717
61,pappi,0.487,wenäjä,0.497,puolisollensa,0.583,keisarikin,0.716
62,käski,0.486,kiinan,0.496,ylhäisyytensä,0.581,sulttaani,0.714
63,rukoili,0.484,preussi,0.495,ministeri,0.58,perinlöruhtinaan,0.713
64,perästä,0.483,raali,0.493,kenraa,0.577,shahi,0.712
65,näki,0.482,itämältä,0.491,ruhtinaalle,0.571,priussi,0.711
66,pietari,0.482,englannin,0.491,edinburgin,0.571,ruht,0.711
67,pojan,0.479,kk,0.49,majesteetinsä,0.57,perintörnhtinas,0.71
68,palasi,0.478,neapelin,0.49,majesteetinsa,0.569,leisarinna,0.708
69,löysi,0.477,gas,0.489,ruhtinatar,0.569,metropoliitta,0.708
70,keen,0.476,hh,0.489,keisa,0.566,keisarille,0.708
71,sattui,0.475,franskan,0.488,majestcetinsa,0.566,paawi,0.707
72,tapaus,0.474,wcnäjän,0.485,paawi,0.566,herttua,0.706
73,lääkäri,0.472,sota,0.483,krciwi,0.564,mikado,0.705
74,kuoli,0.471,armollisesti,0.481,kenraaliku,0.563,pcrintöruhtinaan,0.705
75,istui,0.47,valtakunnan,0.481,kcnrali,0.563,kuuiugas,0.704
76,pe,0.468,parisissa,0.481,treiwi,0.562,kunirgas,0.703
77,pääsi,0.467,käsky,0.48,kardinaali,0.561,maltaistuimelle,0.702
78,tapahtui,0.467,venäjän,0.479,suuriruhtinaamme,0.559,vismarck,0.701
79,ulos,0.465,majestetinsä,0.478,ministerinsä,0.558,keisariu,0.701
80,eteen,0.463,turkin,0.478,santeri,0.557,suliani,0.7
81,makasi,0.462,aleksanderin,0.476,keuraali,0.555,nikolajewitsh,0.699
82,tunsi,0.462,käskyn,0.475,ruhti,0.555,tinaamme,0.694
83,muutaman,0.461,rauha,0.474,keisariksi,0.553,suitani,0.693
84,ittensä,0.461,korkeus,0.473,majest,0.553,keisaripari,0.692
85,illalla,0.461,sotawäki,0.472,kenrali,0.552,hallitsijapari,0.691
86,huoneeseen,0.46,sotajoukko,0.471,kuninkaalle,0.551,mitsh,0.69
87,seurasi,0.459,kejs,0.468,keisar,0.55,mihailo,0.69
88,antoi,0.458,asiamies,0.466,aleksanteri,0.55,waltaistuimelle,0.69
89,kylän,0.457,sotaan,0.466,prinssin,0.549,aismarck,0.688
90,tultuansa,0.456,italia,0.465,isoruhtinas,0.549,keisarinnan,0.687
91,matkaa,0.454,puolisonsa,0.463,kuuiugas,0.548,aleksandro,0.687
92,tulleen,0.451,englanti,0.463,hallitsija,0.548,perintöprinssi,0.685
93,kuuli,0.449,kcis,0.462,herttuatar,0.548,ruhtinaan,0.684
94,sinne,0.448,julistanut,0.46,garibaldi,0.546,patriarkka,0.684
95,yhen,0.447,käsketty,0.46,napo,0.546,leisar,0.682
96,sa,0.444,pariisissa,0.458,suuriruhtinaan,0.545,mitshin,0.682
97,kirkon,0.443,kapina,0.456,suuriruhtinaat,0.544,waltiolansleri,0.68
98,löi,0.442,liiton,0.455,majestectinsa,0.544,aleksandromitsch,0.68
99,täytyi,0.441,öwersti,0.453,herttuan,0.544,suttani,0.678
