,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
51,turkin,0.572,nel,0.328,joulko,0.447,väestöstä,0.53
52,niillä,0.571,mahinko,0.328,jäännös,0.443,joutlo,0.528
53,näistä,0.57,osaan,0.324,paikkakunta,0.44,joukku,0.528
54,uusi,0.569,sadasta,0.323,kyla,0.44,maikeus,0.527
55,eli,0.569,jywä,0.323,mihto,0.439,juukko,0.527
56,näinä,0.567,kirjasto,0.322,kyläkunta,0.437,osasla,0.526
57,elikkä,0.566,arkkia,0.32,poikkeus,0.432,kaistale,0.524
58,kaluja,0.565,kahdeksas,0.319,alaltaan,0.432,-osa,0.524
59,summa,0.563,naista,0.318,mahinko,0.431,ihmislauma,0.524
60,osittain,0.563,määrä,0.318,rahamäärä,0.429,joullo,0.522
61,melkein,0.562,manttalia,0.315,vihko,0.429,maa-alue,0.519
62,pohjan,0.561,kustakin,0.314,osan,0.429,tulolähde,0.515
63,100,0.561,yhteinen,0.314,voitto,0.428,kahdeksasosa,0.515
64,huoneita,0.558,osat,0.312,luku,0.428,maiteus,0.514
65,mesi,0.555,osasta,0.312,osalla,0.428,maakappale,0.513
66,kyynärää,0.553,mäki,0.311,makasiini,0.428,lainamäärä,0.513
67,yhteensä,0.553,paljous,0.311,rahasumma,0.427,mäestöstä,0.513
68,paikassa,0.551,luku,0.309,wihko,0.427,waileus,0.51
69,euroopan,0.55,pahin,0.309,lisäys,0.427,wäestöstä,0.51
70,joissa,0.55,kymmenes,0.308,pojista,0.426,määrii,0.509
71,auringon,0.55,jako,0.307,mäestö,0.425,jäsenmäärä,0.508
72,huoneet,0.549,jouk,0.306,moitto,0.425,ioullo,0.508
73,kultaa,0.547,kahdesta,0.305,manttaalista,0.421,paljous,0.508
74,syltä,0.547,mähempi,0.305,wihto,0.42,hyöty,0.507
75,pannaan,0.543,'/^,0.304,huoneus,0.42,hankaluus,0.505
76,sama,0.542,lai,0.304,pytinki,0.42,osan,0.504
77,suomalaisia,0.541,wähäinen,0.303,marasto,0.419,vsa,0.503
78,samaten,0.541,vksi,0.303,manttalia,0.417,kirjakokoelma,0.502
79,kaupunkia,0.54,saari,0.302,vero,0.417,jonlto,0.502
80,puoli,0.54,jalka,0.301,miljona,0.417,osaan,0.502
81,maata,0.538,rakennus,0.3,maksoluokka,0.416,wäcstö,0.501
82,paitsi,0.538,nänsä,0.299,mäestä,0.414,asujamisto,0.501
83,otetaan,0.536,kangas,0.296,osia,0.414,joullu,0.499
84,kielellä,0.536,osiin,0.296,mökki,0.413,paljons,0.499
85,asuu,0.533,riihi,0.295,wäestö,0.413,alue,0.499
86,lapsia,0.533,karja,0.294,autioksi,0.411,maa-alasta,0.499
87,kyynärän,0.531,laiwa,0.292,puute,0.41,maraslo,0.499
88,pankko,0.53,luostarin,0.292,kokoelma,0.408,metsäpalsta,0.498
89,pitkä,0.529,'/,0.291,summasta,0.408,puoli,0.498
90,maltakunnan,0.528,aitta,0.291,lauma,0.408,hyöiy,0.498
91,myöskin,0.527,kaupunki,0.29,ryhmä,0.407,maasto,0.498
92,jalkaa,0.527,pieni,0.29,wero,0.406,sisäänmaksu,0.495
93,pai,0.525,seurakunta,0.29,osassa,0.406,haitta,0.495
94,monta,0.525,jälellä,0.29,lnku,0.406,vahinlo,0.495
95,alaa,0.524,wäestö,0.29,väestö,0.405,emätila,0.495
96,otettu,0.523,osassa,0.29,häwiö,0.405,vaikeus,0.494
97,sia,0.523,osia,0.289,etu,0.405,juullo,0.493
98,alussa,0.522,useampi,0.288,muost,0.404,osau,0.492
99,aikaan,0.519,kansasta,0.287,torppa,0.404,asuinhuonerakennus,0.492
