,agitatsiooni,aiheuttaa,aika,aikainen,aikaisempi,aikakausi,aikaväli,ajanjakso,ajankohta,akatemia,ala,alamainen,alku,alue,alueellinen,arkisto,arkistoida,artikkeli,artikla,asema,assosioida,asukas,avustaa,demokratia,edistynyt,eduskunta,eheys,entinen,eri,erilainen,erkaantua,erottaa,esittää,etu,euroopan,eurooppa,eurooppalainen,hallinnallinen,hallintojärjestelmä,hallitus,hallitusaika,hallitusmuoto,herttua,hetki,historia,historiallinen,historian-,historiankirjoittaja,historiankirjoitus,historioitsija,hyöty,idea,ihminen,ihmis-,inhimillinen,intellektuelli,intressi,irrottaa,irtautua,isänmaa,itsellisyys,itsemääräys,jakaa,jakautua,johtaja,julkaista,julkinen,jäsen,kannattaa,kansa,kansalainen,kansallinen,karjalainen,kartta,kausi,kehittynyt,keisari,kenraali,keski-,keskiaika,keskitetty,keskus-,keskustella,kieli,kiisttanalainen,kirjoitus,kolkka,komento,konsepti,korkeatasoinen,kotimaan,kotimainen,koulu,kruunu,kulmakunta,kuningas,kunta,kysymys,käsitellä,käsitys,laatu,laki,lausunto,lehti,liberaali,liittää,luku,luoda,luonne,luonto,luovutettu,luovuttaa,maa-alue,maakunta,maantieteellinen,markka,mielenilmaus,mielikuva,ministeristö,mobilisaatio,moraali,muodollinen,muodostaa,muodostua,muotoutua,muuttaa,myytti,määräys,napoleon,neuvotella,oikeus,oppilaitos,osa,osallistua,paikallinen,paikallis-,painattaa,parlamentti,periaate,periodi,perustaa,pietari,puhe,puolustaa,pykälä,päätös,raha,rahoittaa,raja-,rajaseutu,ratkaisu,res publica,retoriikka,riidanalainen,riitainen,riski,ruotsalainen,ruotsi,sanomalehti,senaatti,seutu,sisä-,sisäinen,skandinavia,sopimus,status,suojella,suomi,synnyttää,syntyä,sääntö,sääty,talous,tarkastella,tarkoitushakuinen,tasa-arvo,tiede,traktaatti,tsaari,tukea,tuottaa,uhka,uskomus,vaara,vaihe,vaihtaa,vallanpitäjä,valtiomuoto,valtionjohto,valtiopäivät,valtiosääty,valuutta,vanha,varhainen,varhais,vastalause,venäjä,vertailu,virallinen,virkamies,vuosisata,yhdistyä,yhdistää,yhteistoiminta,yhteistyö,yhteys,yksimielisyys,yleinen,yleis-,yliopisto,dynastinen,edustajisto,edustus,hallinto,hallitsija,herttuakunta,itsenäinen,järjestelmä,kansakunta,kansanedustus,keisarikunta,keisarilinen,koskemattomuus,kulttuuri,kuningaskunta,kuninkaallinen,loukkaamattomuus,lääni,mahti,monarkki,nyky,oikeudet,osavaltio,perustuslaki,pohjoismainen,politiikka,provinssi,raja,rauha,ruhtinaskunta,sivistys,sosiaalinen,sota,suomalainen,suuriruhtinaskunta,suurvalta,suvereeni,suvereenius,toimivalta,vaihtoehto,valta,valtakunta,valtias,valtio,valtiosääntö,valtioviisaus,venäläinen,voima,yhteiskunnallinen,yhteiskunta,yhteisö,älykkö,älyllinen,year
1845,0,0,309,4,0,0,0,0,0,1,16,12,69,1,0,0,0,0,0,3,0,18,0,0,0,0,0,50,23,10,0,6,0,32,0,0,0,0,0,25,0,0,17,17,51,1,0,0,0,0,24,0,231,0,0,0,6,1,0,5,0,0,33,0,0,0,7,14,4,165,0,3,6,9,4,0,24,3,0,0,0,0,5,101,0,9,0,0,0,0,0,3,80,35,0,70,6,10,3,0,19,45,0,76,0,0,33,37,0,52,0,0,0,25,0,5,0,0,0,0,0,0,0,1,0,31,0,0,0,0,40,0,116,0,0,0,0,0,0,0,10,0,38,0,3,20,124,0,0,0,0,0,0,0,0,0,41,17,9,1,13,0,0,0,0,0,5,19,10,17,2,28,2,0,0,0,1,0,0,8,18,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,13,0,0,17,0,15,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,3,0,32,6,0,1,0,0,0,0,0,0,21,45,0,0,0,72,128,0,0,0,0,0,0,1,2,0,0,0,0,4,5,0,0,0,0,0,1845
1846,0,0,443,3,0,0,0,0,0,4,18,4,118,1,0,0,0,0,0,5,0,49,0,0,0,0,0,68,37,3,0,8,0,63,0,0,0,0,0,62,0,0,5,28,34,1,0,0,0,0,29,0,212,0,0,0,1,0,1,7,0,0,57,1,0,0,13,24,15,189,1,17,4,16,4,0,72,2,0,0,0,0,10,319,0,19,1,1,0,0,0,4,84,45,0,131,14,16,1,1,39,57,1,100,0,12,48,50,1,121,0,1,0,54,0,6,0,0,0,0,0,0,0,0,0,49,0,0,0,3,57,0,154,0,0,0,5,0,0,0,12,0,197,4,1,21,185,0,0,0,0,0,0,0,0,0,33,9,6,3,22,0,0,0,0,0,9,119,26,63,3,8,2,0,0,0,9,0,1,10,41,0,6,5,1,3,0,0,0,0,0,0,77,0,0,0,2,0,0,4,0,9,11,0,0,27,2,13,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,7,0,49,3,0,1,0,0,0,0,0,0,29,41,0,0,0,89,400,0,0,0,0,0,0,14,11,0,1,0,0,6,23,0,0,0,0,1,1846
1847,0,0,912,17,0,3,0,0,0,5,54,13,196,2,0,0,0,0,0,11,0,76,0,0,0,0,0,172,94,19,0,24,0,79,0,0,1,0,0,80,0,1,3,72,88,18,0,0,0,1,65,0,397,0,1,0,4,1,1,65,0,0,98,3,0,1,41,77,27,544,10,44,36,20,10,0,77,6,0,0,0,0,17,1027,0,127,4,1,0,0,0,15,396,53,0,93,34,56,1,3,48,155,1,175,0,22,103,126,6,208,0,0,0,45,0,3,0,0,0,0,1,0,5,1,0,95,1,3,0,1,98,1,413,0,1,0,4,0,0,0,62,0,272,11,9,34,275,0,0,0,0,0,0,0,4,2,93,77,80,12,51,0,2,0,0,0,11,135,62,202,32,39,3,0,0,0,13,0,52,71,69,0,5,16,9,5,0,0,0,0,0,0,159,0,0,0,20,0,2,2,5,13,19,0,0,31,1,65,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,0,1,18,0,125,14,0,3,0,0,0,0,0,0,62,65,0,2,0,80,718,0,0,0,0,0,0,31,26,4,0,0,0,30,39,0,0,1,0,4,1847
1848,0,0,735,18,0,4,0,0,0,1,40,19,202,9,0,0,0,1,1,10,0,105,0,0,0,0,0,180,94,11,0,8,1,97,0,0,5,0,0,327,0,14,9,36,118,16,0,0,0,1,78,0,424,0,1,0,3,0,2,85,2,0,175,6,0,0,61,139,40,854,9,136,5,14,11,0,125,58,0,3,0,0,24,1134,0,146,5,3,0,0,0,3,314,55,0,292,96,80,2,6,42,145,2,182,0,32,96,87,4,184,0,3,0,88,0,1,0,0,29,0,0,0,2,1,0,126,0,8,0,0,111,2,431,0,1,0,4,24,0,1,66,0,183,8,42,44,224,1,0,0,0,0,0,1,2,0,119,50,73,28,42,0,2,0,0,0,24,73,65,172,41,88,10,0,0,0,19,0,1,40,54,1,15,12,8,3,0,0,0,0,0,0,95,1,0,0,16,0,4,24,2,17,36,0,0,55,4,70,0,25,0,0,0,1,4,2,8,0,53,0,7,0,0,0,3,16,0,100,8,6,5,0,0,10,0,0,0,57,122,0,6,0,221,410,0,0,0,0,0,0,43,97,7,5,0,0,18,43,0,1,2,0,0,1848
1849,0,0,749,11,0,0,0,0,0,0,70,22,188,4,0,0,0,3,1,10,0,149,0,0,0,0,0,183,96,10,0,5,1,138,0,0,5,0,0,294,0,5,13,21,120,7,0,0,0,0,90,0,453,0,1,0,2,0,1,56,0,0,244,7,1,0,42,173,32,557,7,41,16,22,21,0,99,59,0,0,0,0,14,647,0,149,6,3,0,0,0,17,318,36,0,152,103,121,3,4,66,141,0,124,0,37,77,105,1,212,0,0,0,116,1,4,0,0,17,0,0,0,0,1,0,103,1,17,0,0,62,0,493,0,1,0,8,6,0,1,56,0,123,8,12,63,219,0,0,0,0,0,0,0,3,1,74,26,89,25,56,0,0,0,0,1,46,36,34,109,31,55,13,0,0,0,20,0,0,135,77,1,6,10,4,7,0,0,0,0,0,0,89,0,0,0,2,0,3,12,3,27,48,0,0,61,1,67,0,40,0,0,0,1,2,6,4,0,45,0,4,0,0,0,3,9,0,186,10,7,5,0,0,2,0,0,0,70,71,0,3,0,181,261,0,0,0,0,0,0,28,37,4,1,0,0,19,88,0,0,2,0,0,1849
1850,0,0,657,17,0,1,0,0,0,2,80,11,155,1,0,0,0,0,0,3,0,83,0,0,0,0,0,88,65,14,0,7,3,123,0,0,0,0,0,72,0,0,1,59,100,3,0,0,0,0,82,1,707,0,3,0,0,0,0,15,0,0,128,1,0,0,62,107,17,286,5,10,7,8,14,0,23,10,0,0,0,0,9,173,0,102,11,1,0,0,0,3,108,33,0,117,108,112,0,7,55,130,0,88,0,19,63,135,3,169,0,0,0,70,0,5,0,0,0,0,0,0,1,3,0,84,0,1,0,0,58,1,364,0,0,0,6,0,0,5,40,0,102,4,13,36,176,0,0,0,0,0,0,0,1,0,53,17,22,16,33,0,0,0,0,1,14,49,28,111,19,62,20,0,0,0,9,0,0,24,66,0,0,4,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,16,35,0,0,23,0,30,0,6,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,5,0,189,8,6,2,0,0,0,0,0,0,20,217,0,0,0,60,190,0,0,0,0,0,0,4,19,0,0,0,0,5,15,0,0,0,0,0,1850
1851,0,0,1094,18,0,8,0,0,0,11,88,25,265,16,0,0,0,0,2,8,0,92,0,0,0,0,0,152,87,15,0,12,3,70,0,0,2,0,0,57,0,0,4,172,91,9,0,0,0,0,197,0,891,0,1,0,7,0,0,43,0,0,217,0,0,3,59,143,30,500,2,11,23,26,52,0,62,24,0,3,0,0,16,482,0,291,4,2,0,0,0,10,178,38,1,84,96,104,1,12,91,330,0,159,0,36,114,110,3,244,0,0,0,74,1,7,0,0,0,0,0,0,2,3,0,149,0,7,0,0,130,4,565,0,0,0,23,0,0,1,80,0,247,26,6,48,342,0,0,1,0,0,0,1,7,4,111,58,164,52,67,0,0,0,0,0,20,116,38,152,32,60,18,1,0,0,19,0,5,37,101,3,0,2,0,0,0,0,0,0,0,0,23,0,0,0,7,0,2,9,2,21,55,0,0,46,11,83,0,21,0,0,0,0,2,0,1,0,9,0,0,0,0,0,0,3,0,300,9,3,3,0,0,0,0,0,0,36,170,0,1,0,64,377,0,0,0,0,0,0,8,26,1,1,0,0,4,20,0,0,0,0,1,1851
1852,0,0,1527,13,0,3,0,0,0,5,86,36,264,6,0,0,0,1,1,0,0,78,0,0,0,0,0,268,137,19,0,6,1,85,0,0,3,0,0,110,0,0,11,168,84,5,0,0,0,0,192,0,1371,0,3,0,6,0,0,38,0,0,299,0,1,6,73,125,19,567,7,7,1,24,27,0,66,7,0,2,0,0,34,294,0,188,6,2,0,0,0,2,254,80,0,185,95,103,2,30,86,301,1,119,0,48,198,149,0,241,0,0,0,75,0,3,0,0,0,0,0,0,6,4,0,173,0,8,0,0,136,0,649,0,1,0,14,1,0,1,91,0,252,13,30,201,552,0,0,0,0,0,0,0,8,6,126,19,163,39,85,0,0,0,0,0,41,54,38,234,16,71,21,8,0,0,30,0,2,87,124,3,2,14,8,0,0,0,0,0,0,1,119,1,0,0,3,0,0,10,2,28,58,0,0,36,9,104,0,32,0,0,0,1,4,0,0,0,28,0,1,0,0,0,0,12,0,219,16,4,7,0,0,0,0,0,0,56,196,0,3,0,93,302,0,0,0,0,0,0,23,34,3,1,0,0,4,66,0,0,0,0,0,1852
1853,0,0,1688,23,0,4,0,0,0,9,81,23,369,7,0,0,0,2,0,1,0,140,0,0,0,0,0,342,174,25,0,5,12,101,0,0,1,0,0,85,1,2,9,166,125,15,0,0,0,2,163,0,1635,0,2,0,13,0,1,38,0,0,274,1,3,15,77,161,30,525,4,4,47,38,61,0,38,7,0,2,0,0,34,317,0,255,15,3,0,0,0,1,236,103,0,183,99,120,0,15,97,372,0,126,0,38,164,196,4,270,0,1,0,94,0,0,0,0,0,0,0,0,6,5,0,202,0,13,0,3,153,1,737,0,0,0,16,1,0,1,71,0,306,32,21,72,545,1,0,0,0,0,0,0,9,0,222,42,117,67,114,0,0,0,0,2,35,85,38,277,26,74,79,7,0,0,12,0,0,197,126,2,2,28,13,3,0,0,0,0,0,1,255,1,0,0,6,0,4,21,11,21,66,0,0,52,2,122,0,23,1,0,0,1,6,1,4,0,18,0,2,0,0,0,0,15,0,415,17,1,4,0,0,0,1,0,0,65,269,0,0,0,122,472,0,0,0,0,0,0,31,46,2,4,0,0,9,135,0,0,0,0,1,1853
1854,0,0,2078,30,0,17,0,0,0,3,71,91,443,19,0,0,0,1,0,11,0,90,0,0,0,0,0,368,176,16,0,10,3,110,0,0,2,0,0,240,0,0,10,164,164,9,0,0,0,1,144,1,1424,0,4,0,24,0,0,75,0,0,343,2,8,50,94,233,30,764,6,13,18,106,63,0,327,173,0,3,0,0,24,469,0,281,13,26,0,0,0,3,311,133,1,197,162,104,6,13,66,222,0,148,0,36,203,166,1,233,0,0,0,113,0,6,0,0,0,0,0,0,4,1,0,242,0,8,0,0,190,2,816,1,0,0,28,4,0,0,91,0,410,57,57,95,549,0,0,0,0,0,0,0,6,0,262,60,246,70,119,0,0,0,0,0,82,162,35,336,24,87,25,5,0,0,20,0,0,211,127,2,1,20,12,7,0,0,0,0,0,0,177,0,0,0,12,0,5,26,17,47,96,0,0,82,4,90,0,83,1,0,0,0,14,2,4,0,17,0,6,0,0,0,0,12,0,364,37,10,4,0,0,4,0,0,0,116,333,0,3,0,604,570,0,0,0,0,0,0,62,93,2,0,0,0,305,98,0,0,0,0,1,1854
1855,0,1,2935,60,0,7,0,0,0,9,119,116,573,14,0,1,0,0,0,15,0,104,0,0,0,0,0,562,139,19,0,2,7,199,0,0,1,0,0,317,3,0,14,289,160,19,0,0,0,1,241,0,1981,0,9,0,21,0,3,91,0,0,454,1,9,40,158,344,54,1271,15,33,36,99,119,0,629,239,0,1,0,0,51,579,0,288,3,16,0,0,0,4,433,200,3,464,182,146,5,17,118,508,0,219,0,81,256,255,3,368,0,0,0,149,0,11,0,0,0,0,0,0,3,2,0,363,0,27,0,2,347,6,866,0,0,0,20,7,0,0,110,0,502,61,27,168,740,0,0,0,0,0,0,0,10,13,211,83,290,75,106,0,1,0,0,0,64,183,100,520,70,164,48,13,0,0,23,0,2,389,215,3,0,45,20,9,0,0,0,0,0,0,313,1,0,0,29,0,0,55,31,61,133,0,0,111,4,134,0,84,0,0,1,0,25,0,10,0,32,0,22,0,0,0,2,45,0,373,32,4,5,0,0,8,0,0,0,116,584,0,9,0,847,565,0,0,0,0,0,0,70,242,3,4,0,0,276,198,0,0,2,0,1,1855
1856,0,0,2665,65,0,11,0,0,0,11,173,165,600,16,0,0,0,3,0,17,0,222,0,0,0,0,4,580,303,42,1,12,41,326,0,0,1,0,0,791,1,10,41,273,265,17,0,0,0,1,438,0,2436,0,4,0,24,0,0,183,0,0,495,5,14,58,168,494,78,1764,33,85,10,74,95,0,793,85,0,4,0,0,115,987,0,549,12,10,0,0,0,10,762,246,3,718,202,321,4,31,179,592,1,499,0,93,309,256,13,526,0,2,0,281,1,25,0,0,0,0,0,0,4,4,0,463,1,47,0,2,469,3,1126,1,5,0,53,18,0,3,217,0,598,131,40,296,691,0,0,0,0,0,0,0,20,3,219,136,525,129,165,0,9,0,0,1,105,429,100,597,111,217,74,14,0,0,52,0,0,167,192,7,0,50,28,8,0,0,0,2,0,3,255,1,0,0,20,0,5,85,24,80,224,0,0,180,14,358,0,155,0,0,1,1,69,8,13,0,71,0,31,0,0,0,15,39,0,671,28,2,9,0,0,17,0,0,0,182,827,9,12,0,986,846,0,0,0,0,0,0,129,307,5,6,0,0,106,185,0,0,1,0,0,1856
1857,0,0,5104,72,0,29,0,0,0,45,321,272,924,44,0,0,0,1,3,39,0,680,0,0,0,0,0,1034,655,78,0,70,74,527,0,0,19,0,0,1377,1,1,105,337,508,110,0,1,0,13,780,0,3192,0,4,0,28,0,7,223,0,0,852,19,40,114,1075,928,130,2876,103,202,66,105,139,0,912,75,0,8,0,0,297,1470,0,794,15,10,0,0,0,27,1631,333,5,888,319,792,9,62,378,1004,4,818,0,95,569,427,52,928,0,2,1,555,9,19,0,1,6,0,0,0,31,22,0,777,1,183,0,3,1093,57,2721,0,8,0,38,112,0,0,338,0,696,107,86,675,1747,0,0,0,0,0,0,1,16,7,474,257,817,485,420,0,6,0,0,3,164,470,157,848,215,370,193,51,0,0,86,0,2,357,395,12,1,89,34,27,0,0,0,6,0,0,504,11,0,0,81,0,14,106,56,114,260,0,0,205,25,645,0,218,0,0,0,60,71,23,49,0,163,0,22,0,2,0,17,94,0,2127,47,3,15,0,0,38,0,0,0,296,542,3,37,0,1006,1452,0,0,0,0,0,0,307,372,8,21,0,0,121,404,0,1,4,0,0,1857
1858,0,0,3972,49,0,46,0,0,0,5,300,194,800,51,0,0,0,5,21,66,0,351,0,0,0,0,0,934,556,58,1,48,49,481,0,0,0,0,0,949,1,8,35,237,416,50,0,0,0,5,622,0,2129,0,11,0,12,2,5,316,1,0,708,13,49,50,800,774,117,2177,76,173,32,145,80,0,576,93,0,1,0,0,232,1724,0,703,23,22,0,0,0,15,1445,359,4,405,443,602,11,35,300,952,1,587,0,99,469,370,38,595,0,2,1,472,1,25,0,0,23,0,0,2,23,13,0,632,0,136,0,0,876,84,1963,0,4,0,38,44,0,1,249,0,628,124,79,538,1354,0,0,0,1,0,0,1,15,5,310,265,704,454,316,0,0,0,0,0,152,635,120,743,348,318,157,66,0,0,92,0,3,230,291,11,0,54,41,9,0,0,0,0,0,1,453,14,0,0,62,0,22,103,32,93,181,0,0,228,17,736,0,241,0,0,1,51,46,10,19,0,115,0,25,0,0,0,12,49,0,1434,30,1,10,0,0,19,0,0,0,219,380,0,32,0,1038,1190,0,0,0,0,0,0,236,186,3,15,2,0,195,287,0,5,2,0,0,1858
1859,0,0,4599,78,0,78,0,0,0,21,493,301,975,85,0,0,0,0,17,71,0,429,0,0,0,1,0,1191,639,63,1,31,71,685,0,0,0,0,0,1313,1,30,128,264,744,63,0,1,0,5,691,2,2434,0,9,0,26,0,5,273,0,0,922,11,70,93,754,967,147,2842,69,221,23,194,94,0,816,130,0,11,0,0,287,1837,0,849,8,10,3,0,0,26,1846,601,2,871,477,825,10,89,333,1123,6,635,0,138,506,350,25,746,0,0,0,631,7,17,0,0,32,0,0,0,32,36,0,774,0,179,0,4,1302,72,2350,1,6,0,78,63,0,0,439,0,792,192,92,838,1828,0,0,1,0,0,0,0,20,4,500,384,765,410,284,0,3,0,0,1,97,682,128,827,379,296,119,78,0,0,183,0,2,553,383,14,3,77,46,22,0,0,0,2,1,1,546,6,0,0,81,0,41,167,47,144,224,0,0,230,30,897,0,338,0,0,0,118,116,59,60,0,73,0,51,0,1,0,24,64,0,1680,45,4,19,0,0,44,0,0,0,363,663,2,17,0,1656,1464,0,0,0,0,0,0,299,286,3,44,0,0,117,435,0,1,3,0,3,1859
1860,0,0,4835,67,0,49,0,0,0,15,487,206,882,23,0,5,0,0,3,46,0,358,0,0,0,15,0,1235,614,115,1,34,77,485,0,0,0,0,0,933,2,22,54,322,490,51,0,1,0,13,621,0,2424,0,16,0,48,0,1,218,0,0,823,7,171,102,766,929,181,2858,68,215,39,159,115,0,568,159,0,1,0,0,302,2569,0,720,30,7,0,0,0,28,2104,484,7,890,243,747,12,108,332,1016,2,780,0,120,516,275,47,611,0,0,1,588,5,545,0,0,23,0,1,2,39,27,0,732,1,180,0,4,1250,88,2280,0,2,0,108,15,0,0,496,0,743,175,95,769,1974,0,0,0,0,0,0,2,14,5,663,483,839,411,280,0,1,0,0,0,125,876,160,695,384,371,105,87,0,0,171,0,23,448,361,10,0,31,32,13,0,0,0,1,0,1,319,7,0,0,29,0,35,45,17,102,265,0,0,192,20,842,0,288,0,0,0,37,96,16,29,0,105,0,28,0,3,0,12,75,0,1602,53,1,17,0,0,12,0,0,0,200,503,1,32,0,707,1849,0,0,0,0,0,0,180,151,5,30,1,0,52,176,0,3,4,0,2,1860
1861,0,0,5334,80,0,63,0,0,2,46,549,312,1021,30,1,10,0,2,12,52,0,377,0,0,0,1,0,1377,929,111,3,49,68,622,0,0,2,0,0,1253,1,19,24,325,538,89,0,0,0,9,820,0,2423,0,5,0,14,1,6,307,0,0,916,10,312,110,878,1389,209,3611,161,286,37,244,124,0,624,127,0,14,0,0,309,2230,0,1051,25,10,0,0,0,17,2460,411,4,616,313,1215,8,159,471,1516,14,991,0,103,687,288,79,660,0,0,0,820,3,1298,0,0,16,0,0,0,24,55,0,863,0,334,0,5,1491,97,2773,0,7,0,106,9,0,0,580,0,1014,155,117,870,1860,0,0,2,1,0,0,1,21,2,619,619,886,546,324,0,1,0,0,0,119,1111,129,765,542,599,182,106,0,0,113,0,24,564,418,16,2,69,36,14,0,0,0,1,0,0,318,2,0,0,30,0,42,102,28,172,245,0,1,312,18,979,0,316,0,0,0,29,103,7,62,0,143,0,38,0,0,0,29,77,0,2144,75,0,26,0,0,147,0,0,0,254,374,2,13,0,643,1853,4,0,0,0,0,0,199,183,0,33,2,0,42,232,0,0,7,0,2,1861
1862,0,0,5983,80,0,104,0,1,0,13,535,525,990,33,1,12,0,0,0,125,0,536,0,0,0,15,1,1532,971,100,4,70,192,611,0,0,1,0,0,2179,0,35,36,450,625,86,0,0,0,7,840,0,2328,0,9,0,52,0,1,426,0,0,1118,22,233,138,850,1466,209,3887,240,297,40,131,154,0,597,113,0,11,0,0,417,2932,0,1076,27,14,0,0,0,37,2323,789,6,626,308,2068,7,151,674,1572,30,1039,0,165,589,362,48,735,0,0,0,599,1,1040,0,0,25,0,0,5,31,46,0,964,0,411,0,3,2131,138,3410,0,5,0,72,24,0,0,464,0,1232,200,114,970,2495,0,0,2,6,0,0,3,18,3,687,663,930,1018,370,0,1,0,1,0,193,1383,172,659,649,844,178,155,0,0,128,0,21,628,466,21,3,112,57,15,0,0,0,4,2,1,468,3,0,1,51,0,76,159,46,191,247,0,3,364,26,1187,0,369,0,0,0,47,95,5,61,0,296,0,67,0,0,0,15,80,0,2934,43,0,15,0,0,180,0,0,0,305,381,0,10,0,654,2057,0,0,0,0,0,0,258,212,9,99,2,0,74,289,0,0,1,0,2,1862
1863,0,0,7401,105,0,105,0,0,0,42,648,629,1350,60,0,36,0,0,1,202,0,475,0,0,0,94,0,1743,903,96,3,197,335,971,0,0,19,0,0,3022,4,114,145,581,736,182,0,0,0,8,981,0,2795,0,13,0,63,2,4,364,0,0,1670,21,255,232,980,2051,346,5235,276,456,47,170,174,0,1838,377,0,12,0,0,503,4197,0,1429,20,31,4,0,0,48,2429,1036,2,1200,764,1779,13,229,489,1886,125,2078,21,187,820,456,102,702,0,3,3,579,15,3837,0,1,54,0,0,0,39,72,0,1194,0,487,0,14,2746,173,3956,0,15,0,186,32,0,0,491,0,1467,341,159,1402,2604,0,0,1,4,0,0,3,19,6,1360,1047,1310,1376,483,0,4,0,0,1,189,2192,234,1121,690,2978,211,201,0,1,177,0,46,842,759,26,0,119,51,30,0,0,0,115,7,0,655,6,0,15,129,0,156,279,64,207,469,0,1,603,45,1898,0,439,0,0,42,127,255,25,106,0,404,0,78,0,2,0,68,97,0,3232,53,0,29,0,0,249,0,0,0,439,699,1,22,0,1571,3419,3,0,0,0,0,2,556,317,13,221,0,2,378,425,1,14,2,0,1,1863
1864,0,0,8944,125,0,166,0,0,0,95,1073,817,1910,65,0,35,0,10,0,269,0,707,1,0,0,64,0,2280,1462,184,6,245,320,940,0,0,8,0,0,2914,2,48,187,563,1062,344,0,0,0,12,890,3,3761,0,9,0,77,3,3,442,0,0,1899,21,381,267,1111,2234,300,5348,275,409,32,294,218,0,1141,384,0,22,0,0,538,4287,0,1601,21,26,3,0,0,37,3416,639,5,1043,723,2008,138,228,710,2145,1095,2083,4,268,1137,613,105,1075,0,4,0,532,12,7854,0,0,72,0,0,4,32,61,0,1492,0,884,0,6,2890,194,5166,3,15,0,239,110,2,0,637,0,1540,321,234,2131,3595,1,0,1,7,0,0,2,30,3,1191,946,997,1106,617,0,0,0,2,1,287,1908,221,1206,1141,3567,332,191,0,0,293,0,70,2126,871,27,0,180,102,35,2,0,0,35,4,4,866,8,0,17,103,1,107,291,123,522,553,0,0,949,57,2095,0,582,0,0,12,152,154,111,110,0,295,0,70,0,0,0,19,165,0,3696,78,0,49,0,0,140,0,0,0,598,984,1,49,0,1926,3455,2,0,0,0,0,0,741,421,9,248,0,0,169,734,4,17,21,0,1,1864
1865,0,0,8122,126,0,189,0,0,0,36,1079,442,1953,100,0,38,0,1,11,226,0,724,0,0,0,188,0,2207,1376,151,3,175,442,820,0,0,33,0,0,3322,10,88,203,596,1187,170,0,0,0,22,999,2,3578,0,6,0,84,9,6,275,0,0,1977,20,474,378,1294,2369,332,4418,360,373,44,271,256,0,1199,491,0,32,0,0,511,3168,0,1345,8,44,5,0,0,103,3657,936,0,1169,1395,1865,14,201,675,1753,205,2197,2,302,960,735,141,1016,0,1,0,863,13,8256,0,0,208,0,0,5,72,95,4,1551,1,574,0,5,2997,309,5304,1,15,0,225,177,5,20,691,0,1522,369,126,1744,3855,1,0,4,13,0,0,4,19,1,1378,712,1329,1392,674,0,5,0,1,2,177,1769,269,1294,914,999,265,129,0,0,246,0,71,1729,754,12,0,125,65,31,0,0,0,1,0,9,781,8,0,8,110,0,140,224,65,260,556,0,1,931,66,2148,0,610,1,0,10,125,225,91,94,12,95,0,140,0,1,0,46,177,0,4180,82,19,37,0,0,237,0,0,0,425,801,19,16,0,1293,3458,1,0,0,0,0,0,445,336,6,206,0,0,208,508,37,31,6,0,0,1865
1866,0,0,6040,116,0,102,0,0,1,28,877,479,1416,107,0,93,0,6,9,176,0,424,3,0,0,118,1,1814,1066,82,1,124,188,640,0,0,3,0,0,1746,1,27,97,370,785,298,0,0,1,18,687,1,2998,0,11,0,80,0,1,180,0,0,1267,19,318,243,964,1369,208,3323,227,137,26,157,171,0,1145,306,0,35,0,0,407,2004,0,909,11,37,3,0,0,60,1922,916,3,1067,623,1053,9,135,447,1271,125,1721,0,266,734,545,130,671,0,5,0,554,8,7366,0,1,48,0,0,0,61,75,0,1174,2,394,0,6,1615,203,4398,0,9,0,129,74,1,0,616,0,994,207,154,1342,4239,0,0,0,5,0,0,5,16,3,735,532,948,1229,470,0,1,0,7,0,172,1236,215,1168,687,533,199,131,0,0,153,0,100,1761,585,14,0,88,56,45,2,0,0,19,3,6,700,4,0,8,190,2,335,135,87,177,363,0,1,543,32,1682,0,377,0,0,1,78,90,28,74,47,74,0,85,0,0,0,14,112,0,4472,65,0,28,0,0,52,2,0,0,421,863,10,37,0,1202,2035,3,0,0,0,0,0,320,215,7,130,0,0,129,395,39,76,4,0,1,1866
1867,0,0,5732,109,0,78,0,1,0,17,678,476,1158,171,0,35,0,5,6,152,0,377,0,0,0,32,2,1892,1045,103,1,142,336,696,0,0,5,0,0,1525,1,16,62,323,459,134,0,0,0,4,656,0,2186,0,11,0,39,2,7,246,0,0,1092,13,201,247,1614,1654,199,3050,201,123,36,123,164,0,1140,115,0,17,0,0,495,1457,0,739,11,38,6,0,0,93,1969,813,10,759,705,992,25,119,565,1265,137,1494,1,215,702,406,94,639,0,9,0,488,4,5586,0,0,45,0,0,1,30,32,0,1251,0,513,0,6,2296,157,4189,1,16,0,114,118,4,0,596,0,987,240,299,1766,3304,0,0,2,6,0,0,1,6,3,665,493,707,1152,406,0,0,0,7,1,132,872,176,902,700,2845,269,90,0,0,100,0,78,2346,603,14,0,80,55,28,0,0,0,15,1,10,627,7,0,51,120,3,350,114,62,252,275,0,0,455,46,1428,0,282,0,0,7,87,90,4,49,12,69,0,44,0,1,0,26,121,0,3645,71,0,15,0,0,80,0,0,0,234,470,6,39,0,551,1724,1,0,0,0,0,0,261,176,8,185,0,1,72,351,34,45,10,0,2,1867
