,words,absolutism,administrativ,akademi,allmoge,allmän,allmänna,alternativ,amerikanism,anakronism,anarkism,annan,annorlunda,antagonism,antisemitism,arkiv,artikel,assosiera,ateism,autonomi,avtal,barbarism,befattningshavare,begrepp,bilda,bonapartism,byråkratism,byta,central,cesarism,chauvinism,dagstidning,del,dela,delstat,delta,demokrati,demokratism,despotism,diskutera,dogmatism,dynastisk,ekonomi,ekonomisk,epok,era,europa,europeisk,fanatism,fatalism,federalism,fennicism,finans,finland,finlandism,finländare,finländsk,finne,finsk,finska,folk,folkrepresentation,form,formalism,fred,fråga,furstendöme,förbi,fördrag,förena,föreställning,författning,förhandla,förra,försvara,förvaltningssystem,förändring,gemensam,general,gensaga,geografisk,gestalt,grundlag,gräns,gränslandet,gränslinje,gudasaga,hertig,hertigdöme,hisoriograf,historia,historie-,historieskrivning,historiker,historisk,human,humanism,huvud,härskare,hävdateckning,idea,idealism,ifrågasatta,imperialism,imperium,indifferentism,individualism,inre,inrikes,integritet,intellectual,intern,intresse,invändning,invånare,jämförelse,jämlikhet,karelare,karelen,karelsk,karta,katolicism,kejsardöme,kejsare,kejserling,klerikalism,knutpatriotism,kombinera,kommunism,koncept,konservatism,konstitution,konstitutionalism,kontroversiell,kosmopolitism,krig,kultur,kung,kynne,lag,land,landområde,landtag,liberal,liberalism,lokal,lokalpatriotism,makt,marskalk,materialism,medborgare,medeltid,medlem,militarism,mobilisering,modern,monark,mynt,myt,napoleon,nation,naturalism,nature,nepotism,nihilism,nordiska,nutida,nyhetstidning,offentlig,officiell,olik,område,omtvistad,orts-,panslavism,paragraf,parlament,parlamentarianism,parlamentarisk_regering,partifanatism,partikularism,patriotism,pengar,penning,period,pest,pietism,polism,politik,positivism,princip,protektionism,protest,provins,publicera,radikalism,rationalism,realism,regel,regent,regering,regeringsform,region,representation,republikanism,res_publica,retorik,retorisk,rike,riksdag,risk,ryska,ryss,ryssland,rätt-,rättighet,samarbete,samband,samfund,samhällelig,samhället,samhällsform,sankt_petersburg,schism,sedel,sekel,sekterism,senat,separatismen,servilism,självstyrelse,skandinavien,skandinavism,skapa,skede,skepticism,skilja,slant,social,socialism,språk,språkdualism,språkfanatism,stat,statsform,statsorganism,statsskick,status,storfurstendöme,styre,styresman,ställning,stånd,stödja,stötta,suverän,suveränitet,svenska,sverige,swensk,system,talet,territorium,terrorism,tid,tidig,tidigare,tidstrogen,tjänsteman,trakt,tsar,tvistig,underståte,universitet,utforma,utilitarism,utvecklad,utverka,valuta,vandalism,vaxlä,vetenskap,välde,ämbetsman,århundrade,åsikt,överenskommelse,överlåta,year
1786,336174,0,0,13,150,551,262,1,0,0,0,281,32,0,0,162,2,0,0,0,0,0,0,68,1,0,0,5,0,0,0,52,4137,349,0,134,0,0,1,1,0,0,30,10,2,2224,8,1,0,0,0,0,3,44,0,0,0,156,19,12,201,0,306,0,95,393,1,74,4,186,77,206,0,114,11,0,47,136,11,0,1,0,87,18,0,0,0,6,0,0,27,17,0,0,4,0,0,112,0,0,2080,0,0,0,0,2,0,54,4,0,0,158,2,0,24,11,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,131,0,158,1,2268,1707,0,0,1,0,2,0,73,240,0,68,3,7,0,0,3,3,64,2,0,62,1,67,0,0,0,0,0,3,1,100,1,1,107,0,5,2,0,0,0,0,0,4,210,3,54,0,0,3,0,33,0,2,5,0,0,0,0,3,37,300,144,0,0,0,0,0,0,716,903,46,1,0,0,1829,230,0,12,0,0,68,0,0,0,13,0,0,2,0,0,0,0,0,32,5,0,59,0,0,0,33,0,0,676,0,0,2,1,0,47,1,108,4330,19,3,0,0,96,75,158,10,45,0,0,1283,30,1,0,3,405,135,1,0,34,0,0,0,9,0,0,1,23,56,10,2,1,1,0,1786
1789,623959,0,0,0,364,812,390,6,0,0,0,644,99,0,0,3,10,0,0,0,0,0,0,104,0,0,0,16,0,0,0,0,10232,721,0,270,0,0,3,0,0,0,29,4,0,5881,37,6,0,0,0,0,0,76,0,0,0,306,35,31,485,0,764,0,425,661,4,201,5,440,67,238,0,279,99,0,131,203,72,0,0,0,219,116,0,0,0,183,0,0,11,22,0,0,3,0,0,275,1,0,5044,0,0,0,0,0,0,113,42,0,0,157,2,2,65,11,2,0,10,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1106,0,63,1,3545,4691,0,0,1,0,2,0,123,389,0,355,0,70,0,0,0,20,119,0,0,186,0,33,0,0,0,0,0,3,0,159,0,3,193,0,0,4,0,0,0,0,6,10,332,9,6,0,0,0,0,44,0,33,2,0,0,0,0,4,81,965,213,1,4,0,0,0,0,2560,1097,44,4,7,6,3421,844,0,36,0,0,63,0,0,0,26,1,0,0,0,0,0,0,0,12,3,0,160,0,0,0,36,0,0,1361,0,0,0,0,0,64,2,169,7733,70,5,0,0,53,214,157,26,160,0,0,2563,23,5,0,0,121,241,2,0,0,0,0,0,12,0,0,7,2,159,29,3,2,0,0,1789
1792,207203,0,0,0,235,448,207,0,0,0,0,179,12,0,0,0,0,0,0,0,0,0,0,33,0,0,0,7,0,0,0,0,3046,310,0,141,0,0,0,0,0,0,5,3,0,1469,11,0,0,0,0,0,0,23,0,0,0,79,25,25,135,0,22,0,170,94,0,88,8,184,16,137,0,83,10,0,40,64,0,0,0,0,18,27,0,0,0,0,0,0,0,10,0,0,0,0,0,37,0,0,1279,0,0,0,0,0,0,73,2,0,0,69,0,0,25,3,8,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,21,0,1139,1215,0,0,0,0,0,0,52,117,0,106,0,17,0,0,0,1,376,0,0,4,0,9,0,0,0,0,0,0,0,46,0,0,109,0,0,0,0,0,0,0,0,2,127,0,12,0,0,0,0,8,0,0,0,0,0,0,0,4,36,76,8,1,0,0,0,0,0,621,488,9,1,4,3,1052,156,0,0,0,0,17,0,0,0,40,0,0,1,0,0,0,0,0,2,2,0,30,1,0,0,15,0,0,212,0,0,0,0,0,33,6,47,3432,15,0,0,0,25,42,69,4,30,0,0,599,16,0,0,0,32,118,1,0,0,0,0,0,4,0,0,24,5,74,13,4,0,0,0,1792
1800,695160,0,0,5,323,1250,560,2,0,0,0,734,98,0,0,5,37,0,0,0,0,0,0,56,0,0,0,34,1,0,0,0,9116,1140,0,462,0,0,0,0,0,0,148,8,0,5238,18,2,0,0,0,0,1,93,0,0,0,300,13,12,402,0,150,0,207,886,0,237,4,422,53,471,0,228,23,0,318,147,15,2,0,0,64,98,0,0,0,93,0,0,12,7,0,0,14,0,0,195,0,0,4898,0,0,0,0,0,0,139,72,0,0,65,0,9,49,7,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,112,1,4390,4773,0,0,0,0,1,0,135,486,0,154,0,68,0,0,1,1,655,14,0,84,0,41,0,0,0,0,0,21,0,238,9,3,360,0,0,0,0,0,0,0,1,2,467,2,14,0,0,1,0,53,0,11,13,6,0,0,0,10,9,186,26,0,3,0,0,0,0,1896,1158,68,4,4,0,4341,722,0,5,0,0,62,0,0,0,232,2,0,1,0,0,0,0,0,17,1,0,67,19,1,0,30,0,0,1987,0,0,0,0,0,176,4,190,7871,37,5,0,0,25,119,65,10,114,0,0,2813,36,4,0,0,233,407,3,0,0,0,0,2,16,2,0,27,0,115,26,5,0,0,0,1800
1809-1810,7524797,0,4,198,2266,22904,12614,267,0,0,0,5696,970,0,0,39,341,10,0,0,3,2,0,680,111,0,0,217,2,0,0,4,97519,15547,0,3739,2,0,52,0,0,0,4405,446,24,68823,235,28,7,0,0,0,17,563,0,0,0,3966,327,316,2726,0,6426,0,2995,12715,11,2107,70,4221,481,5215,1,3799,578,0,3721,1652,1105,0,33,1,1446,1160,0,1,0,426,10,0,53,106,0,0,57,5,0,2878,2,0,45021,2,8,0,0,6,0,1338,521,4,0,1050,75,127,471,99,8,0,6,4,419,0,0,27,0,0,0,0,0,1,0,0,0,0,0,6709,1,3655,8,55380,46218,0,0,77,0,19,0,1262,2758,0,2365,2,713,0,0,20,95,1154,25,16,2494,0,268,0,0,0,0,0,261,70,2359,171,22,3331,0,25,27,0,0,0,0,137,47,4488,79,152,0,2,30,0,1268,0,473,145,26,0,0,4,190,224,5944,1948,3,362,0,0,0,0,14864,12682,1188,35,77,48,50256,6847,0,119,0,1,794,0,0,6,836,6,0,8,0,0,0,0,0,386,29,0,1533,93,0,0,662,0,0,55249,1,0,0,5,1,1809,76,2110,98240,530,18,0,0,226,1972,1050,407,1478,1,0,22964,483,59,0,0,2996,4220,65,0,86,0,0,20,49,18,1,176,162,1571,220,92,19,7,0,1809
1810,431897,0,0,0,50,1527,611,8,0,0,0,269,45,0,0,4,28,0,0,0,1,0,0,32,3,0,0,13,0,0,0,0,5199,777,0,201,0,0,5,0,0,0,250,8,1,3814,16,2,0,0,0,0,1,18,0,0,0,192,19,15,278,0,349,0,196,1141,1,125,2,342,16,164,0,340,23,0,216,140,39,0,0,0,210,83,0,0,0,7,0,0,2,6,0,0,0,0,0,242,0,0,2419,0,0,0,0,0,0,52,16,0,0,60,2,3,14,3,0,0,0,0,17,0,0,14,0,0,0,0,0,0,0,0,0,0,0,162,0,261,1,3292,3115,0,0,2,0,2,0,123,358,0,105,0,32,0,0,0,1,31,9,0,178,0,5,0,0,0,0,0,14,6,99,1,0,185,0,1,0,0,0,0,0,2,6,151,3,5,0,1,3,0,47,0,44,6,0,0,0,0,13,29,257,122,1,6,0,0,0,0,589,2563,94,0,4,2,2345,269,0,4,0,0,26,0,0,1,43,2,0,0,0,0,0,0,0,8,5,0,79,3,3,0,32,0,0,4291,0,0,0,0,0,102,1,126,6607,18,0,0,0,17,224,60,62,88,0,0,1155,24,1,0,0,136,248,2,0,0,0,0,0,2,3,0,5,1,149,5,4,0,2,0,1810
1812,1092676,0,1,58,340,4298,2241,115,0,0,0,908,96,0,0,4,102,1,0,0,0,0,0,90,38,0,0,23,0,0,0,0,13769,1621,0,803,1,0,6,0,0,0,1330,92,4,9596,55,3,0,0,0,0,0,17,0,0,0,559,27,27,747,0,588,0,362,2308,0,329,12,764,54,903,0,541,131,0,565,291,126,0,0,0,361,168,0,1,0,56,0,0,10,25,0,0,3,0,0,495,0,0,6956,0,0,0,0,0,0,333,42,1,0,323,5,9,64,13,2,0,0,0,94,0,0,19,0,0,0,0,0,0,0,0,0,0,0,859,4,202,2,8746,8906,0,2,22,0,10,0,246,445,0,386,2,93,0,0,6,8,167,7,0,557,0,35,0,0,0,0,0,24,1,390,35,3,391,0,3,0,0,0,0,0,8,23,572,64,31,0,1,14,0,237,0,56,25,3,0,0,0,16,33,612,179,0,14,0,0,0,0,1718,2850,235,4,2,0,7231,1207,0,17,0,0,150,0,0,0,180,4,0,1,0,0,0,0,0,49,2,0,192,2,0,0,107,0,0,6289,0,0,0,0,0,395,9,366,10358,80,8,0,0,139,284,323,79,218,0,0,2622,72,8,0,0,655,638,86,0,2,0,0,4,6,4,0,23,14,136,0,15,0,1,0,1812
1815,2477525,0,49,59,772,9951,5366,382,0,0,0,1776,236,0,0,2,115,2,0,0,0,2,0,206,63,0,0,63,2,0,0,0,30042,4214,0,1082,0,0,4,0,1,0,2845,333,25,22204,128,21,0,0,0,0,9,173,0,0,0,1318,60,55,1150,1,1798,0,1064,5487,48,811,16,1457,60,1587,1,1058,145,0,1804,496,180,0,3,1,918,632,0,1,0,103,4,0,77,97,0,0,59,2,0,1371,0,0,15656,0,13,0,0,2,0,693,107,1,0,1537,129,40,301,6,0,0,0,0,236,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1283,0,548,9,23064,17846,0,0,113,0,36,0,160,843,0,800,6,283,0,1,46,10,648,7,10,1743,0,161,0,0,15,1,0,160,25,840,70,9,1423,0,2,25,0,0,0,0,52,59,2606,94,48,0,6,15,0,522,0,51,226,9,0,0,0,53,48,1724,896,0,144,0,0,0,0,4630,5321,661,23,40,31,15251,2482,0,80,0,0,213,0,0,1,585,15,0,9,0,0,0,10,0,128,12,0,533,12,0,0,350,0,0,11996,0,0,0,11,29,681,14,817,21781,167,13,1,0,1063,1273,1537,283,471,2,0,9564,154,12,0,1,1401,1597,23,0,23,0,0,23,29,24,0,53,119,250,2,38,6,1,0,1815
1817-1818,4049140,0,47,11,638,13700,7718,732,0,0,0,3170,436,0,0,3,274,6,0,0,0,3,0,454,150,0,0,188,60,0,0,0,51130,7060,1,2045,0,0,20,0,0,0,3217,392,18,36877,129,27,1,1,0,0,11,283,0,0,0,2439,188,180,1922,3,2843,0,1759,12000,0,1265,28,2723,108,2931,0,1747,325,1,2420,701,370,1,0,6,1436,749,1,0,0,182,0,2,83,72,0,0,61,4,0,2705,0,0,27832,1,11,0,0,0,0,1175,114,2,0,1975,135,88,215,7,0,0,0,0,204,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1343,1,1645,7,35986,28443,0,0,165,0,6,0,365,1976,1,1217,3,428,0,0,43,46,2721,15,7,3572,0,194,2,0,37,0,0,212,71,1365,171,30,2406,0,7,27,0,0,0,0,85,36,3354,162,27,0,0,17,0,998,0,155,137,14,0,0,0,69,117,2390,1159,2,566,1,0,0,0,5947,8742,1079,54,92,77,26172,3862,0,85,0,0,476,2,0,6,1347,12,0,5,0,0,0,2,0,251,21,0,888,17,1,0,638,0,0,20230,3,0,0,1,0,1388,35,1591,34027,315,9,0,0,1339,1445,1975,644,1222,3,0,12851,247,48,0,3,2125,2596,26,0,26,0,0,81,32,89,0,88,42,372,2,68,2,7,0,1817
1823,7642981,0,227,222,1625,24150,13041,889,0,0,0,6405,948,1,0,11,591,13,0,0,10,3,0,813,795,0,0,322,155,0,0,6,91597,14001,1,3379,3,0,31,12,0,0,7719,1130,74,65439,373,62,7,0,0,0,225,452,0,0,0,5851,350,291,4201,2,4909,2,2751,22242,0,2451,92,5882,199,5647,0,3820,535,4,4858,1352,674,1,39,11,4069,1681,0,1,0,150,14,2,282,279,0,0,224,46,0,5823,0,0,49537,2,23,0,0,0,0,2142,340,6,0,3806,463,156,491,55,4,0,0,0,446,0,0,15,0,0,0,1,0,3,0,0,0,0,0,2954,16,1948,16,75189,51039,0,1,383,5,116,0,1398,3385,2,2486,16,682,0,0,56,152,3533,36,48,4518,0,429,1,0,12,0,0,1385,174,3240,317,44,5866,0,56,57,0,0,0,0,97,77,4954,388,46,2,8,73,0,2346,0,280,714,14,0,0,0,217,148,4040,1604,8,902,0,0,1,0,11450,14238,2667,71,205,160,50545,6971,0,237,0,0,949,12,0,8,1915,35,0,37,0,0,0,20,0,436,14,0,1802,96,2,0,1576,0,0,40007,7,5,14,12,0,3401,43,3656,55384,516,8,2,2,2585,3100,3806,2161,1652,4,2,26831,507,88,0,3,4116,5023,65,0,653,0,0,193,69,212,1,195,476,836,0,112,6,14,0,1823
1862-1863,6817357,6,117,693,445,17070,6448,331,0,2,0,9663,580,0,0,259,714,2,0,1,9,2,0,410,1477,0,0,286,407,0,0,0,69823,13455,0,2925,23,0,18,167,0,2,3147,887,4,46317,241,118,16,0,0,0,543,90,0,0,0,6929,51,47,5137,18,3256,0,2665,31902,3,3025,88,3647,289,2757,0,2794,637,2,5344,1183,440,0,8,129,2527,1029,0,0,0,90,9,0,237,154,0,1,233,198,1,5860,0,0,31666,0,673,0,0,7,0,633,54,3,0,2833,2047,302,15,0,0,0,0,0,494,5,3,22,0,0,0,7,1,24,14,0,2,0,0,1742,122,1291,13,87042,53174,2,19,184,8,492,0,1568,102,5,444,32,747,0,10,98,36,1630,17,25,1645,0,135,1,0,25,1,0,720,222,4139,545,109,4980,0,1644,102,2,0,0,0,13,44,2656,628,14,2,42,159,0,1513,0,411,1369,27,1,1,2,376,106,3126,277,3,2011,0,1,0,0,11864,10377,1628,67,259,215,38441,3177,4,125,0,2,603,2,0,6,951,35,1,12,3,1,0,10,4,232,34,0,1943,13,54,1,2336,0,0,33345,3,0,81,7,1,3003,31,5654,49209,692,0,7,1,1981,2114,2833,1620,1612,15,2,20611,570,78,0,4,9753,6233,35,0,1412,0,0,128,45,203,5,1,1036,763,1,104,9,0,0,1862
1867,3450290,0,94,442,168,9212,3280,247,0,2,0,3932,255,0,0,316,558,3,0,2,1,0,0,197,1165,0,0,136,189,0,0,91,38436,9641,0,1877,5,0,6,79,0,0,916,700,2,24679,161,72,1,0,0,0,509,41,0,0,0,3293,12,12,4280,10,1904,7,963,15898,2,1320,27,1335,170,1048,1,1258,383,0,2637,825,436,0,7,77,1337,727,0,1,1,38,1,0,129,112,0,0,138,101,1,3135,0,0,17486,1,393,0,0,0,0,318,120,2,0,1664,975,96,18,0,0,0,0,0,497,1,1,10,0,0,0,4,1,3,1,1,0,0,2,1866,159,557,0,43369,25787,0,0,42,0,497,0,110,21,13,290,18,449,0,13,82,15,794,1,8,758,0,83,0,0,13,0,0,417,136,2344,424,74,2672,0,349,55,0,0,0,0,12,13,1876,242,5,0,6,65,0,599,1,173,305,11,1,0,3,274,18,2269,524,8,1143,0,1,0,3,4282,14639,1002,47,101,44,18739,1374,9,157,0,0,359,3,0,1,869,23,1,15,0,0,0,3,0,125,17,0,732,2,39,3,1400,0,0,18445,0,0,52,2,1,2463,23,3907,10090,380,5,2,0,1284,1048,1664,882,1165,2,10,12567,518,74,0,1,3320,2814,21,0,193,0,0,103,34,103,0,3,508,410,0,70,15,11,0,1867
1868,3561620,1,371,322,145,8435,3187,264,0,0,0,4162,303,0,0,136,259,1,0,2,1,0,0,192,796,0,0,136,240,0,0,2,41922,10524,1,1691,10,0,0,78,1,1,1104,971,3,23897,91,58,0,0,0,0,521,60,0,0,0,3523,18,18,3817,10,2161,1,961,15709,3,1602,35,1316,238,1532,1,1337,296,7,3633,768,717,0,14,93,1333,814,0,0,1,31,2,0,136,119,0,1,125,67,0,3380,0,0,18013,2,321,0,0,0,0,297,26,0,0,1480,1120,149,6,0,0,0,0,0,445,0,2,10,0,0,0,4,3,22,6,1,0,0,2,989,280,608,1,45320,26314,0,0,48,0,585,0,116,40,5,227,21,679,0,12,52,34,2628,2,7,730,0,96,0,0,53,2,0,507,102,2364,479,41,2696,0,424,46,0,0,0,0,6,3,1735,177,12,1,20,14,0,786,3,126,377,6,1,2,0,236,50,2429,567,6,1004,0,0,0,0,4007,14174,833,13,58,49,21968,1459,5,135,0,7,584,2,0,0,858,27,0,12,3,0,0,2,0,121,25,0,891,5,31,0,1484,0,0,21027,1,1,70,4,0,4269,35,3731,9283,295,4,8,0,1227,919,1480,853,1245,6,2,12566,550,100,0,0,4451,3194,25,0,117,0,0,101,23,185,0,2,467,502,0,59,24,30,0,1868
1869,3624543,0,107,508,204,7556,2704,147,0,0,0,5149,241,1,0,55,194,4,0,3,1,0,0,210,923,0,0,193,151,0,0,0,43242,10811,0,2292,19,0,7,77,0,1,944,852,3,23832,134,50,4,0,0,0,543,30,0,0,0,3448,126,119,3167,5,1912,1,1299,15770,1,1676,77,1436,214,1067,2,1505,267,3,3175,938,952,0,16,109,1431,847,0,0,0,144,3,0,94,101,0,0,130,42,0,3371,0,0,18061,0,479,0,0,0,0,296,170,0,0,2092,1181,158,3,0,0,0,1,0,373,0,0,7,0,0,0,6,2,16,6,0,0,0,0,2640,102,724,8,47924,27080,2,0,28,1,316,0,230,3,0,277,17,745,0,115,31,25,2793,8,7,848,0,79,0,0,12,1,0,399,87,2237,579,74,2902,0,685,59,1,0,0,0,13,37,1943,364,7,0,26,48,0,805,5,139,482,8,0,0,0,247,96,2346,583,8,1310,0,1,0,0,4472,14680,1014,21,64,48,19217,1408,3,155,0,3,533,2,0,1,883,23,0,7,0,0,0,4,0,175,34,0,739,2,41,0,1344,0,0,20576,0,1,46,5,0,3572,37,3615,9200,435,1,4,0,1562,1198,2092,1246,1079,4,1,12684,493,85,0,2,4025,2888,30,0,133,0,0,98,44,164,0,2,292,371,1,73,28,33,0,1869
1870,3177933,1,121,444,149,6539,2444,187,0,0,0,5433,256,0,0,86,252,2,0,5,1,0,0,140,785,0,0,138,127,0,0,10,38520,9741,0,1772,11,0,12,91,1,0,1058,955,0,21657,97,40,6,0,0,0,511,47,0,0,0,3122,62,60,2929,4,1747,4,946,13802,1,1368,62,1020,163,1133,1,1031,309,0,2647,850,643,0,16,92,867,742,0,0,0,27,1,0,126,108,0,2,123,33,0,3267,0,0,15195,0,353,0,0,9,0,341,157,1,0,1234,1109,114,14,1,0,0,3,0,466,8,2,6,0,0,0,8,5,9,5,0,0,0,0,1034,100,661,3,42086,23324,1,0,28,1,536,0,918,3,5,194,17,390,1,18,53,40,1268,5,6,567,0,86,0,31,17,1,0,281,137,2246,568,63,2744,0,343,40,0,0,0,0,13,8,1528,204,3,1,8,14,0,568,1,171,379,4,1,1,1,238,8,1562,361,4,833,0,0,0,1,2813,13100,743,18,60,50,17212,1250,3,126,0,1,247,0,0,2,781,35,0,11,0,0,0,4,0,111,22,0,676,2,27,0,1244,0,0,19834,3,1,43,1,1,3087,72,3066,7763,294,3,0,0,941,830,1234,880,1074,1,1,11471,537,110,0,1,3194,2540,26,0,182,0,0,92,17,123,0,3,303,350,0,75,59,21,0,1870
1871,3932049,0,212,188,189,7627,2774,332,0,1,0,6120,298,1,0,159,304,2,1,0,0,0,0,210,1114,0,0,196,154,0,0,0,45873,11128,0,2578,13,0,3,76,0,8,943,856,2,25740,187,62,1,0,0,0,325,66,0,0,6,4181,32,26,3845,15,2407,2,1453,16827,2,1854,60,1327,184,1704,2,1366,532,2,2677,1164,747,0,12,103,888,1143,0,0,0,145,2,0,99,93,0,2,131,60,0,3666,0,0,19708,0,426,0,0,1,0,469,79,2,0,2277,1156,135,11,1,0,3,2,0,358,1,4,14,0,0,0,5,59,7,3,0,0,0,0,2992,80,958,4,53828,27742,8,0,23,0,453,0,1464,9,0,285,17,450,0,120,82,20,1852,8,15,835,0,103,0,2,74,1,0,572,170,2596,746,54,2947,0,1793,46,0,0,0,1,18,20,1546,232,14,1,22,33,0,593,0,172,241,20,2,0,0,350,106,2547,494,7,924,0,0,6,4,3682,14733,1308,39,127,95,21801,1627,5,173,0,3,614,0,0,0,568,24,0,0,0,0,0,3,0,89,62,0,771,11,54,2,1349,0,0,22151,3,1,43,2,2,3608,14,3501,9425,659,3,8,1,1447,1631,2277,1066,1373,5,0,14684,522,107,0,0,4643,2948,31,0,192,0,0,100,25,84,0,3,215,387,0,80,55,32,0,1871
1872,3211992,1,145,300,168,6815,2291,134,0,2,0,4112,272,1,0,63,291,0,0,1,1,0,0,211,680,0,0,161,115,0,0,0,36200,8753,0,1554,11,0,2,71,2,1,1104,1019,5,21668,82,35,2,0,0,0,406,32,0,0,0,3253,37,31,3138,9,2382,3,823,15680,1,1362,24,1063,126,1294,3,1259,249,0,2659,1155,540,0,67,88,1511,857,0,1,0,50,10,0,102,53,0,1,118,38,1,2862,0,0,14627,0,377,0,0,1,0,364,29,2,0,1721,1023,162,14,0,0,0,0,0,705,1,8,9,0,0,0,7,1,18,2,0,0,0,2,931,83,715,0,45499,22304,0,0,32,1,368,0,1135,9,0,260,24,421,0,15,32,17,1713,7,7,607,0,84,0,0,10,0,0,294,105,2099,530,50,2125,0,1067,84,7,0,0,0,6,22,2004,208,3,9,6,33,0,632,7,137,317,8,1,0,0,315,26,2753,889,4,855,0,0,0,1,3079,13858,942,20,50,44,21642,1738,3,188,0,0,377,1,0,5,625,30,1,6,0,0,0,0,0,138,25,0,686,9,16,0,938,0,0,18921,0,1,92,2,0,2672,28,3425,8025,353,0,9,3,1249,975,1721,722,1144,9,0,11513,467,78,0,0,3367,2732,16,0,733,0,0,75,27,149,0,3,653,395,1,52,17,23,0,1872
1873,3951669,0,135,504,116,8160,2678,188,0,0,0,5605,337,2,0,100,314,0,4,1,7,2,0,185,998,0,0,233,203,0,0,4,44410,11451,1,1535,3,0,1,61,0,0,778,696,4,26627,116,84,0,0,0,0,552,37,0,0,0,3878,108,81,3105,6,2345,4,1104,17317,2,1816,25,1467,196,1618,6,1313,276,0,2960,1208,1396,0,27,72,1019,1107,0,0,0,189,2,0,230,171,0,8,148,132,0,3758,0,0,19771,0,452,0,0,2,0,382,32,0,0,2743,1329,182,80,1,0,0,0,0,363,16,3,9,0,0,0,7,4,14,3,0,0,0,4,1306,153,730,5,54496,28140,0,0,59,1,419,0,1284,24,1,408,15,608,2,9,94,43,4429,5,8,916,0,93,0,0,65,3,0,622,133,2508,776,39,2807,0,1331,116,20,1,0,0,3,19,1771,218,7,3,40,53,0,663,4,186,383,15,7,2,0,327,70,2084,447,9,769,0,0,0,2,3795,15699,1255,26,71,42,23488,1752,3,190,0,0,387,0,0,1,644,23,1,7,0,0,0,3,5,152,27,0,957,5,47,0,2380,0,0,24882,3,0,80,6,1,3505,46,4213,10354,353,3,12,3,2021,1422,2743,1488,1770,5,2,14258,615,112,0,0,4298,3307,23,0,696,0,0,101,41,105,0,3,702,449,0,75,80,54,1,1873
1874,3624913,2,239,889,75,7806,2838,144,0,1,0,3943,333,0,0,154,146,2,0,0,3,0,0,131,714,0,0,167,218,0,0,16,43511,12126,0,1350,3,0,1,64,1,0,624,544,0,23170,70,39,1,0,0,0,737,40,0,0,0,3243,57,36,2444,3,1659,2,954,15993,5,1362,28,1241,150,1233,3,1154,184,0,2444,784,913,0,30,78,1015,1027,0,0,0,15,0,0,103,122,0,1,129,30,0,3412,0,0,16892,0,452,0,3,0,0,325,31,0,0,2249,1147,169,11,1,0,0,0,0,346,1,0,9,0,0,0,2,8,11,0,0,1,0,0,842,127,1030,4,49889,26002,0,0,24,2,434,0,1383,14,0,84,25,234,0,4,36,9,2215,3,5,655,0,55,2,1,24,4,0,530,99,1950,898,42,2503,0,1023,58,7,0,0,0,0,22,2020,179,21,1,18,16,0,566,4,134,268,39,1,0,0,343,16,2359,484,4,426,0,0,0,0,3112,16151,1030,69,57,31,21166,1573,3,128,0,0,167,2,0,0,1634,12,0,7,0,0,0,4,4,96,29,1,708,3,23,0,1340,0,0,26285,1,2,69,1,3,3743,77,4709,8056,317,1,8,0,1584,1158,2249,935,1336,9,1,13967,568,93,0,6,3340,3144,19,0,264,0,0,115,45,151,0,1,560,333,0,58,25,14,0,1874
1875,3598871,0,103,586,62,6741,2388,650,0,0,0,5307,263,0,0,326,276,1,0,0,3,0,0,192,834,0,0,184,201,0,0,0,40307,9956,0,2023,10,0,1,60,0,0,711,638,1,22177,94,42,2,0,0,0,394,55,0,0,0,3494,41,35,3794,5,2116,1,1456,16046,2,1369,23,1218,177,875,2,1304,286,0,2367,1099,967,4,77,85,1258,975,0,0,1,39,2,0,105,81,0,0,152,28,0,2864,0,0,16643,0,507,0,0,0,0,292,58,1,0,1441,1037,150,92,1,0,0,1,0,390,0,6,7,0,0,0,11,0,5,9,0,0,0,0,1712,66,566,15,52536,26025,4,0,26,1,689,0,1349,7,2,117,9,352,1,62,23,12,1973,5,11,725,0,54,0,3,9,1,0,548,126,2407,854,60,5580,0,1063,59,14,0,0,0,9,34,1830,149,23,0,59,15,0,662,2,161,222,17,0,0,0,256,21,2066,665,1,429,0,0,0,1,2654,16826,1090,26,67,44,20718,1094,7,111,0,1,227,0,0,0,388,31,1,1,0,0,0,3,0,75,44,0,679,14,26,2,945,0,0,21203,0,1,60,7,1,3047,74,3983,7614,292,1,4,0,1040,1052,1441,1216,1419,4,0,13632,564,114,0,0,3585,3008,33,0,899,0,0,72,30,53,0,4,575,293,0,61,59,13,0,1875
